decile,n,mean_actual,mean_pred,mean_bias
0,92,28990.019021739125,34137.641751865194,5147.622730126063
1,94,32779.16914893617,36869.92147547561,4090.752326539442
2,90,35039.15233333334,37493.33969666291,2454.1873633295745
3,92,36802.27858695651,39484.408372658865,2682.129785702346
4,93,38664.66096774193,39575.17263336394,910.5116656220052
5,90,40912.58688888889,40562.572898661674,-350.0139902272134
6,92,43037.149456521736,41798.92274052895,-1238.2267159927987
7,92,45705.152934782614,43178.73044410592,-2526.422490676698
8,92,49382.030000000006,45006.158796847594,-4375.871203152397
9,92,57958.77086956522,46619.19126666572,-11339.5796028995
