model_scope,county,feature,importance,rank
gradient_boosting,,num__detail_effect_inside_mean,0.018629891553130093,1
random_forest,,num__detail_effect_total_mean,0.017259036523958292,2
gradient_boosting,,num__detail_effect_total_mean,0.016092307191685223,3
gradient_boosting,,num__detail_effect_front_sum,0.015900627553880203,4
gradient_boosting,,num__detail_effect_outside_sum,0.013738300884917008,5
random_forest,,num__detail_effect_front_mean,0.013628597071294355,6
gradient_boosting,,num__detail_effect_outside_mean,0.012496971849029172,7
random_forest,,num__detail_effect_front_sum,0.011207065525054828,8
random_forest,,num__detail_effect_outside_mean,0.010858197507571561,9
extra_trees,,num__detail_effect_subtype_sum,0.008513701515077956,10
random_forest,,num__detail_effect_inside_mean,0.008175487659084596,11
extra_trees,,num__detail_effect_outside_x_attr_quality,0.007984644484195074,12
gradient_boosting,,num__detail_effect_subtype_sum,0.007665891035189897,13
random_forest,,num__detail_effect_outside_x_attr_quality,0.007352520529953544,14
extra_trees,,num__detail_effect_outside_sum,0.007211170238012503,15
random_forest,,num__detail_effect_subtype_sum,0.006545152395282967,16
gradient_boosting,,num__detail_effect_subtype_mean,0.006529066591680985,17
extra_trees,,num__detail_effect_total_x_attr_quality,0.006150726828231383,18
extra_trees,,num__detail_effect_total_sum,0.00604976061681365,19
random_forest,,num__detail_effect_outside_sum,0.0060101334412729895,20
extra_trees,,num__detail_effect_subtype_mean,0.005989868096889388,21
gradient_boosting,,num__detail_effect_front_mean,0.005866049697292959,22
extra_trees,,num__detail_effect_county_total_sum,0.005690896348865042,23
gradient_boosting,,num__detail_effect_inside_x_attr_quality,0.005656270877537569,24
extra_trees,,num__detail_effect_outside_mean,0.005498996018412642,25
gradient_boosting,,num__detail_effect_county_total_sum,0.005383005862998497,26
extra_trees,,num__detail_effect_front_sum,0.005166850963896855,27
extra_trees,,num__detail_effect_front_mean,0.005143245759896318,28
random_forest,,num__detail_effect_total_x_attr_quality,0.005040865768769646,29
gradient_boosting,,num__detail_effect_nearby_sum,0.004860434395695757,30
extra_trees,,num__detail_effect_total_mean,0.004693153440021809,31
random_forest,,num__detail_effect_subtype_mean,0.004677601042113676,32
gradient_boosting,,num__detail_effect_used_count,0.004399253536323353,33
random_forest,,num__detail_effect_inside_x_attr_quality,0.0040429538216144485,34
gradient_boosting,,num__detail_effect_transport_sum,0.004034261228219108,35
random_forest,,num__detail_effect_total_abs_sum,0.0037104758045769675,36
