building_age_group,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
31 ve üzeri,8,0.2197734301476731,0.18695067683676486,5615.337848743568,5078.568297275277,28095.89875,33654.32246970099
26-30 arası,16,0.1366601479400147,0.12000852771364327,4093.9609837520957,3595.6230443689074,32057.213125000002,33731.19876657759
5,43,0.1346519615367141,0.11224296975958555,6033.034764533162,4490.273175297269,43811.04720930233,42104.43127965468
4,17,0.13160760952166714,0.08146484222945388,5465.124073116328,2882.6024856491786,40888.98941176471,41066.51526390914
6-10 arası,158,0.12371672229187498,0.10322278564267011,5016.844610379213,4247.232500986447,40460.17386075949,40347.973191878606
16-20 arası,11,0.11889167855389422,0.05470358848101816,4934.1411562697085,2095.7773667223228,36433.91818181818,34998.908097050706
3,26,0.11659730990994611,0.10429392937335927,5134.176962563429,4865.348385528541,43607.786538461536,41755.41088624192
0 (Yapım Aşamasında),78,0.11541066272368337,0.09357040487967955,4791.729997836127,3850.258866675442,41159.575769230774,41045.82508991416
2,30,0.11385157423957151,0.07733763835699659,4878.684871310662,3143.8234598907875,41055.965,40220.91287413437
0 (Oturuma Hazır),388,0.10615212236870795,0.0859939331174453,4562.907076967398,3553.508674337565,42164.376211340204,41506.42255134813
11-15 arası,78,0.1058456047853631,0.0962363850155026,3955.780321819172,3334.1299242743808,37469.194871794876,37450.06056173247
1,47,0.09945443092576468,0.08147750498063591,4202.355800540249,3490.0485350411473,42601.52404255319,41418.12611506358
missing,3,0.09873870477683583,0.09221136295559787,4209.222676192675,4610.5681477798935,44908.426666666666,41301.18312656663
21-25 arası,16,0.07581844607194758,0.06943563347768841,2360.067547874094,2091.7552910298036,31237.335625,32780.20767114122
