district,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Sepetlipınar Mh.,1,0.227379381125582,0.227379381125582,5684.48452813955,5684.48452813955,25000.0,30684.48452813955
Seymen Mah.,10,0.20624318493802823,0.144527510495672,8348.22939874709,5762.769867828931,44081.542,41109.11591100196
Karşıyaka Mh.,4,0.2050513256376228,0.18938167693710717,13976.992130475768,12235.295030390931,67031.82,53054.82786952423
Atakent Mah.,5,0.17414665322332534,0.17359237159829982,8991.981429725893,6464.819475793491,47155.418,42213.3737092448
Bahçecik Kılıçaslan Mh.,11,0.16575546480672027,0.07986915530722398,6318.2306424568405,3722.7149066261118,42051.83090909091,41734.36861094971
Sahil Mah.,3,0.1555903769672575,0.1584245666140405,5265.426433417581,4830.016502015544,35550.026666666665,39616.39031856443
Bahçecik Şehitekrem Mh.,2,0.15519088511750923,0.15519088511750923,5686.599356529176,5686.599356529176,37152.78,37489.14392654049
Körfez Mh.,11,0.15411787319268166,0.12764893218884032,5670.685764909752,4694.994612635885,35762.35999999999,34861.78771480704
Döngel Mh.,39,0.13890637392351926,0.13602711523110594,5821.203718209337,5072.336977057574,40185.3958974359,38973.98075870771
Kullar Yakacık Mh.,24,0.13480768732109966,0.15222967307264634,5449.281897789092,5362.492167804277,39630.2175,38995.020631935644
Kullar Tepecik Mh.,11,0.11647003607562184,0.0778387245930278,4479.599243693382,3166.62098292313,38974.27636363636,37657.328649066556
Paşadağ Mh.,113,0.1157168452759005,0.09764243791969564,4784.382864985358,3871.3916890469773,41525.32654867257,41049.418104081255
Barbaros Mah.,108,0.11567563709401728,0.09065209451481812,4865.804928600362,3506.051371376612,41193.614074074074,40594.848553156065
Aydınkent Mh.,21,0.11318253074498744,0.1057959900909865,4184.157733149198,3900.0420929960856,37026.04285714286,38252.29520660838
Fatih Mah.,194,0.11153355580986207,0.0921599093862248,4553.8874832998945,3766.3411954904623,41636.47659793814,41666.21546030304
Serdar Mah.,38,0.11034772488971335,0.09629635805383235,4298.514923377018,3154.5204291334594,37623.35236842106,36789.56602908185
Yeşilyurt Mh.,201,0.10481578927828664,0.08283597204683711,4518.219162744981,3515.5625387835244,41696.01975124378,41121.064418967624
Mahmutpaşa Mh.,26,0.10398080960651328,0.10797957783456627,4435.776589505025,4884.074765936282,43813.14692307693,44269.2046073356
Yaylacık Mh.,35,0.09454367588197646,0.0667790679722757,3929.7752185458235,3227.6547293964322,42852.42228571429,42651.01599830379
Havuzlubahçe Mh.,10,0.0857822482178854,0.0546276968609226,2754.9372115009264,1765.4624147634713,31740.775,31430.409875924244
Kullar Merkez Mh.,7,0.08323946608048106,0.060634760520080065,2879.2200959039774,2098.895276611569,38300.97571428572,39322.186636874234
Altınkent Mh.,24,0.08196029078013817,0.0686418982407905,3004.2082807624734,2289.1833407340237,35407.8325,35118.174991873144
Damlar Mah.,5,0.07488631095371404,0.07516826464777182,2874.030544004905,2977.4442783214545,39906.932,40958.89916750864
Yeniköy Merkez Mh.,10,0.0700401536331873,0.060434028296520635,2740.4485651500654,2485.790785531819,38734.704,38352.30047088259
Yeşilkent Mh.,5,0.06489407229456659,0.05470358848101816,1907.6987758689277,1690.8381396827535,29533.484000000004,29278.164644872024
Vezirçiftliği Mh.,1,0.028628975611085745,0.028628975611085745,1025.8715306339873,1025.8715306339873,35833.33,36859.20153063399
