model_scope,feature,importance,rank
gradient_boosting,num__attr_total_quality_score,0.09338682950103507,1
gradient_boosting,num__attr_m2_per_room,0.030442069209937486,2
extra_trees,num__attr_total_quality_score,0.02850944683506335,3
gradient_boosting,num__attr_quality_x_county_income,0.028460738921916747,4
extra_trees,num__attr_quality_x_county_income,0.026162693800151366,5
extra_trees,num__attr_effect_total_quality_bucket,0.017907498169646197,6
extra_trees,num__attr_has_elevator,0.014460977513644413,7
extra_trees,num__attr_effect_elevator,0.014038981581672097,8
gradient_boosting,num__attr_quality_x_location_baseline,0.012227347200261909,9
extra_trees,num__attr_m2_per_room,0.011847054139109338,10
extra_trees,num__attr_quality_x_location_baseline,0.010068390003850512,11
extra_trees,num__detail_effect_outside_x_attr_quality,0.008460177037729543,12
extra_trees,num__attr_compactness_score,0.00787473735436233,13
gradient_boosting,num__attr_quality_x_district_median,0.006530736582712087,14
extra_trees,num__detail_effect_total_x_attr_quality,0.005056091020143269,15
gradient_boosting,num__detail_effect_inside_x_attr_quality,0.004973509495862079,16
gradient_boosting,num__attr_net_gross_ratio,0.0047467999332418825,17
extra_trees,num__attr_net_gross_ratio,0.004449365469352434,18
extra_trees,num__attr_net_gross_good,0.003534273736336166,19
extra_trees,num__attr_quality_x_demo_income,0.0035263434913272622,20
extra_trees,num__attr_compact_home_x_quality,0.003483780961630777,21
extra_trees,num__detail_effect_inside_x_attr_quality,0.0033091392991802817,22
extra_trees,num__attr_new_building_x_site_inside,0.0032443341649129767,23
gradient_boosting,num__detail_effect_outside_x_attr_quality,0.0029220896654101255,24
gradient_boosting,num__attr_old_building_x_no_elevator,0.002568561862996711,25
extra_trees,num__attr_building_age_inverse,0.002561478794629306,26
extra_trees,num__attr_floor_ratio,0.002534969818531357,27
extra_trees,num__attr_net_gross_bad,0.002453963993473924,28
extra_trees,num__attr_is_middle_floor,0.002420948953410115,29
extra_trees,num__attr_floor_quality_score,0.002108875175790746,30
extra_trees,num__attr_amenity_score,0.0020596303632162073,31
gradient_boosting,num__detail_effect_total_x_attr_quality,0.0020137458745043404,32
gradient_boosting,num__attr_is_old_building,0.001967062809793461,33
gradient_boosting,num__attr_new_building_x_site_inside,0.0019343997777371584,34
extra_trees,num__attr_building_age_score,0.0018259762953013608,35
gradient_boosting,num__attr_building_age_inverse,0.0016709151135776675,36
extra_trees,num__attr_is_old_building,0.0016123339924205423,37
extra_trees,num__attr_heating_quality_score,0.0014991241651357418,38
extra_trees,num__attr_is_young_building,0.0013830735971034618,39
extra_trees,num__attr_is_ground_or_below,0.0013511982123328005,40
extra_trees,num__attr_large_home_x_quality,0.0013506409114274675,41
extra_trees,num__attr_old_building_x_no_elevator,0.0012454395085531222,42
extra_trees,num__attr_effect_building_age_bucket,0.0012412787664080674,43
gradient_boosting,num__attr_effect_building_age_bucket,0.0012299762530358753,44
extra_trees,num__attr_quality_x_district_median,0.001165073767211669,45
gradient_boosting,num__attr_has_natural_gas_heating,0.0010918891112979578,46
gradient_boosting,num__attr_quality_x_demo_income,0.001021906581057795,47
gradient_boosting,num__attr_has_elevator,0.001004603499707931,48
extra_trees,num__attr_is_site_inside,0.0009974059778622981,49
gradient_boosting,num__attr_floor_ratio,0.0009957277882044109,50
extra_trees,num__attr_is_new_building,0.0009471602375793742,51
gradient_boosting,num__attr_compact_home_x_quality,0.0009111097298940968,52
extra_trees,num__attr_is_furnished,0.0009102491469077362,53
extra_trees,num__attr_effect_site_inside,0.0007977467458626773,54
extra_trees,num__attr_is_mid_age_building,0.0006773326056771009,55
extra_trees,num__attr_is_top_floor,0.0006743328200006275,56
extra_trees,num__attr_has_natural_gas_heating,0.0005872650244905304,57
gradient_boosting,num__attr_amenity_score,0.0005329815758042807,58
gradient_boosting,num__attr_effect_elevator,0.0005236364602406374,59
extra_trees,num__attr_has_parking,0.00040723013019113637,60
gradient_boosting,num__attr_floor_quality_score,0.00035596638538469035,61
extra_trees,num__attr_effect_parking,0.0003519294482075952,62
extra_trees,num__attr_has_balcony,0.00028882866421055026,63
gradient_boosting,num__attr_effect_site_inside,0.00026431878143345233,64
extra_trees,num__attr_effect_heating_quality_bucket,0.0002608608734951215,65
extra_trees,num__location_source_data_attr_map,0.00020540401121554245,66
extra_trees,cat__location_source_data_attr_map,0.00016418090175912225,67
gradient_boosting,num__attr_heating_quality_score,0.00013234770413199566,68
extra_trees,num__attr_has_premium_heating,7.259481337656019e-05,69
extra_trees,num__attr_has_poor_heating,9.389686297372173e-06,70
gradient_boosting,num__attr_is_new_building,0.0,71
gradient_boosting,num__attr_is_mid_age_building,0.0,72
gradient_boosting,num__attr_is_middle_floor,0.0,73
gradient_boosting,num__attr_building_age_score,0.0,74
gradient_boosting,num__attr_is_top_floor,0.0,75
gradient_boosting,num__attr_is_young_building,0.0,76
gradient_boosting,num__attr_county_old_building_discount,0.0,77
gradient_boosting,num__attr_county_new_building_premium,0.0,78
gradient_boosting,num__attr_effect_total_quality_bucket,0.0,79
gradient_boosting,num__attr_effect_heating_quality_bucket,0.0,80
gradient_boosting,num__attr_effect_parking,0.0,81
gradient_boosting,num__attr_large_home_x_quality,0.0,82
gradient_boosting,num__attr_net_gross_bad,0.0,83
gradient_boosting,num__attr_net_gross_good,0.0,84
gradient_boosting,num__attr_is_furnished,0.0,85
gradient_boosting,num__attr_has_balcony,0.0,86
gradient_boosting,num__attr_has_parking,0.0,87
gradient_boosting,num__attr_compactness_score,0.0,88
gradient_boosting,num__attr_is_site_inside,0.0,89
gradient_boosting,num__attr_credit_eligible,0.0,90
gradient_boosting,num__attr_has_premium_heating,0.0,91
gradient_boosting,num__attr_has_poor_heating,0.0,92
gradient_boosting,num__attr_is_ground_or_below,0.0,93
gradient_boosting,num__attr_county_high_quality_premium,0.0,94
gradient_boosting,num__attr_county_parking_premium,0.0,95
gradient_boosting,num__attr_county_good_heating_premium,0.0,96
gradient_boosting,num__attr_county_elevator_premium,0.0,97
gradient_boosting,num__attr_county_site_inside_premium,0.0,98
gradient_boosting,num__location_source_data_attr_map,0.0,99
gradient_boosting,cat__location_source_data_attr_map,0.0,100
extra_trees,num__attr_credit_eligible,0.0,101
extra_trees,num__attr_county_elevator_premium,0.0,102
extra_trees,num__attr_county_old_building_discount,0.0,103
extra_trees,num__attr_county_new_building_premium,0.0,104
extra_trees,num__attr_county_site_inside_premium,0.0,105
extra_trees,num__attr_county_high_quality_premium,0.0,106
extra_trees,num__attr_county_parking_premium,0.0,107
extra_trees,num__attr_county_good_heating_premium,0.0,108
