model_scope,feature,importance,rank
gradient_boosting,num__attr_total_quality_score,0.09132214353797755,1
gradient_boosting,num__attr_m2_per_room,0.031069028203195133,2
extra_trees,num__attr_total_quality_score,0.03055971665025549,3
gradient_boosting,num__attr_quality_x_county_income,0.02604654654516708,4
extra_trees,num__attr_quality_x_county_income,0.024102632667250216,5
extra_trees,num__attr_effect_elevator,0.016425863448776404,6
extra_trees,num__attr_effect_total_quality_bucket,0.01548910606459797,7
gradient_boosting,num__attr_quality_x_location_baseline,0.01359935096035005,8
extra_trees,num__attr_has_elevator,0.013451793635011675,9
extra_trees,num__attr_m2_per_room,0.010631379872660598,10
extra_trees,num__attr_quality_x_location_baseline,0.010311240029386519,11
extra_trees,num__attr_compactness_score,0.00722174734082797,12
extra_trees,num__detail_effect_outside_x_attr_quality,0.006852455558623672,13
gradient_boosting,num__detail_effect_inside_x_attr_quality,0.006143638116797955,14
gradient_boosting,num__attr_quality_x_district_median,0.00546430609451251,15
extra_trees,num__detail_effect_total_x_attr_quality,0.004556975296604397,16
gradient_boosting,num__attr_net_gross_ratio,0.004217649288520079,17
extra_trees,num__attr_net_gross_ratio,0.0034039630387974556,18
gradient_boosting,num__attr_building_age_inverse,0.0032938885997294753,19
gradient_boosting,num__attr_quality_x_demo_income,0.003179305962849303,20
extra_trees,num__attr_net_gross_good,0.0031674176124936236,21
gradient_boosting,num__attr_compact_home_x_quality,0.0029897455981955164,22
extra_trees,num__attr_new_building_x_site_inside,0.002806007197932371,23
extra_trees,num__attr_quality_x_demo_income,0.002699402623318645,24
extra_trees,num__attr_is_middle_floor,0.002594920582265823,25
extra_trees,num__detail_effect_inside_x_attr_quality,0.0025395804612248596,26
extra_trees,num__attr_compact_home_x_quality,0.0025107096971041846,27
gradient_boosting,num__detail_effect_outside_x_attr_quality,0.0024523624324163684,28
extra_trees,num__attr_is_old_building,0.002259068332767568,29
extra_trees,num__attr_building_age_inverse,0.002241669512136615,30
extra_trees,num__attr_building_age_score,0.002239969835357061,31
gradient_boosting,num__attr_is_old_building,0.0021795593643646896,32
