decile,n,mean_actual,mean_pred,mean_bias
0,92,28990.019021739125,34013.506088618014,5023.487066878884
1,94,32779.16914893617,36623.05066507697,3843.8815161407865
2,90,35039.15233333334,37328.27875183831,2289.12641850498
3,92,36802.27858695651,39075.562781823224,2273.284194866703
4,93,38664.66096774193,39490.88480175878,826.2238340168427
5,90,40912.58688888889,40446.754939998,-465.8319488908957
6,92,43037.149456521736,41728.62491488293,-1308.5245416388107
7,92,45705.152934782614,43138.164073479784,-2566.9888613028247
8,92,49382.030000000006,45117.38591425606,-4264.64408574394
9,92,57958.77086956522,47648.89835894688,-10309.872510618345
