feature,importance
num__basiskele_detail_group_bucket_median,0.13361694101377242
num__district_m2_group_target_median,0.07191874398476006
num__attr_total_quality_score,0.06679480659767627
num__site_project_oof_price_level,0.0322957003592616
num__attr_quality_x_county_income,0.025158548439218394
num__site_project_oof_residual_mean,0.024624469015795063
num__attr_m2_per_room,0.019327447147837476
num__detail_effect_inside_mean,0.012531766790966696
num__detail_effect_total_mean,0.011030535857148659
num__attr_quality_x_location_baseline,0.010680079396920773
num__detail_effect_front_sum,0.009717995901287049
num__basiskele_lat_lon_interaction,0.009589669172816666
num__attr_has_elevator,0.008706881909359084
cat__elevator_Yok,0.008669412859051444
num__district_room_count_target_median,0.00850019918474262
num__basiskele_district_premium_bucket_mean,0.008444106096857253
num__known_project_x_district_code,0.00817787219379596
num__total_floors,0.007961434957210347
num__attr_effect_total_quality_bucket,0.007904842587549098
num__estimated_monthly_rent_gross,0.007665711149374463
num__detail_effect_front_mean,0.007503569623698616
num__basiskele_detail_subtype_premium_signal,0.00744638517010879
num__attr_effect_elevator,0.0069132932176525505
num__premium_score_x_distance_to_coastline_inv,0.006680685415784861
cat__elevator_Var,0.0063200246999231095
num__location_baseline_log,0.006251149308364186
num__detail_effect_subtype_sum,0.005835408582977488
num__bearing_from_district_centroid_sin,0.005657786435982347
num__detail_effect_subtype_mean,0.00551128414376101
num__location_baseline_m2,0.005138234702051014
num__bearing_from_county_centroid_cos,0.00509451821746406
num__sea_view_x_distance_to_coastline_inv,0.005066523784602128
num__net_m2,0.004943162540549913
num__bearing_from_district_centroid_cos,0.004804738043120353
num__detail_effect_inside_x_attr_quality,0.004417809709041349
num__net_gross_ratio,0.0042990125962048984
cat__floor_segment_Zemin/Giriş,0.004245910206548305
num__lat_centered_county,0.004217596085365027
num__attr_net_gross_ratio,0.00411636543732754
num__attr_compactness_score,0.003890986214296057
num__basiskele_premium_x_gross_m2,0.0038646766899754752
num__gross_m2,0.00379562573065663
num__distance_to_coast_x_site_inside,0.0035613486090388963
num__distance_to_district_centroid_m,0.0035399744610237873
num__attr_building_age_inverse,0.003458096587199335
num__basiskele_district_premium_bucket_count,0.003458076972812854
num__detail_effect_outside_x_attr_quality,0.0034365146775734504
num__location_baseline_vs_trend,0.0034299710289894016
num__dues,0.0034157944313137987
num__basiskele_premium_x_location_baseline,0.003345791482294562
