feature,importance,rank
num__attr_quality_x_location_baseline,0.010680079396920773,1
num__basiskele_lat_lon_interaction,0.009589669172816666,2
num__premium_score_x_distance_to_coastline_inv,0.006680685415784861,3
num__location_baseline_log,0.006251149308364186,4
num__bearing_from_district_centroid_sin,0.005657786435982347,5
num__location_baseline_m2,0.005138234702051014,6
num__bearing_from_county_centroid_cos,0.00509451821746406,7
num__sea_view_x_distance_to_coastline_inv,0.005066523784602128,8
num__bearing_from_district_centroid_cos,0.004804738043120353,9
num__lat_centered_county,0.004217596085365027,10
num__distance_to_coast_x_site_inside,0.0035613486090388963,11
num__distance_to_district_centroid_m,0.0035399744610237873,12
num__location_baseline_vs_trend,0.0034299710289894016,13
num__basiskele_premium_x_location_baseline,0.003345791482294562,14
num__lat_centered_city,0.0031744075230360743,15
num__distance_to_sahil_m,0.0030794796326438457,16
num__distance_to_county_centroid_m,0.002847387239896958,17
num__location_baseline_count,0.0028406380533394972,18
cat__basiskele_geo_cluster_x_m2_group_Başiskele_3||0-75,0.002709861220047865,19
num__distance_to_izmit_center_m,0.002552774155828962,20
num__location_baseline_level_code,0.002381326859415425,21
num__lat,0.00235285320889643,22
num__distance_to_yuvacik_m,0.0023035189401345523,23
num__distance_to_basiskele_coast_m,0.0022395697729455906,24
num__distance_to_kullar_m,0.0021736051316661423,25
num__bearing_from_county_centroid_sin,0.0021534274089737727,26
cat__geo_cluster_city_city_6,0.002094682663868792,27
num__basiskele_distance_to_coast_x_large_home,0.0020578352557323923,28
cat__geo_cluster_x_room_count_city_6||3+1,0.0020345886149975845,29
num__detail_effect_view_x_location_baseline,0.0018213006706234956,30
cat__geo_cluster_city_city_1,0.0017903408267782,31
num__is_small_flat,0.001723611529988172,32
num__distance_to_coast_x_large_home,0.001696892562705927,33
num__distance_to_coastline_inv,0.0016885757041626309,34
num__distance_to_geo_cluster_center_m,0.001650958853686857,35
num__distance_to_bahcecik_m,0.001564365319937801,36
num__distance_to_coast_x_view_sea,0.001399446551462141,37
num__distance_to_golcuk_center_m,0.0012859187481005607,38
num__is_large_flat,0.001029910558580139,39
num__distance_to_coastline_m,0.0010198917005607379,40
num__transport_score,0.0009945515406283043,41
num__location_quality_x_detail_effect_total,0.0009773157026997821,42
num__lon_centered_city,0.0008773454888111999,43
num__basiskele_distance_to_coast_x_quality,0.0007751141757376549,44
cat__geo_cluster_city_city_0,0.0007730142531728831,45
cat__coast_distance_bucket_1000_3000,0.0007595325071533269,46
num__demo_population_density,0.0007383588437207014,47
num__lon,0.0007053569186480468,48
cat__geo_cluster_x_room_count_city_0||3+1,0.0006742772130360383,49
cat__geo_cluster_x_room_count_city_9||2+1,0.0006525578968083731,50
cat__coast_distance_bucket_500_1000,0.0006463264350275165,51
num__lon_centered_county,0.0005840880508276792,52
cat__basiskele_geo_cluster_x_m2_group_Başiskele_1||126-150,0.0005296798633531743,53
cat__geo_cluster_city_city_11,0.0004948322507560418,54
cat__geo_cluster_x_room_count_missing||3+1,0.000490462062558703,55
cat__basiskele_geo_cluster_x_m2_group_other||101-125,0.000489223813403669,56
num__distance_to_karamursel_center_m,0.00046633848190154623,57
cat__coast_distance_bucket_0_500,0.0004196738545121382,58
cat__geo_cluster_x_room_count_city_5||3+1,0.00041539375489272137,59
cat__geo_cluster_city_city_5,0.0004069016066171305,60
cat__geo_cluster_x_room_count_city_1||3+1,0.000396800948359241,61
cat__geo_cluster_x_room_count_city_5||4+1,0.00039441716663679533,62
cat__geo_cluster_county_Başiskele_0,0.00038028325037374103,63
num__demo_high_school_diff_county,0.00036963232313286655,64
num__distance_to_coast_x_near_sea_zero,0.00036831695783771083,65
cat__geo_cluster_x_room_count_missing||4+1,0.000350520575668109,66
cat__coast_distance_bucket_3000_plus,0.0003475545726791091,67
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||126-150,0.0003238079982580505,68
cat__basiskele_geo_cluster_x_m2_group_Başiskele_3||101-125,0.00032311885066186257,69
num__demo_education_high_school_ratio,0.00031341051528019424,70
cat__basiskele_geo_cluster_x_m2_group_Başiskele_4||126-150,0.00030278686071374603,71
cat__geo_cluster_x_room_count_city_0||2+1,0.0002975531679554556,72
cat__geo_cluster_city_city_9,0.00029094738627917293,73
cat__geo_cluster_x_room_count_missing||2+1,0.00028197860854380384,74
cat__basiskele_geo_cluster_x_m2_group_other||151-200,0.00028009824945653003,75
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||76-100,0.00026147710622866733,76
cat__geo_cluster_x_room_count_city_11||3+1,0.00025749550664459813,77
cat__geo_cluster_city_city_8,0.00024803425519890064,78
cat__basiskele_geo_cluster_Başiskele_0,0.00023955780080286426,79
num__demo_pharmacy_count,0.00023640678529513416,80
cat__basiskele_geo_cluster_x_m2_group_other||76-100,0.00022833330344859193,81
cat__geo_cluster_x_room_count_city_0||4+1,0.00022810249758357088,82
cat__geo_cluster_x_room_count_city_8||3+1,0.00022453099493762076,83
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||101-125,0.00021476354855151663,84
cat__geo_cluster_x_room_count_city_1||2+1,0.00021375584325129365,85
cat__basiskele_geo_cluster_x_m2_group_other||126-150,0.00021107388912197815,86
cat__geo_cluster_county_Başiskele_3,0.00020961172848859213,87
cat__basiskele_geo_cluster_x_m2_group_Başiskele_3||126-150,0.0002074000781813877,88
cat__basiskele_geo_cluster_x_m2_group_Başiskele_4||200+,0.00019616611518512216,89
cat__basiskele_geo_cluster_Başiskele_1,0.00019141246466899056,90
cat__geo_cluster_city_city_7,0.00019012021481601546,91
cat__basiskele_geo_cluster_Başiskele_3,0.00018228603542654197,92
num__demo_education_primary_school_ratio,0.0001822567938078095,93
num__demo_pharmacy_per_10k,0.0001742888933405236,94
cat__basiskele_geo_cluster_x_m2_group_Başiskele_3||76-100,0.00017370908929118648,95
cat__basiskele_geo_cluster_x_m2_group_Başiskele_1||101-125,0.00015000902763985817,96
num__demo_education_high_school_count,0.00014806504271859465,97
cat__geo_cluster_x_room_count_city_7||3+1,0.00014416820334053738,98
cat__geo_cluster_county_Başiskele_4,0.0001351956634722041,99
num__demo_population_male,0.00012849535986245695,100
cat__basiskele_geo_cluster_Başiskele_4,0.00012795917504736563,101
cat__geo_cluster_city_city_4,0.00012715332917014708,102
cat__geo_cluster_county_Başiskele_1,0.00012351992155091134,103
num__demo_population_female,0.0001210574560415456,104
cat__geo_cluster_x_room_count_city_8||2+1,0.00012024254936212542,105
cat__location_source_missing,0.00011842535924517582,106
cat__location_precision_missing,0.0001108039541287585,107
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||200+,0.00010719897692797813,108
cat__geo_cluster_x_room_count_city_9||3+1,0.00010538862713297885,109
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||151-200,0.00010316498412497664,110
cat__geo_cluster_x_room_count_city_5||2+1,0.00010211945934807595,111
num__demo_education_primary_school_count,9.936250658938427e-05,112
cat__geo_cluster_x_room_count_city_7||2+1,9.814137190300704e-05,113
num__demo_education_middle_school_count,9.787563659949523e-05,114
num__location_backfill_listing_removed,9.402852802771354e-05,115
cat__geo_cluster_city_city_3,9.323377200809052e-05,116
num__demo_population_total,9.251698977403525e-05,117
cat__coast_distance_bucket_missing,9.132619153823072e-05,118
cat__geo_cluster_x_room_count_city_11||2+1,8.94532526823724e-05,119
cat__geo_cluster_city_missing,8.860799699907577e-05,120
num__coast_distance_bucket_code,8.373710975468146e-05,121
cat__location_precision_exact_map,8.2569947635829e-05,122
num__demo_education_middle_school_ratio,8.164470575184247e-05,123
cat__geo_cluster_x_room_count_city_1||4+1,7.832179420888842e-05,124
cat__geo_cluster_x_room_count_city_4||3+1,7.736834522021505e-05,125
num__geo_context_has_exact_location,7.692920299922971e-05,126
cat__basiskele_geo_cluster_x_m2_group_Başiskele_3||151-200,7.598648196784842e-05,127
num__geo_context_has_approx_location,7.09346824452064e-05,128
num__location_precision_missing,6.95185603587863e-05,129
cat__basiskele_geo_cluster_x_m2_group_Başiskele_4||151-200,6.868425461073216e-05,130
num__location_quality_score,6.658779835589802e-05,131
num__location_backfill_ok,6.476793223837491e-05,132
num__geo_context_missing,6.385147196663125e-05,133
cat__geo_cluster_county_other,6.250688032150337e-05,134
cat__basiskele_geo_cluster_x_m2_group_Başiskele_4||101-125,6.158896788908453e-05,135
cat__basiskele_geo_cluster_x_m2_group_Başiskele_4||76-100,6.125276096578736e-05,136
num__location_precision_exact,6.009460153473016e-05,137
cat__geo_cluster_x_room_count_city_3||3+1,5.9982399817371237e-05,138
cat__basiskele_geo_cluster_other,5.9042438413453715e-05,139
num__has_lat_lon,5.85025318999411e-05,140
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||0-75,5.792531006662594e-05,141
cat__basiskele_geo_cluster_x_m2_group_Başiskele_1||76-100,5.584468277066278e-05,142
num__location_source_data_attr_map,5.518462116814636e-05,143
cat__basiskele_geo_cluster_Başiskele_5,5.509529690342257e-05,144
cat__geo_cluster_county_Başiskele_5,5.409435498443483e-05,145
cat__geo_cluster_x_room_count_city_4||2+1,5.21317666838729e-05,146
cat__geo_cluster_x_room_count_city_0||1+1,5.112851515480747e-05,147
cat__geo_cluster_x_room_count_city_10||3+1,5.110614046193834e-05,148
cat__geo_cluster_city_city_10,5.097462635542582e-05,149
cat__basiskele_geo_cluster_x_m2_group_Başiskele_1||151-200,4.9656734499339897e-05,150
cat__basiskele_geo_cluster_x_m2_group_other||200+,4.115872285516089e-05,151
cat__basiskele_geo_cluster_x_m2_group_Başiskele_3||200+,4.069936363830559e-05,152
cat__geo_cluster_city_city_2,3.979559217763987e-05,153
cat__geo_cluster_x_room_count_city_10||1+1,3.978438139406642e-05,154
cat__location_source_data_attr_map,3.668314273907238e-05,155
cat__geo_cluster_x_room_count_city_2||3+1,3.659715528368676e-05,156
cat__geo_cluster_x_room_count_city_7||4+1,2.3943868412349143e-05,157
cat__basiskele_geo_cluster_x_m2_group_Başiskele_5||101-125,2.11403788705995e-05,158
cat__geo_cluster_x_room_count_city_6||2+1,1.9669204749821756e-05,159
cat__geo_cluster_x_room_count_city_3||4+1,1.7705613724413887e-05,160
cat__geo_cluster_county_Başiskele_2,1.6106721606903854e-05,161
cat__basiskele_geo_cluster_x_m2_group_Başiskele_5||151-200,1.576524580591052e-05,162
cat__basiskele_geo_cluster_Başiskele_2,1.5742441690537057e-05,163
cat__geo_cluster_x_room_count_city_8||4+1,1.3562472094809842e-05,164
cat__basiskele_geo_cluster_x_m2_group_Başiskele_1||200+,1.2160874709971357e-05,165
cat__basiskele_geo_cluster_x_m2_group_other||0-75,1.2036045516685757e-05,166
cat__geo_cluster_x_room_count_missing||1+1,1.0753602896061419e-05,167
cat__geo_cluster_x_room_count_city_2||2+1,1.0417185686964113e-05,168
cat__basiskele_geo_cluster_x_m2_group_Başiskele_2||101-125,7.750801265687301e-06,169
cat__geo_cluster_x_room_count_city_10||2+1,6.836116995543007e-06,170
cat__geo_cluster_x_room_count_city_2||4+1,5.811345737414733e-06,171
cat__geo_cluster_x_room_count_city_1||1+1,5.107638788027508e-06,172
cat__basiskele_geo_cluster_x_m2_group_Başiskele_5||126-150,4.2468452567609985e-06,173
cat__basiskele_geo_cluster_x_m2_group_Başiskele_1||0-75,3.94413053984725e-06,174
cat__geo_cluster_x_room_count_city_4||4+1,3.1646986549654244e-06,175
cat__geo_cluster_x_room_count_city_5||1+1,2.675339797370092e-06,176
cat__basiskele_geo_cluster_x_m2_group_Başiskele_4||0-75,2.4057268702750138e-06,177
cat__basiskele_geo_cluster_x_m2_group_Başiskele_5||76-100,1.883149433212707e-06,178
cat__geo_cluster_x_room_count_city_3||2+1,1.861233037831784e-06,179
cat__geo_cluster_x_room_count_city_11||4+1,1.3053729565500384e-06,180
cat__basiskele_geo_cluster_x_m2_group_Başiskele_5||0-75,2.8887215271496287e-07,181
cat__geo_cluster_x_room_count_city_1||2.5+1,0.0,182
cat__geo_cluster_x_room_count_city_10||4+1,0.0,183
cat__geo_cluster_x_room_count_city_0||3.5+1,0.0,184
cat__geo_cluster_x_room_count_city_2||5+1,0.0,185
cat__geo_cluster_x_room_count_city_0||4.5+1,0.0,186
cat__geo_cluster_x_room_count_city_0||4+2,0.0,187
cat__geo_cluster_x_room_count_city_0||6+1,0.0,188
cat__basiskele_geo_cluster_x_m2_group_Başiskele_2||126-150,0.0,189
cat__basiskele_geo_cluster_x_m2_group_Başiskele_2||151-200,0.0,190
cat__basiskele_geo_cluster_x_m2_group_Başiskele_2||200+,0.0,191
cat__basiskele_geo_cluster_x_m2_group_Başiskele_2||76-100,0.0,192
cat__geo_cluster_x_room_count_city_0||5+1,0.0,193
cat__geo_cluster_x_room_count_city_9||4+1,0.0,194
cat__geo_cluster_x_room_count_missing||5+1,0.0,195
cat__geo_cluster_x_room_count_city_4||1+1,0.0,196
num__county_demo_population_total_sum,0.0,197
num__county_demo_pharmacy_count_sum,0.0,198
num__county_demo_population_density_mean,0.0,199
num__county_demo_population_density_median,0.0,200
num__county_demo_education_high_school_ratio_mean,0.0,201
num__bsk_distance_to_sea_x_site_inside,0.0,202
num__bsk_distance_to_sea_x_view_sea,0.0,203
num__coastal_access_score,0.0,204
num__bsk_distance_to_sea_x_large_home,0.0,205
num__bsk_distance_to_sea_x_near_sea_zero,0.0,206
num__bsk_coastal_x_room_4p1,0.0,207
num__bsk_distance_to_sea_x_quality,0.0,208
num__bsk_coastal_x_geo_cluster,0.0,209
cat__location_source_district_text,0.0,210
num__bsk_coastal_x_large_home,0.0,211
cat__location_precision_district_only,0.0,212
cat__geo_cluster_x_room_count_city_7||5+1,0.0,213
cat__geo_cluster_x_room_count_city_9||1+1,0.0,214
