site_project_name_normalized,n,mean_actual,mean_pred,mean_residual,known
royal life,2,54451.415,45933.67905239787,-8517.735947602134,1
zeray korupark,5,53095.166000000005,45117.62941274734,-7977.536587252662,1
zeray perla,8,55492.5925,50360.314564870845,-5132.277935129156,1
orka life sitesi,8,55213.1275,50899.81939571975,-4313.3081042802505,0
parla . yil sitesi,3,49074.073333333334,45066.18961410257,-4007.8837192307597,0
panoramakent,7,52668.114285714284,49550.3570166517,-3117.757269062583,1
evimiz sitesi,7,48757.47714285714,46287.312304613064,-2470.1648382440785,0
teras marmara,3,43910.77666666667,41499.37259831005,-2411.40406835662,0
manar yuvacik,4,40374.9675,38001.971844208674,-2372.99565579133,0
ustgrup mezire,4,47368.8675,45594.078286222706,-1774.7892137772978,1
akademik elit park,4,46173.075,44466.32493576948,-1706.7500642305222,0
mamik life,4,50322.3875,49025.069709086245,-1297.3177909137557,1
altinkent kalici konutlari ada,4,31598.730000000003,30759.001043080705,-839.7289569192953,0
other,127,40526.324960629914,40024.712688371575,-501.6122722583461,1
missing,608,40473.010427631576,39989.267000363885,-483.74342726768947,0
yakamoz konutlari,8,41078.125,40669.57831691391,-408.5466830860869,0
alizepark city,5,46178.534,45816.92899665051,-361.60500334949177,1
zeraykent yuvacik,5,40621.85,40272.00893945151,-349.8410605484918,0
kirazli kent sitesi,8,31865.51125,31797.529120414227,-67.98212958577096,0
evimiz,9,44518.141111111116,44580.348133889645,62.2070227785403,1
royal city akkurt,9,38674.29666666666,39317.253315875714,642.9566492090453,0
yuvacik kalici konutlari ada,4,31752.107500000002,32686.94224125254,934.8347412525354,0
ustpark afraze,5,40139.022,41139.73779912786,1000.7157991278611,0
bahcekent konutlari,14,35091.55,36273.03538017149,1181.485380171491,0
zeray gunesi,17,42846.72529411764,44163.55468807603,1316.82939395838,1
mamik reform,6,47485.878333333334,48873.47325353642,1387.5949202030824,0
royal country,7,41900.91428571429,43413.30746885146,1512.3931831371738,0
sembol kent sitesi,5,34497.23,36493.280955923496,1996.0509559234938,0
marmara elit evleri sitesi,3,32854.166666666664,35252.64882331773,2398.4821566510604,0
esila park sitesi,4,41704.61,44658.839998185955,2954.2299981859596,0
ritim vadi evleri,4,33227.01,37855.361033574234,4628.351033574236,0
yuvana evleri,5,32896.398,38014.770332905275,5118.372332905278,0
elitium trio sitesi,3,37121.21333333333,43171.74459392137,6050.531260588033,0
