feature,importance,rank
num__attr_quality_x_location_baseline,0.011955295494868285,1
num__basiskele_lat_lon_interaction,0.01093154307854257,2
num__premium_score_x_distance_to_coastline_inv,0.008189085452947486,3
num__bearing_from_county_centroid_cos,0.005916965536347084,4
num__lat_centered_county,0.005887622367130682,5
num__bearing_from_district_centroid_sin,0.005554225643168605,6
num__location_baseline_log,0.005322131195331796,7
num__bearing_from_district_centroid_cos,0.004903055124132655,8
num__sea_view_x_distance_to_coastline_inv,0.00450783007732733,9
num__location_baseline_m2,0.004361263156521853,10
num__location_baseline_level_code,0.0036169801577809564,11
num__lat,0.0033883956160253277,12
num__distance_to_district_centroid_m,0.0033330690852902698,13
num__distance_to_basiskele_coast_m,0.0031895004735244033,14
num__distance_to_yuvacik_m,0.00316399440417479,15
num__distance_to_coast_x_site_inside,0.0030107133116835452,16
num__bearing_from_county_centroid_sin,0.0029921295825105403,17
num__location_baseline_count,0.002917913226160306,18
num__lat_centered_city,0.0029147465875464214,19
num__distance_to_kullar_m,0.002753479144935465,20
num__distance_to_county_centroid_m,0.002663697044334658,21
num__basiskele_premium_x_location_baseline,0.0024884358458056887,22
num__location_baseline_vs_trend,0.002435563855251872,23
cat__geo_cluster_x_room_count_city_6||3+1,0.002150808517433173,24
cat__basiskele_geo_cluster_x_m2_group_Başiskele_3||0-75,0.002122874920499388,25
num__detail_effect_view_x_location_baseline,0.0021143163313324495,26
num__distance_to_sahil_m,0.0021111093781473033,27
num__distance_to_izmit_center_m,0.00207091673854637,28
cat__geo_cluster_city_city_6,0.0020215600381825387,29
num__basiskele_distance_to_coast_x_large_home,0.0019316828587830164,30
num__distance_to_geo_cluster_center_m,0.001799281016820141,31
num__distance_to_coast_x_large_home,0.00179818945092339,32
num__distance_to_bahcecik_m,0.0016243545053084866,33
num__distance_to_golcuk_center_m,0.001586212104632356,34
num__distance_to_coastline_inv,0.0015437650389265927,35
num__distance_to_coast_x_view_sea,0.0015213244660004185,36
num__is_small_flat,0.001395900220118611,37
num__distance_to_karamursel_center_m,0.0012867971106477545,38
cat__geo_cluster_city_city_0,0.0012756153549181243,39
num__is_large_flat,0.001233059437418409,40
cat__geo_cluster_city_city_1,0.0012032044157804839,41
num__transport_score,0.0010074513319095891,42
num__distance_to_coastline_m,0.0009844135341607807,43
num__lon_centered_county,0.0008580742110075564,44
num__location_quality_x_detail_effect_total,0.0007687513149026846,45
num__demo_population_density,0.000739648814517069,46
cat__basiskele_geo_cluster_x_m2_group_Başiskele_1||126-150,0.0007361196152670633,47
cat__coast_distance_bucket_1000_3000,0.0007273814529472166,48
num__lon_centered_city,0.0007266803092214169,49
cat__geo_cluster_x_room_count_city_0||4+1,0.0006834236140779334,50
num__basiskele_distance_to_coast_x_quality,0.0006100149255364438,51
num__lon,0.0006086905731555527,52
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||151-200,0.0005967708716212872,53
cat__geo_cluster_x_room_count_city_0||3+1,0.0005842015154535785,54
cat__geo_cluster_x_room_count_city_9||2+1,0.0005672109911738589,55
cat__geo_cluster_city_city_11,0.0005503933886566387,56
cat__coast_distance_bucket_500_1000,0.0005385601108517343,57
cat__geo_cluster_x_room_count_city_7||3+1,0.0004926134309200525,58
cat__geo_cluster_x_room_count_missing||3+1,0.0004471701072137214,59
cat__coast_distance_bucket_0_500,0.0004357685536617966,60
cat__geo_cluster_x_room_count_missing||4+1,0.0004293417424909914,61
cat__basiskele_geo_cluster_x_m2_group_Başiskele_4||126-150,0.00042554323223520146,62
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||101-125,0.000415634220906494,63
cat__basiskele_geo_cluster_x_m2_group_other||101-125,0.0003871645783567026,64
cat__geo_cluster_city_city_5,0.00037340080385325753,65
cat__coast_distance_bucket_3000_plus,0.0003643069641912939,66
cat__geo_cluster_city_city_7,0.00035174888839241885,67
cat__basiskele_geo_cluster_x_m2_group_Başiskele_3||101-125,0.00034418975977100046,68
cat__geo_cluster_x_room_count_missing||2+1,0.0003308772003486758,69
cat__geo_cluster_x_room_count_city_5||4+1,0.00032838329798991336,70
cat__geo_cluster_x_room_count_city_1||3+1,0.00032830540419655425,71
