site_project_name_normalized,n,mean_actual,mean_pred,mean_residual,known
zeray korupark,5,53095.166000000005,45092.52788269314,-8002.63811730686,1
royal life,2,54451.415,46900.840387632685,-7550.574612367316,1
zeray perla,8,55492.5925,48513.11719748725,-6979.475302512751,1
orka life sitesi,8,55213.1275,48486.6452982149,-6726.482201785101,0
panoramakent,7,52668.114285714284,48646.74328925642,-4021.3709964578675,1
parla . yil sitesi,3,49074.073333333334,45181.56913693723,-3892.50419639611,0
evimiz sitesi,7,48757.47714285714,45700.39760055005,-3057.079542307091,0
manar yuvacik,4,40374.9675,38081.64713766683,-2293.3203623331738,0
ustgrup mezire,4,47368.8675,45356.222570069665,-2012.6449299303385,1
teras marmara,3,43910.77666666667,41907.887508774445,-2002.8891578922169,0
akademik elit park,4,46173.075,44333.18649290652,-1839.8885070934848,0
altinkent kalici konutlari ada,4,31598.730000000003,30887.44518275437,-711.2848172456306,0
missing,608,40473.010427631576,39995.62397299837,-477.3864546332127,0
yakamoz konutlari,8,41078.125,40638.49662574775,-439.62837425224643,0
other,127,40526.324960629914,40126.99979624716,-399.32516438276235,1
alizepark city,5,46178.534,46077.01105258361,-101.52294741638471,1
mamik life,4,50322.3875,50306.24215641386,-16.14534358614037,1
kirazli kent sitesi,8,31865.51125,31939.783934770872,74.27268477087364,0
zeraykent yuvacik,5,40621.85,41105.99339403532,484.14339403531994,0
evimiz,9,44518.141111111116,45041.07465892653,522.9335478154195,1
ustpark afraze,5,40139.022,41032.81767986379,893.7956798637867,0
royal city akkurt,9,38674.29666666666,39685.08012349767,1010.7834568310014,0
yuvacik kalici konutlari ada,4,31752.107500000002,32778.432929579576,1026.3254295795768,0
mamik reform,6,47485.878333333334,48753.65109390897,1267.772760575636,0
bahcekent konutlari,14,35091.55,36593.460281702646,1501.9102817026464,0
royal country,7,41900.91428571429,43461.65756333313,1560.7432776188518,0
zeray gunesi,17,42846.72529411764,44558.037648891004,1711.3123547733533,1
marmara elit evleri sitesi,3,32854.166666666664,35354.35675699106,2500.190090324395,0
sembol kent sitesi,5,34497.23,37199.69396624148,2702.463966241479,0
esila park sitesi,4,41704.61,44917.46862779799,3212.8586277979903,0
ritim vadi evleri,4,33227.01,38049.89031488855,4822.880314888553,0
elitium trio sitesi,3,37121.21333333333,43188.9326918714,6067.7193585380655,0
yuvana evleri,5,32896.398,39113.41125203908,6217.013252039081,0
