model_scope,feature,importance,rank
gradient_boosting,num__attr_total_quality_score,0.09023355906474821,1
extra_trees,num__attr_total_quality_score,0.034227942156443,2
gradient_boosting,num__attr_m2_per_room,0.03046532564433879,3
gradient_boosting,num__attr_quality_x_county_income,0.026822046786994385,4
extra_trees,num__attr_quality_x_county_income,0.026582181458650024,5
extra_trees,num__attr_effect_total_quality_bucket,0.0171084028210301,6
gradient_boosting,num__attr_quality_x_location_baseline,0.015344122257794135,7
extra_trees,num__attr_has_elevator,0.014574884775122813,8
extra_trees,num__attr_m2_per_room,0.012161846869224977,9
extra_trees,num__attr_effect_elevator,0.00991040830276473,10
extra_trees,num__attr_quality_x_location_baseline,0.008408661625132683,11
extra_trees,num__detail_effect_outside_x_attr_quality,0.008012219725334262,12
gradient_boosting,num__attr_quality_x_district_median,0.007264020345706523,13
extra_trees,num__attr_compactness_score,0.006793589479580873,14
gradient_boosting,num__detail_effect_inside_x_attr_quality,0.006078738468761824,15
gradient_boosting,num__attr_net_gross_ratio,0.005328339944728127,16
extra_trees,num__detail_effect_total_x_attr_quality,0.004842067201537911,17
extra_trees,num__attr_net_gross_ratio,0.004089190799232289,18
extra_trees,num__attr_net_gross_good,0.003872933546399655,19
gradient_boosting,num__attr_building_age_inverse,0.003710743633229923,20
gradient_boosting,num__attr_old_building_x_no_elevator,0.0035135846059087183,21
extra_trees,num__attr_compact_home_x_quality,0.0035110385755606614,22
extra_trees,num__attr_new_building_x_site_inside,0.003436853825609925,23
gradient_boosting,num__attr_compact_home_x_quality,0.0031235203013903565,24
extra_trees,num__detail_effect_inside_x_attr_quality,0.0028775508093199765,25
extra_trees,num__attr_is_middle_floor,0.0028420585108019053,26
extra_trees,num__attr_quality_x_demo_income,0.0026893045836432067,27
extra_trees,num__attr_building_age_inverse,0.002618234003932279,28
extra_trees,num__attr_floor_ratio,0.002494179013757783,29
extra_trees,num__attr_building_age_score,0.0023253379757854045,30
extra_trees,num__attr_net_gross_bad,0.0022206625714180964,31
gradient_boosting,num__attr_effect_elevator,0.0019228719958011705,32
extra_trees,num__attr_floor_quality_score,0.0018940178724007278,33
extra_trees,num__attr_old_building_x_no_elevator,0.0017875291537521822,34
gradient_boosting,num__detail_effect_total_x_attr_quality,0.0016803975960781653,35
gradient_boosting,num__attr_new_building_x_site_inside,0.001680112657045242,36
gradient_boosting,num__detail_effect_outside_x_attr_quality,0.0016301024762205556,37
extra_trees,num__attr_amenity_score,0.00158299892196577,38
extra_trees,num__attr_heating_quality_score,0.0015755913700157503,39
extra_trees,num__attr_is_old_building,0.0015413700032319328,40
extra_trees,num__attr_large_home_x_quality,0.0014485264462029746,41
extra_trees,num__attr_effect_building_age_bucket,0.001245327903311522,42
gradient_boosting,num__attr_has_elevator,0.0011887169418017495,43
gradient_boosting,num__attr_floor_ratio,0.0011364033575199512,44
extra_trees,num__attr_quality_x_district_median,0.0010653668378719046,45
extra_trees,num__attr_is_mid_age_building,0.0010284239181858803,46
extra_trees,num__attr_is_ground_or_below,0.0010114188820237442,47
gradient_boosting,num__attr_building_age_score,0.0009750238165220421,48
extra_trees,num__attr_is_young_building,0.0009324383524752134,49
extra_trees,num__attr_effect_site_inside,0.0009175797688380234,50
gradient_boosting,num__attr_effect_building_age_bucket,0.0009014696970135599,51
gradient_boosting,num__attr_is_old_building,0.0008659655454591073,52
extra_trees,num__attr_is_site_inside,0.0008603277674889643,53
gradient_boosting,num__attr_quality_x_demo_income,0.0008594344014380584,54
extra_trees,num__attr_is_new_building,0.0007559121610294448,55
extra_trees,num__attr_is_furnished,0.0007194826569946426,56
gradient_boosting,num__attr_has_natural_gas_heating,0.000668333489466859,57
extra_trees,num__attr_is_top_floor,0.0006613011631851465,58
extra_trees,num__attr_has_natural_gas_heating,0.0006142481937009787,59
extra_trees,num__attr_has_balcony,0.00044316275472973296,60
extra_trees,num__attr_has_parking,0.00042590949918567297,61
extra_trees,num__attr_effect_parking,0.00033534499375632057,62
gradient_boosting,num__attr_amenity_score,0.0002711984484771128,63
gradient_boosting,num__attr_heating_quality_score,0.0002545049999649269,64
gradient_boosting,num__attr_floor_quality_score,0.0001776110975440968,65
extra_trees,cat__location_source_data_attr_map,0.00017282694269626624,66
extra_trees,num__location_source_data_attr_map,0.00017097450340238372,67
gradient_boosting,num__attr_has_balcony,0.00016457230448862158,68
extra_trees,num__attr_has_premium_heating,0.0001637236084939506,69
extra_trees,num__attr_has_poor_heating,8.240695451938333e-05,70
extra_trees,num__attr_effect_heating_quality_bucket,7.575137585521979e-05,71
gradient_boosting,num__attr_is_ground_or_below,0.0,72
gradient_boosting,num__attr_is_middle_floor,0.0,73
gradient_boosting,num__attr_is_top_floor,0.0,74
gradient_boosting,num__attr_is_new_building,0.0,75
gradient_boosting,num__attr_is_young_building,0.0,76
gradient_boosting,num__attr_county_old_building_discount,0.0,77
gradient_boosting,num__attr_county_new_building_premium,0.0,78
gradient_boosting,num__attr_effect_total_quality_bucket,0.0,79
gradient_boosting,num__attr_effect_heating_quality_bucket,0.0,80
gradient_boosting,num__attr_effect_parking,0.0,81
gradient_boosting,num__attr_effect_site_inside,0.0,82
gradient_boosting,num__attr_large_home_x_quality,0.0,83
gradient_boosting,num__attr_net_gross_good,0.0,84
gradient_boosting,num__attr_is_furnished,0.0,85
gradient_boosting,num__attr_has_parking,0.0,86
gradient_boosting,num__attr_net_gross_bad,0.0,87
gradient_boosting,num__attr_compactness_score,0.0,88
gradient_boosting,num__attr_is_site_inside,0.0,89
gradient_boosting,num__attr_credit_eligible,0.0,90
gradient_boosting,num__attr_has_premium_heating,0.0,91
gradient_boosting,num__attr_has_poor_heating,0.0,92
gradient_boosting,num__attr_is_mid_age_building,0.0,93
gradient_boosting,num__attr_county_high_quality_premium,0.0,94
gradient_boosting,num__attr_county_parking_premium,0.0,95
gradient_boosting,num__attr_county_good_heating_premium,0.0,96
gradient_boosting,num__attr_county_elevator_premium,0.0,97
gradient_boosting,num__attr_county_site_inside_premium,0.0,98
gradient_boosting,num__location_source_data_attr_map,0.0,99
gradient_boosting,cat__location_source_data_attr_map,0.0,100
extra_trees,num__attr_credit_eligible,0.0,101
extra_trees,num__attr_county_elevator_premium,0.0,102
extra_trees,num__attr_county_old_building_discount,0.0,103
extra_trees,num__attr_county_new_building_premium,0.0,104
extra_trees,num__attr_county_site_inside_premium,0.0,105
extra_trees,num__attr_county_high_quality_premium,0.0,106
extra_trees,num__attr_county_parking_premium,0.0,107
extra_trees,num__attr_county_good_heating_premium,0.0,108
