decile,n,mean_actual,mean_pred,mean_bias
0,92,28990.019021739125,33964.09057336226,4974.0715516231285
1,94,32779.16914893617,36615.226909329685,3836.0577603935158
2,90,35039.15233333334,37381.81136532996,2342.6590319966226
3,92,36802.27858695651,39167.89490974243,2365.6163227859042
4,93,38664.66096774193,39493.28192056367,828.6209528217316
5,90,40912.58688888889,40586.38164530699,-326.20524358189965
6,92,43037.149456521736,42006.50756695487,-1030.641889566874
7,92,45705.152934782614,43358.93966985945,-2346.213264923166
8,92,49382.030000000006,45298.30480236747,-4083.7251976325324
9,92,57958.77086956522,47724.50136070957,-10234.269508855648
