room_count,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
6+1,1,0.33424759410378224,0.33424759410378224,17640.845987138717,17640.845987138717,52777.78,35136.93401286128
4.5+1,2,0.3306922049077167,0.3306922049077167,11577.855020811317,11577.855020811317,34219.0,45796.855020811316
5+1,6,0.1611295982466456,0.15326653012089553,6496.510004268169,5093.074047841208,36316.30333333334,35335.56629929031
3.5+1,2,0.15333688754476088,0.15333688754476088,10119.215075044584,10119.215075044584,61497.96,51378.74492495542
4+1,80,0.13186809731289434,0.10056233665689154,5259.136115387284,3797.2065742588766,38162.069875,36950.478704679976
1+1,40,0.1238177475125564,0.10327520994822592,6434.843456145345,5679.742002794184,49987.860499999995,47456.50265733681
3+1,400,0.11540047481059705,0.09321349954254746,4497.439098417582,3674.7688042596455,39217.910575,39226.48530537242
2+1,384,0.08863341780814439,0.07475420540455602,3794.1688881582045,3049.6240189494238,42310.314427083336,41999.72921654778
2.5+1,1,0.05814558780544233,0.05814558780544233,2500.26027563402,2500.26027563402,43000.0,45500.26027563402
3+2,1,0.029036806120656976,0.029036806120656976,1053.0955600296002,1053.0955600296002,36267.61,35214.5144399704
4+2,1,0.004817315627776911,0.004817315627776911,167.00029115398502,167.00029115398502,34666.67,34499.66970884601
2+2,1,0.004684523901025627,0.004684523901025627,198.62381340348657,198.62381340348657,42400.0,42201.37618659651
