site_project_name_normalized,n_listings,known_premium,mean_premium_score
missing,608,0,608
other,127,1,127
zeray gunesi,17,1,17
bahcekent konutlari,14,0,14
royal city akkurt,9,0,9
evimiz,9,1,9
zeray perla,8,1,8
kirazli kent sitesi,8,0,8
orka life sitesi,8,0,8
yakamoz konutlari,8,0,8
evimiz sitesi,7,0,7
panoramakent,7,1,7
royal country,7,0,7
mamik reform,6,0,6
zeraykent yuvacik,5,0,5
ustpark afraze,5,0,5
alizepark city,5,1,5
sembol kent sitesi,5,0,5
yuvana evleri,5,0,5
zeray korupark,5,1,5
akademik elit park,4,0,4
esila park sitesi,4,0,4
altinkent kalici konutlari ada,4,0,4
mamik life,4,1,4
manar yuvacik,4,0,4
yuvacik kalici konutlari ada,4,0,4
ustgrup mezire,4,1,4
ritim vadi evleri,4,0,4
elitium trio sitesi,3,0,3
marmara elit evleri sitesi,3,0,3
parla . yil sitesi,3,0,3
teras marmara,3,0,3
royal life,2,1,2
