model_scope,feature,importance,rank
gradient_boosting,num__attr_total_quality_score,0.091600601327348,1
extra_trees,num__attr_total_quality_score,0.03867175605989049,2
gradient_boosting,num__attr_m2_per_room,0.031077654007925237,3
gradient_boosting,num__attr_quality_x_county_income,0.0281068402462224,4
extra_trees,num__attr_quality_x_county_income,0.02469140970617862,5
extra_trees,num__attr_effect_total_quality_bucket,0.017343967390114092,6
extra_trees,num__attr_has_elevator,0.013500608326045278,7
extra_trees,num__attr_effect_elevator,0.011316542054344677,8
extra_trees,num__attr_m2_per_room,0.011203337299244637,9
extra_trees,num__attr_quality_x_location_baseline,0.01001099429256818,10
gradient_boosting,num__attr_quality_x_location_baseline,0.00998472528732179,11
extra_trees,num__detail_effect_outside_x_attr_quality,0.008893789096134438,12
gradient_boosting,num__attr_quality_x_district_median,0.00855322407600085,13
extra_trees,num__attr_compactness_score,0.007706972933799473,14
gradient_boosting,num__detail_effect_inside_x_attr_quality,0.005759953538709427,15
extra_trees,num__detail_effect_total_x_attr_quality,0.005342540776989255,16
gradient_boosting,num__attr_net_gross_ratio,0.004771181574875595,17
gradient_boosting,num__attr_old_building_x_no_elevator,0.004313850266257023,18
gradient_boosting,num__detail_effect_outside_x_attr_quality,0.0041352442988392525,19
extra_trees,num__attr_net_gross_ratio,0.003931310720685136,20
extra_trees,num__attr_net_gross_good,0.003234404177031295,21
extra_trees,num__attr_new_building_x_site_inside,0.0031302156064884935,22
extra_trees,num__detail_effect_inside_x_attr_quality,0.0031181746006068586,23
extra_trees,num__attr_compact_home_x_quality,0.003019984774518073,24
gradient_boosting,num__attr_building_age_inverse,0.002954827826832022,25
extra_trees,num__attr_quality_x_demo_income,0.002951341827585548,26
extra_trees,num__attr_is_middle_floor,0.002660871636826844,27
extra_trees,num__attr_building_age_score,0.0025975746304875455,28
extra_trees,num__attr_building_age_inverse,0.0024669139505467627,29
gradient_boosting,num__attr_has_elevator,0.002454143708754491,30
extra_trees,num__attr_net_gross_bad,0.002369604938836236,31
extra_trees,num__attr_floor_ratio,0.002366234192052882,32
gradient_boosting,num__attr_quality_x_demo_income,0.0020865759170099036,33
extra_trees,num__attr_old_building_x_no_elevator,0.002027422290546982,34
extra_trees,num__attr_amenity_score,0.0018766183094284918,35
extra_trees,num__attr_floor_quality_score,0.0017287966442537535,36
extra_trees,num__attr_heating_quality_score,0.0015584251825169026,37
extra_trees,num__attr_is_old_building,0.0015333339583634442,38
extra_trees,num__attr_large_home_x_quality,0.0015196178280580815,39
extra_trees,num__attr_effect_building_age_bucket,0.0012507623226809652,40
extra_trees,num__attr_is_mid_age_building,0.0011916153803884762,41
extra_trees,num__attr_quality_x_district_median,0.00111061206783127,42
extra_trees,num__attr_is_ground_or_below,0.0010936165711148704,43
gradient_boosting,num__attr_new_building_x_site_inside,0.0010875630219335636,44
gradient_boosting,num__attr_effect_building_age_bucket,0.0010407227207243365,45
extra_trees,num__attr_is_young_building,0.0010358380586653424,46
extra_trees,num__attr_effect_site_inside,0.0009804065262783023,47
gradient_boosting,num__attr_amenity_score,0.0008713713277616953,48
gradient_boosting,num__detail_effect_total_x_attr_quality,0.0008533228873866516,49
extra_trees,num__attr_is_site_inside,0.0008447716422665597,50
extra_trees,num__attr_is_furnished,0.0008391021487632177,51
extra_trees,num__attr_has_natural_gas_heating,0.0008193483932231592,52
extra_trees,num__attr_is_new_building,0.0007901876886519039,53
gradient_boosting,num__attr_is_old_building,0.0007265987564310672,54
gradient_boosting,num__attr_has_natural_gas_heating,0.0006866765543276524,55
