model_scope,county,feature,importance,rank
gradient_boosting,,num__detail_effect_inside_mean,0.01821766808043946,1
gradient_boosting,,num__detail_effect_total_mean,0.01574520737115589,2
gradient_boosting,,num__detail_effect_front_sum,0.015168163832080339,3
gradient_boosting,,num__detail_effect_subtype_sum,0.011823004135424274,4
gradient_boosting,,num__detail_effect_outside_sum,0.011802853075755357,5
gradient_boosting,,num__detail_effect_county_total_sum,0.0100104086952161,6
gradient_boosting,,num__detail_effect_outside_mean,0.009962397889594845,7
extra_trees,,num__detail_effect_outside_x_attr_quality,0.008893789096134438,8
extra_trees,,num__detail_effect_outside_sum,0.007989862161473864,9
gradient_boosting,,num__detail_effect_front_mean,0.007522203718329811,10
extra_trees,,num__detail_effect_subtype_mean,0.006971451664524883,11
gradient_boosting,,num__detail_effect_subtype_mean,0.006758466834566055,12
extra_trees,,num__detail_effect_subtype_sum,0.006750881876444724,13
gradient_boosting,,num__detail_effect_inside_x_attr_quality,0.005759953538709427,14
extra_trees,,num__detail_effect_total_x_attr_quality,0.005342540776989255,15
extra_trees,,num__detail_effect_outside_mean,0.005204618862625121,16
extra_trees,,num__detail_effect_county_total_sum,0.005100909411948294,17
extra_trees,,num__detail_effect_total_sum,0.005044833824217667,18
extra_trees,,num__detail_effect_front_mean,0.004724822566880586,19
gradient_boosting,,num__detail_effect_transport_sum,0.004541964386187586,20
extra_trees,,num__detail_effect_total_mean,0.004171634482272483,21
gradient_boosting,,num__detail_effect_outside_x_attr_quality,0.0041352442988392525,22
extra_trees,,num__detail_effect_front_sum,0.004054543182777162,23
gradient_boosting,,num__detail_effect_total_abs_sum,0.004005482075194784,24
extra_trees,,num__detail_effect_inside_mean,0.003572019651266164,25
gradient_boosting,,num__detail_effect_used_count,0.003513680453453075,26
extra_trees,,num__detail_effect_district_total_sum,0.00339355985156154,27
gradient_boosting,,num__detail_effect_total_sum,0.0033739463662176505,28
extra_trees,,num__detail_effect_inside_x_attr_quality,0.0031181746006068586,29
gradient_boosting,,num__detail_effect_nearby_sum,0.002994433514528891,30
extra_trees,,num__detail_effect_negative_count,0.0028220513550727944,31
gradient_boosting,,num__detail_effect_view_x_location_baseline,0.0027880180129823988,32
extra_trees,,num__detail_effect_level_code,0.0026586516606180795,33
extra_trees,,num__detail_effect_inside_sum,0.002402237925227497,34
gradient_boosting,,num__detail_effect_district_total_sum,0.002173322120893754,35
extra_trees,,num__detail_effect_total_abs_sum,0.002124869731283086,36
extra_trees,,num__detail_effect_view_mean,0.001965639207225581,37
gradient_boosting,,num__detail_effect_positive_count,0.001955471643546269,38
extra_trees,,num__detail_effect_transport_mean,0.0019503382414456252,39
extra_trees,,num__detail_effect_transport_sum,0.0019448325320830754,40
extra_trees,,num__detail_effect_view_x_location_baseline,0.0019184392865123267,41
gradient_boosting,,num__detail_effect_transport_mean,0.0018907129936282015,42
gradient_boosting,,num__detail_effect_view_mean,0.0017939860660186131,43
extra_trees,,num__detail_effect_view_sum,0.001764735863526945,44
extra_trees,,num__detail_effect_positive_count,0.0016342868260533494,45
extra_trees,,num__detail_effect_nearby_sum,0.0015240923569399287,46
extra_trees,,num__detail_effect_used_count,0.0015233233947694294,47
extra_trees,,num__location_quality_x_detail_effect_total,0.0013469431591962172,48
extra_trees,,num__detail_effect_nearby_mean,0.0012770057295983896,49
gradient_boosting,,num__detail_effect_inside_sum,0.001205784971452074,50
gradient_boosting,,num__detail_effect_negative_count,0.0009433640496747492,51
gradient_boosting,,num__detail_effect_total_x_attr_quality,0.0008533228873866516,52
gradient_boosting,,num__detail_effect_level_code,0.0007885944535804861,53
gradient_boosting,,num__detail_effect_nearby_mean,0.0005132017423272643,54
gradient_boosting,,num__detail_effect_view_sum,0.0,55
gradient_boosting,,num__location_quality_x_detail_effect_total,0.0,56
