feature,importance
num__basiskele_detail_group_bucket_median,0.13556914389263625
num__district_m2_group_target_median,0.07486541725467964
num__attr_total_quality_score,0.06513617869361925
num__attr_quality_x_county_income,0.026399124976200512
num__attr_m2_per_room,0.02114049565358494
num__basiskele_lat_lon_interaction,0.012230276127540332
num__detail_effect_inside_mean,0.010894843865852813
num__attr_quality_x_location_baseline,0.009997859789944986
num__detail_effect_total_mean,0.009958420926714187
num__detail_effect_outside_sum,0.00989635761861461
num__basiskele_district_premium_bucket_mean,0.009806359258013334
num__detail_effect_front_sum,0.009611353507428751
num__detail_effect_subtype_sum,0.009286943005934498
num__attr_effect_total_quality_bucket,0.008922020261699271
num__total_floors,0.008778556186354152
num__basiskele_detail_subtype_premium_signal,0.008682909789934
cat__elevator_Yok,0.008350789900154781
num__attr_has_elevator,0.007977376017399885
num__net_m2,0.007753780450715079
num__detail_effect_outside_mean,0.007583508376109983
num__detail_effect_county_total_sum,0.007555659053582197
cat__elevator_Var,0.007482533144478104
num__estimated_monthly_rent_gross,0.007192847947363337
num__dues,0.007050471017659253
num__lat,0.006938034883091569
num__detail_effect_subtype_mean,0.006864959249545469
num__bearing_from_district_centroid_sin,0.006667033764377937
num__detail_effect_outside_x_attr_quality,0.006514516697486846
num__district_room_count_target_median,0.00638421107147639
num__location_baseline_log,0.006272720518778398
num__detail_effect_front_mean,0.006123513142605199
num__bearing_from_county_centroid_cos,0.006051704193974232
num__attr_effect_elevator,0.0056582710271723385
num__distance_to_coast_x_site_inside,0.005376205264915027
num__gross_m2,0.005294485056695715
num__location_baseline_m2,0.005289938749045612
cat__floor_segment_Zemin/Giriş,0.005134631625980328
num__attr_quality_x_district_median,0.00483191807191606
num__bearing_from_district_centroid_cos,0.004808853363822817
num__text_luxury_signal,0.004705819048954659
num__detail_effect_inside_x_attr_quality,0.0044390640696581425
num__attr_net_gross_ratio,0.004351246147780366
num__basiskele_detail_outside_premium_signal,0.004312444614784422
num__location_baseline_vs_trend,0.004232492545976971
num__detail_effect_total_sum,0.004209390095217659
num__basiskele_premium_score,0.004181539272817324
num__attr_compactness_score,0.0038534864668997365
num__basiskele_premium_x_detail_outside,0.003853055562175839
num__basiskele_district_premium_bucket_count,0.0038521010188358653
num__net_gross_ratio,0.003770708306412085
