site_project_name_normalized,n,mean_actual,mean_pred,mean_residual,known
zeray korupark,5,53095.166000000005,44586.37631853352,-8508.789681466478,1
royal life,2,54451.415,47717.48949856145,-6733.925501438553,1
parla . yil sitesi,3,49074.073333333334,44739.42236906563,-4334.650964267709,0
zeray perla,8,55492.5925,51365.067839121744,-4127.524660878256,1
orka life sitesi,8,55213.1275,51353.28603382471,-3859.8414661752868,0
teras marmara,3,43910.77666666667,40999.81191214921,-2910.9647545174594,0
panoramakent,7,52668.114285714284,49921.05036554048,-2747.0639201738013,1
manar yuvacik,4,40374.9675,37813.203345384965,-2561.7641546150335,0
evimiz sitesi,7,48757.47714285714,46799.16831959685,-1958.3088232602895,0
mamik life,4,50322.3875,48922.10992636694,-1400.2775736330586,1
akademik elit park,4,46173.075,44775.9415708583,-1397.1334291417043,0
altinkent kalici konutlari ada,4,31598.730000000003,30987.999100794717,-610.7308992052849,0
missing,608,40473.010427631576,40000.9713759504,-472.039051681182,0
yakamoz konutlari,8,41078.125,40638.79871818778,-439.3262818122157,0
alizepark city,5,46178.534,45877.395960543785,-301.13803945621476,1
other,127,40526.324960629914,40299.3806616726,-226.9442989573217,1
kirazli kent sitesi,8,31865.51125,31679.61706707383,-185.89418292617347,0
evimiz,9,44518.141111111116,44582.48190921217,64.34079810106131,1
zeraykent yuvacik,5,40621.85,41025.94974250537,404.09974250536834,0
royal city akkurt,9,38674.29666666666,39208.34468035763,534.0480136909625,0
ustgrup mezire,4,47368.8675,48043.85897372529,674.9914737252857,1
yuvacik kalici konutlari ada,4,31752.107500000002,32634.251178368446,882.143678368443,0
zeray gunesi,17,42846.72529411764,43864.949837281194,1018.2245431635524,1
ustpark afraze,5,40139.022,41298.06425153042,1159.0422515304235,0
bahcekent konutlari,14,35091.55,36259.40711235439,1167.8571123543932,0
royal country,7,41900.91428571429,43259.677309112085,1358.7630233978,0
sembol kent sitesi,5,34497.23,35953.41999496167,1456.1899949616695,0
mamik reform,6,47485.878333333334,49614.31030653443,2128.4319732010954,0
marmara elit evleri sitesi,3,32854.166666666664,35239.13759758989,2384.9709309232203,0
esila park sitesi,4,41704.61,44347.62594777202,2643.0159477720244,0
ritim vadi evleri,4,33227.01,37421.61078994825,4194.600789948252,0
yuvana evleri,5,32896.398,37796.92790839324,4900.529908393243,0
elitium trio sitesi,3,37121.21333333333,44015.412547065935,6894.199213732605,0
