model_scope,feature,importance,rank
gradient_boosting,num__attr_total_quality_score,0.086865333399011,1
extra_trees,num__attr_total_quality_score,0.03295107931446735,2
gradient_boosting,num__attr_quality_x_county_income,0.03193378408606533,3
gradient_boosting,num__attr_m2_per_room,0.02918589639358933,4
extra_trees,num__attr_quality_x_county_income,0.024550371035891933,5
extra_trees,num__attr_effect_total_quality_bucket,0.017387771791261997,6
gradient_boosting,num__attr_quality_x_location_baseline,0.01515621409566979,7
extra_trees,num__attr_has_elevator,0.014620014627138102,8
extra_trees,num__attr_effect_elevator,0.012995138143496393,9
extra_trees,num__attr_m2_per_room,0.011903684166938362,10
extra_trees,num__attr_quality_x_location_baseline,0.008910245342737797,11
extra_trees,num__detail_effect_outside_x_attr_quality,0.007249531197150166,12
gradient_boosting,num__attr_quality_x_district_median,0.007247139946334244,13
extra_trees,num__attr_compactness_score,0.0068027834426213326,14
gradient_boosting,num__detail_effect_inside_x_attr_quality,0.005990589853360783,15
extra_trees,num__detail_effect_total_x_attr_quality,0.005282069104299817,16
gradient_boosting,num__attr_old_building_x_no_elevator,0.00450460901578924,17
extra_trees,num__attr_net_gross_ratio,0.004074374795537609,18
extra_trees,num__attr_net_gross_good,0.004026501465553196,19
gradient_boosting,num__attr_net_gross_ratio,0.0037938843328242733,20
gradient_boosting,num__detail_effect_outside_x_attr_quality,0.003648110410274461,21
extra_trees,num__attr_compact_home_x_quality,0.0032279942324762627,22
extra_trees,num__attr_quality_x_demo_income,0.0029315176178274726,23
extra_trees,num__attr_new_building_x_site_inside,0.002817633013821421,24
extra_trees,num__detail_effect_inside_x_attr_quality,0.002753106879832988,25
gradient_boosting,num__attr_compact_home_x_quality,0.0026786528894662213,26
extra_trees,num__attr_net_gross_bad,0.002643871118361441,27
extra_trees,num__attr_is_middle_floor,0.0024975963712276857,28
extra_trees,num__attr_building_age_inverse,0.0024259793832457216,29
gradient_boosting,num__attr_building_age_inverse,0.002270127838857988,30
extra_trees,num__attr_large_home_x_quality,0.0021397168744234137,31
extra_trees,num__attr_floor_ratio,0.0020165538949158293,32
extra_trees,num__attr_building_age_score,0.001987482828941421,33
gradient_boosting,num__attr_effect_building_age_bucket,0.001984439220767353,34
extra_trees,num__attr_floor_quality_score,0.0019167916573783123,35
extra_trees,num__attr_old_building_x_no_elevator,0.0018743274695698516,36
extra_trees,num__attr_heating_quality_score,0.0016046346707241554,37
extra_trees,num__attr_amenity_score,0.001510276180505461,38
extra_trees,num__attr_is_old_building,0.0014577319108675284,39
gradient_boosting,num__attr_new_building_x_site_inside,0.0014304970500761069,40
gradient_boosting,num__attr_has_elevator,0.0014079147247144127,41
extra_trees,num__attr_quality_x_district_median,0.001339719014510182,42
extra_trees,num__attr_effect_building_age_bucket,0.0012680001900533173,43
extra_trees,num__attr_is_ground_or_below,0.0012141707897799139,44
