decile,n,mean_actual,mean_pred,mean_bias
0,92,28990.019021739125,34030.433673268264,5040.414651529139
1,94,32779.16914893617,36630.67836429726,3851.5092153610744
2,90,35039.15233333334,37393.76969029576,2354.617356962424
3,92,36802.27858695651,39147.567786041254,2345.289199084732
4,93,38664.66096774193,39474.65793873496,809.9969709930198
5,90,40912.58688888889,40544.96225529611,-367.62463359278286
6,92,43037.149456521736,41965.05594481522,-1072.0935117065255
7,92,45705.152934782614,43351.267095399046,-2353.8858393835717
8,92,49382.030000000006,45251.534278363644,-4130.495721636362
9,92,57958.77086956522,47690.802934122345,-10267.96793544286
