room_count,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
6+1,1,0.3397783413635373,0.3397783413635373,17932.74654924967,17932.74654924967,52777.78,34845.03345075033
4.5+1,2,0.3183258632481788,0.3183258632481788,11112.37278149335,11112.37278149335,34219.0,45331.37278149335
5+1,6,0.1679286725292232,0.16505249407668451,6748.288726612533,5619.220574315565,36316.30333333334,35327.33148682623
3.5+1,2,0.144440963232723,0.144440963232723,9624.540377614514,9624.540377614514,61497.96,51873.41962238548
4+1,80,0.13030945561087165,0.10459709470607523,5183.990385172974,3664.775426292712,38162.069875,36915.314502655165
1+1,40,0.1222256085202293,0.10108447282445296,6350.895299301041,4902.662712323094,49987.860499999995,47481.47257043065
3+1,400,0.11553334834255902,0.09129346506006329,4505.470017891877,3641.854201559301,39217.910575,39226.1532435509
2+1,384,0.088860068762507,0.07345355871892773,3800.2655917973257,3098.320546065559,42310.314427083336,41979.65631069425
2.5+1,1,0.04220922618600957,0.04220922618600957,1814.9967259984114,1814.9967259984114,43000.0,44814.99672599841
3+2,1,0.024986034313845395,0.024986034313845395,906.1837479411624,906.1837479411624,36267.61,35361.42625205884
2+2,1,0.013693785572956054,0.013693785572956054,580.6165082933367,580.6165082933367,42400.0,41819.38349170666
4+2,1,0.0020549925515501327,0.0020549925515501327,71.23974863704643,71.23974863704643,34666.67,34737.909748637045
