model,feature,importance
extra_trees,num__basiskele_detail_group_bucket_median,0.07780605109224994
extra_trees,num__district_m2_group_target_median,0.059221817211142724
extra_trees,num__attr_total_quality_score,0.03295107931446735
extra_trees,num__attr_quality_x_county_income,0.024550371035891933
extra_trees,cat__elevator_Yok,0.01913045538968991
extra_trees,num__attr_effect_total_quality_bucket,0.017387771791261997
extra_trees,num__attr_has_elevator,0.014620014627138102
extra_trees,cat__elevator_Var,0.014344880809685039
extra_trees,num__attr_effect_elevator,0.012995138143496393
extra_trees,num__attr_m2_per_room,0.011903684166938362
extra_trees,num__site_project_known_premium_flag,0.010273771271779898
extra_trees,num__detail_effect_subtype_sum,0.009201489389701677
extra_trees,num__attr_quality_x_location_baseline,0.008910245342737797
extra_trees,num__basiskele_district_premium_bucket_mean,0.008567247005911537
extra_trees,num__detail_effect_outside_x_attr_quality,0.007249531197150166
extra_trees,num__basiskele_detail_subtype_premium_signal,0.006993049605669403
extra_trees,num__attr_compactness_score,0.0068027834426213326
extra_trees,num__detail_effect_outside_sum,0.006709762703925921
extra_trees,cat__floor_segment_Zemin/Giriş,0.006527499943746228
extra_trees,num__total_floors,0.006446165224481331
extra_trees,num__detail_effect_subtype_mean,0.006209968676608904
extra_trees,num__detail_effect_county_total_sum,0.005717493822939532
extra_trees,num__gross_m2,0.005688916142138663
extra_trees,num__location_baseline_level_code,0.005576198496385541
extra_trees,num__detail_effect_front_mean,0.005390273817319366
extra_trees,num__detail_effect_outside_mean,0.005356306477740122
extra_trees,num__detail_effect_total_x_attr_quality,0.005282069104299817
extra_trees,cat__basiskele_geo_cluster_x_m2_group_Başiskele_3||0-75,0.005088048279406409
extra_trees,num__district_room_count_target_median,0.004866213155673442
extra_trees,cat__site_project_id_zeray_perla,0.004850671650827503
extra_trees,cat__usage_status_Mülk Sahibi,0.004832848179767272
extra_trees,num__bearing_from_district_centroid_cos,0.0046442023393535375
extra_trees,num__estimated_monthly_rent_gross,0.004635144888086158
extra_trees,cat__parking_Açık & Kapalı Otopark,0.004439001603820251
extra_trees,num__bathroom_count,0.004438247274770046
extra_trees,num__detail_effect_total_mean,0.004337683608626918
extra_trees,cat__building_age_group_31 ve üzeri,0.004309875201705669
extra_trees,num__net_m2,0.004260522034367892
extra_trees,num__detail_effect_front_sum,0.004195263796352713
extra_trees,num__is_old_building,0.004162795317596352
extra_trees,num__dues,0.004128450083629496
extra_trees,num__attr_net_gross_ratio,0.004074374795537609
extra_trees,num__attr_net_gross_good,0.004026501465553196
extra_trees,num__net_gross_ratio,0.0039863765809419836
extra_trees,num__basiskele_premium_x_location_baseline,0.0039054079435630108
extra_trees,cat__detail_cephe_Batı|Doğu|Güney,0.0038588551126080652
extra_trees,num__detail_effect_inside_mean,0.003761335641018916
extra_trees,num__basiskele_premium_x_gross_m2,0.0037355759168158204
extra_trees,num__detail_effect_total_sum,0.0037239972668956876
extra_trees,cat__parking_Açık Otopark,0.0037227646578765795
extra_trees,num__basiskele_detail_total_premium_signal,0.003662872558154917
extra_trees,cat__building_age_group_0 (Oturuma Hazır),0.0036594284467198744
extra_trees,num__basiskele_premium_x_detail_outside,0.0035989127980803233
extra_trees,cat__geo_cluster_city_city_6,0.0035656900722559645
extra_trees,num__basiskele_district_premium_bucket_median,0.0034512352482256566
extra_trees,num__bearing_from_county_centroid_cos,0.003441800428754574
extra_trees,num__bearing_from_district_centroid_sin,0.003327913365289176
extra_trees,num__building_age,0.0032941965316091288
extra_trees,num__basiskele_distance_to_coast_x_large_home,0.003248377954512475
extra_trees,num__attr_compact_home_x_quality,0.0032279942324762627
extra_trees,num__distance_to_coast_x_large_home,0.0032023557387653224
extra_trees,cat__usage_status_Boş,0.003195996418155117
extra_trees,num__is_small_flat,0.0030699558901592814
extra_trees,cat__detail_konut_tipi_Ara Kat,0.0030462358016334766
extra_trees,num__attr_quality_x_demo_income,0.0029315176178274726
extra_trees,num__distance_to_coast_x_view_sea,0.0029258543338836155
extra_trees,cat__detail_cephe_Batı|Doğu,0.002908962368725047
extra_trees,num__detail_effect_district_total_sum,0.0028837754073638483
extra_trees,cat__kitchen_Açık (Amerikan),0.002868647198416669
extra_trees,cat__m2_group_0-75,0.0028308174038402635
extra_trees,num__attr_new_building_x_site_inside,0.002817633013821421
extra_trees,num__lat_centered_city,0.002791379647570026
extra_trees,num__floor_num,0.002790281241268046
extra_trees,num__remaining_floors,0.0027839955016003928
extra_trees,num__detail_effect_inside_x_attr_quality,0.002753106879832988
extra_trees,num__distance_to_county_centroid_m,0.0027201856409765335
extra_trees,cat__room_count_3+1,0.002702109407084527
extra_trees,num__location_baseline_log,0.002673411653698596
extra_trees,num__distance_to_yuvacik_m,0.0026597998725406773
extra_trees,num__location_baseline_count,0.002653298026244932
extra_trees,num__basiskele_detail_outside_premium_signal,0.0026470345598162215
extra_trees,num__attr_net_gross_bad,0.002643871118361441
extra_trees,num__location_baseline_m2,0.0026250910576310986
extra_trees,num__basiskele_district_premium_bucket_count,0.0026096048358605975
extra_trees,num__is_new_building,0.0026004194925453926
extra_trees,num__lat_centered_county,0.0025962538430794697
extra_trees,cat__kitchen_Kapalı,0.0025777722385685537
extra_trees,cat__detail_konut_tipi_missing,0.0025769755458145234
extra_trees,num__basiskele_detail_inside_premium_signal,0.00256476971934819
extra_trees,num__distance_to_sahil_m,0.0025558487945468718
extra_trees,num__distance_to_kullar_m,0.0025419656505242688
extra_trees,num__detail_effect_level_code,0.002503726920156336
extra_trees,num__attr_is_middle_floor,0.0024975963712276857
extra_trees,cat__geo_cluster_city_city_1,0.002489573302539306
extra_trees,num__location_baseline_vs_trend,0.002470240868583538
extra_trees,cat__geo_cluster_city_city_0,0.002465366678903742
extra_trees,cat__site_project_match_source_title,0.002449383636465788
extra_trees,num__basiskele_premium_score,0.0024404381458900384
