building_age_group,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
31 ve üzeri,8,0.20930580480768626,0.17904600388101147,5307.09710220512,4859.318987221459,28095.89875,33375.177762515596
16-20 arası,11,0.13317156889415735,0.07323566351857694,5428.362291396273,2530.077321304754,36433.91818181818,35683.88350723161
5,43,0.12688853462454125,0.09723237600858395,5612.449811454848,4079.1421933264137,43811.04720930233,42489.56912116983
2,30,0.11695427551878307,0.07894262442456251,4949.23012303185,3102.584833607307,41055.965,40332.98779359183
26-30 arası,16,0.11660847164205543,0.10303364379293108,3503.4181796198654,3420.128075247183,32057.213125000002,33152.71863477674
6-10 arası,158,0.11488328691728715,0.09313929384425543,4648.239314825883,3915.4771618757586,40460.17386075949,40250.907222695576
0 (Yapım Aşamasında),78,0.11268601416163065,0.09566548163935594,4708.003826410849,3743.2911306219503,41159.575769230774,40796.98154717765
4,17,0.10965102690061047,0.09128286551324664,4616.508517541582,3447.046543657576,40888.98941176471,40558.23386978516
0 (Oturuma Hazır),388,0.10077240206015778,0.08464818065892737,4323.112366491716,3269.451578687771,42164.376211340204,41596.988133964755
3,26,0.09722182498300502,0.0945968818168701,4221.577959609777,4265.400838798825,43607.786538461536,42355.24475364935
1,47,0.0952501860577139,0.07754433575547424,3963.1468691539394,3420.671698148384,42601.52404255319,41898.708004329346
11-15 arası,78,0.09138546785969662,0.08808531137442306,3393.912583719848,3215.178480352548,37469.194871794876,37480.31350030326
missing,3,0.07972588043038135,0.0786577403697696,3377.736039922633,3932.88701848848,44908.426666666666,41566.5589400277
21-25 arası,16,0.07316619443061183,0.0689930861684,2273.478456651443,2316.567743590027,31237.335625,32509.724574742348
