district,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Sepetlipınar Mh.,1,0.2497441269307051,0.2497441269307051,6243.603173267627,6243.603173267627,25000.0,31243.603173267627
Seymen Mah.,10,0.19299051526395433,0.14096036529858708,7709.642352317739,5714.186927318988,44081.542,42297.198001945406
Bahçecik Kılıçaslan Mh.,11,0.17116332473907303,0.12172296249799698,6589.613542422288,4469.222738138618,42051.83090909091,42308.19991109397
Atakent Mah.,5,0.1700128849924212,0.2337688729352653,8648.056704443297,8705.87542915393,47155.418,42916.14150546505
Bahçecik Şehitekrem Mh.,2,0.1668904750244425,0.1668904750244425,6131.419993040403,6131.419993040403,37152.78,37338.529485492836
Karşıyaka Mh.,4,0.15727667043916632,0.14834338871727287,10726.304741853464,9588.893871291366,67031.82,56305.51525814654
Sahil Mah.,3,0.150157812577463,0.15945166466681482,5092.677749482914,4861.330462028916,35550.026666666665,39247.151364366204
Döngel Mh.,39,0.13063555506325825,0.12441768632747502,5451.607715240399,4066.0167581893475,40185.3958974359,39076.91237567942
Kullar Yakacık Mh.,24,0.12517574036686377,0.11825008878021906,5038.184716411703,4723.54570697961,39630.2175,39336.737920667285
Körfez Mh.,11,0.12102745532541963,0.08072318774258018,4370.658571252152,2392.8661530070203,35762.35999999999,35347.97254668825
Kullar Tepecik Mh.,11,0.11689617572737859,0.07978782451279191,4478.642375375995,3245.9139150209885,38974.27636363636,37823.84819660106
Barbaros Mah.,108,0.11406157081534501,0.0930100408958402,4788.3352210861985,4006.7831946828046,41193.614074074074,40581.24975940489
Aydınkent Mh.,21,0.1086582111687468,0.0912917614164932,4067.0894612864236,3467.6451226136196,37026.04285714286,37779.272013834045
Paşadağ Mh.,113,0.1064776488320929,0.09243390642578128,4395.7208185532845,3311.8804118178778,41525.32654867257,41209.48403099662
Serdar Mah.,38,0.10425697524054874,0.07916131393115075,4040.24122245908,2771.495358356631,37623.35236842106,36976.85291631033
Fatih Mah.,194,0.10374793225836419,0.08527332856055772,4222.1678229195395,3552.8105570019325,41636.47659793814,41618.012141814004
Mahmutpaşa Mh.,26,0.10159008971281518,0.09760108480998286,4390.65526008747,4228.450884746388,43813.14692307693,44156.566425984296
Yeşilyurt Mh.,201,0.09692175801187942,0.07551734879841791,4190.097787939891,3211.8706177184504,41696.01975124378,41098.30628218799
Kullar Merkez Mh.,7,0.09349901965606337,0.07398288860926323,3304.779618684904,2903.828377913582,38300.97571428572,38698.87657035641
Yaylacık Mh.,35,0.08439309338719814,0.06741273293738845,3499.712958244127,3004.567721840256,42852.42228571429,42486.2271450332
Havuzlubahçe Mh.,10,0.08259638664761766,0.05481545442145451,2619.512857105564,1687.5886161907874,31740.775,31513.537732732548
Altınkent Mh.,24,0.07646839083528721,0.06253803540308378,2747.777394850875,2423.3251541462305,35407.8325,35272.315843003926
Yeniköy Merkez Mh.,10,0.0715826446760257,0.06220376005969349,2773.277047762487,2316.7492238238265,38734.704,38504.38934352421
Damlar Mah.,5,0.057934364879794885,0.03699190214294477,2192.4556367447294,1465.263670723878,39906.932,39931.686788560284
Vezirçiftliği Mh.,1,0.054082685964715604,0.054082685964715604,1937.9627334600227,1937.9627334600227,35833.33,37771.292733460024
Yeşilkent Mh.,5,0.040432501206200476,0.02449136378329553,1149.8541874950818,713.3109701884823,29533.484000000004,29844.778976918664
