feature,importance
num__basiskele_detail_group_bucket_median,0.13652454383955895
num__district_m2_group_target_median,0.07312576873505013
num__attr_total_quality_score,0.06560292283939337
num__site_project_oof_residual_mean,0.03226604265720667
num__site_project_oof_price_level,0.027200587317320557
num__attr_quality_x_county_income,0.024153268291206793
num__attr_m2_per_room,0.019740097270307646
num__detail_effect_inside_mean,0.013779680864793935
cat__elevator_Yok,0.012067023103571503
num__detail_effect_total_mean,0.011687047877670735
num__attr_quality_x_location_baseline,0.01057896031700081
num__basiskele_district_premium_bucket_mean,0.010040902028650335
num__attr_effect_total_quality_bucket,0.009521582071219203
num__basiskele_lat_lon_interaction,0.009261105976033334
num__district_room_count_target_median,0.009057931121972378
num__total_floors,0.008906155473053302
num__detail_effect_front_sum,0.008623120312221387
num__basiskele_detail_subtype_premium_signal,0.00854179626868632
num__estimated_monthly_rent_gross,0.00825623011349094
num__detail_effect_front_mean,0.008151188697819231
num__attr_has_elevator,0.007858594022380818
cat__elevator_Var,0.006316884160526248
num__bearing_from_district_centroid_cos,0.0062853066243756
num__bearing_from_district_centroid_sin,0.006233756869114487
num__detail_effect_subtype_sum,0.006063380769556218
num__attr_effect_elevator,0.006037476771627527
num__location_baseline_log,0.005997961097077471
num__location_baseline_m2,0.005850127200763837
num__detail_effect_subtype_mean,0.005793737458550965
num__attr_net_gross_ratio,0.005692167063000541
num__detail_effect_inside_x_attr_quality,0.005566763611527135
num__net_m2,0.005372279567544902
num__distance_to_coast_x_site_inside,0.004891711194932945
num__bearing_from_county_centroid_cos,0.004776797165774465
num__detail_effect_outside_mean,0.004708577173824081
num__lat,0.004454196256311143
num__gross_m2,0.0043565053707489265
num__dues,0.004278991580511837
cat__floor_segment_Zemin/Giriş,0.004190538682953666
num__basiskele_premium_x_detail_view,0.004058935030944178
num__net_gross_ratio,0.003926774916238501
num__location_baseline_vs_trend,0.003889406212890416
num__building_age,0.003880267345965097
num__distance_to_district_centroid_m,0.0038183126152494685
num__basiskele_premium_x_gross_m2,0.0036759381828558833
num__basiskele_premium_x_detail_outside,0.0035855506413583656
num__distance_to_sahil_m,0.003574233531245006
num__location_baseline_level_code,0.003541329423930329
num__basiskele_district_premium_bucket_median,0.0034692062698429395
num__attr_compactness_score,0.0034401607029066828
