site_project_id,n_listings,known_premium
missing,608,0
other,127,1
zeray gunesi,17,1
bahcekent konutlari,14,0
royal city akkurt,9,0
evimiz,9,1
zeray perla,8,1
kirazli kent sitesi,8,0
orka life sitesi,8,0
yakamoz konutlari,8,0
evimiz sitesi,7,0
panoramakent,7,1
royal country,7,0
mamik reform,6,0
zeraykent yuvacik,5,0
ustpark afraze,5,0
alizepark city,5,1
sembol kent sitesi,5,0
yuvana evleri,5,0
zeray korupark,5,1
akademik elit park,4,0
esila park sitesi,4,0
altinkent kalici konutlari ada,4,0
mamik life,4,1
manar yuvacik,4,0
yuvacik kalici konutlari ada,4,0
ustgrup mezire,4,1
ritim vadi evleri,4,0
elitium trio sitesi,3,0
marmara elit evleri sitesi,3,0
parla . yil sitesi,3,0
teras marmara,3,0
royal life,2,1
