model_scope,feature,importance,rank
gradient_boosting,num__attr_total_quality_score,0.09949503756723373,1
extra_trees,num__attr_total_quality_score,0.03322137419699179,2
gradient_boosting,num__attr_m2_per_room,0.028025918626966344,3
extra_trees,num__attr_quality_x_county_income,0.02484784177968466,4
gradient_boosting,num__attr_quality_x_county_income,0.02390444166452179,5
extra_trees,num__attr_effect_total_quality_bucket,0.018801794786920036,6
extra_trees,num__attr_effect_elevator,0.017075575281547087,7
extra_trees,num__attr_has_elevator,0.015810833761048828,8
gradient_boosting,num__attr_quality_x_location_baseline,0.013256471820898851,9
extra_trees,num__attr_m2_per_room,0.01169947651136286,10
extra_trees,num__attr_quality_x_location_baseline,0.01019631200899944,11
extra_trees,num__attr_compactness_score,0.007648035606504696,12
gradient_boosting,num__detail_effect_inside_x_attr_quality,0.0070089900096095645,13
extra_trees,num__detail_effect_outside_x_attr_quality,0.0061489493781729946,14
extra_trees,num__detail_effect_total_x_attr_quality,0.005700036669848291,15
gradient_boosting,num__attr_quality_x_district_median,0.005350972901695053,16
gradient_boosting,num__attr_net_gross_ratio,0.004821347862632772,17
extra_trees,num__attr_net_gross_ratio,0.004619877008994716,18
extra_trees,num__attr_net_gross_good,0.0036711965518584507,19
extra_trees,num__attr_compact_home_x_quality,0.0036606536763244763,20
extra_trees,num__detail_effect_inside_x_attr_quality,0.003149478544044595,21
extra_trees,num__attr_new_building_x_site_inside,0.002943658309972456,22
gradient_boosting,num__attr_quality_x_demo_income,0.002666573615351813,23
gradient_boosting,num__detail_effect_total_x_attr_quality,0.002662205096471229,24
extra_trees,num__attr_building_age_inverse,0.0026335760327316046,25
extra_trees,num__attr_quality_x_demo_income,0.00260629202404999,26
gradient_boosting,num__attr_effect_building_age_bucket,0.0023921255101916855,27
extra_trees,num__attr_floor_ratio,0.0023312990923624456,28
extra_trees,num__attr_old_building_x_no_elevator,0.002316269054516508,29
extra_trees,num__attr_net_gross_bad,0.0022971458208954744,30
extra_trees,num__attr_is_middle_floor,0.0022077747520248075,31
extra_trees,num__attr_building_age_score,0.002129469088851811,32
gradient_boosting,num__attr_old_building_x_no_elevator,0.0020928543018785663,33
extra_trees,num__attr_large_home_x_quality,0.0020041167746834947,34
extra_trees,num__attr_floor_quality_score,0.0017754040080885478,35
gradient_boosting,num__detail_effect_outside_x_attr_quality,0.0017098495435387924,36
