model,feature,importance
extra_trees,num__basiskele_detail_group_bucket_median,0.0697752906958942
extra_trees,num__district_m2_group_target_median,0.061899685339011586
extra_trees,num__attr_total_quality_score,0.03322137419699179
extra_trees,num__attr_quality_x_county_income,0.02484784177968466
extra_trees,num__attr_effect_total_quality_bucket,0.018801794786920036
extra_trees,cat__elevator_Yok,0.018430201692102657
extra_trees,num__attr_effect_elevator,0.017075575281547087
extra_trees,num__attr_has_elevator,0.015810833761048828
extra_trees,num__site_project_oof_residual_mean,0.01346938285411669
extra_trees,num__site_project_oof_price_level,0.012714744730255906
extra_trees,cat__elevator_Var,0.012254792149475734
extra_trees,num__attr_m2_per_room,0.01169947651136286
extra_trees,num__attr_quality_x_location_baseline,0.01019631200899944
extra_trees,num__basiskele_district_premium_bucket_mean,0.009197188080659141
extra_trees,num__detail_effect_subtype_sum,0.008589201366688068
extra_trees,num__basiskele_detail_subtype_premium_signal,0.007743351968570429
extra_trees,num__attr_compactness_score,0.007648035606504696
extra_trees,num__total_floors,0.006695789736427115
extra_trees,num__detail_effect_outside_x_attr_quality,0.0061489493781729946
extra_trees,num__detail_effect_subtype_mean,0.005960558899701949
extra_trees,cat__floor_segment_Zemin/Giriş,0.005953976761013559
extra_trees,num__district_room_count_target_median,0.005772087479634944
extra_trees,num__detail_effect_outside_sum,0.005737326603455749
extra_trees,num__detail_effect_total_x_attr_quality,0.005700036669848291
extra_trees,num__site_project_known_premium_flag,0.005505237831625953
extra_trees,num__location_baseline_level_code,0.0054053680895368725
extra_trees,num__detail_effect_total_sum,0.005141685727959758
extra_trees,num__detail_effect_front_sum,0.005103654306933267
extra_trees,cat__building_age_group_31 ve üzeri,0.005018503619362503
extra_trees,num__detail_effect_front_mean,0.0049958185202147645
extra_trees,num__detail_effect_outside_mean,0.004638116867052712
extra_trees,num__estimated_monthly_rent_gross,0.004625183169541999
extra_trees,num__attr_net_gross_ratio,0.004619877008994716
extra_trees,cat__usage_status_Mülk Sahibi,0.004548716911776351
extra_trees,num__gross_m2,0.0045320154045131854
extra_trees,cat__parking_Açık & Kapalı Otopark,0.004525558693821448
extra_trees,num__detail_effect_county_total_sum,0.0044309925987880425
extra_trees,num__bearing_from_district_centroid_cos,0.0044214997068681115
extra_trees,num__detail_effect_total_mean,0.00434865723580294
extra_trees,num__net_gross_ratio,0.004290667016977146
extra_trees,num__net_m2,0.004265520958333815
extra_trees,num__bathroom_count,0.004207129746466746
extra_trees,cat__basiskele_geo_cluster_x_m2_group_Başiskele_3||0-75,0.0040799386997876445
extra_trees,cat__geo_cluster_city_city_6,0.003992780348004228
extra_trees,num__distance_to_coast_x_large_home,0.0038634266024565843
extra_trees,num__basiskele_distance_to_coast_x_large_home,0.003767049108497147
extra_trees,num__dues,0.003729745242502377
extra_trees,num__attr_net_gross_good,0.0036711965518584507
extra_trees,num__attr_compact_home_x_quality,0.0036606536763244763
extra_trees,num__detail_effect_inside_mean,0.0035752856000564994
extra_trees,cat__m2_group_0-75,0.003568247054986346
extra_trees,num__bearing_from_district_centroid_sin,0.0035130724322507095
extra_trees,num__basiskele_premium_x_gross_m2,0.003430467330713607
extra_trees,num__basiskele_premium_x_location_baseline,0.0034193273224791695
extra_trees,cat__parking_Açık Otopark,0.0033949767189301173
extra_trees,cat__detail_cephe_Batı|Doğu|Güney,0.0033860991951790613
extra_trees,num__basiskele_district_premium_bucket_median,0.003368704925198893
extra_trees,cat__building_age_group_0 (Oturuma Hazır),0.0033314133998677445
extra_trees,num__basiskele_premium_x_detail_outside,0.0032208616662102525
extra_trees,num__bearing_from_county_centroid_cos,0.0031903034683772847
extra_trees,num__detail_effect_inside_x_attr_quality,0.003149478544044595
extra_trees,cat__detail_konut_tipi_Ara Kat,0.0031204353754798633
extra_trees,cat__usage_status_Boş,0.003106550184771966
extra_trees,num__building_age,0.003048843956943717
extra_trees,num__floor_num,0.002976309785365222
extra_trees,num__distance_to_coast_x_view_sea,0.0029672935817864066
extra_trees,num__attr_new_building_x_site_inside,0.002943658309972456
extra_trees,cat__geo_cluster_city_city_1,0.0029405214776247967
extra_trees,num__location_baseline_log,0.002928901429174823
extra_trees,num__basiskele_detail_inside_premium_signal,0.00291509327127137
extra_trees,num__basiskele_detail_total_premium_signal,0.0028965540021365214
extra_trees,cat__detail_cephe_Batı|Doğu,0.002890470159266846
extra_trees,num__large_home_net_gross_quality,0.0027761539436721074
extra_trees,cat__kitchen_Kapalı,0.0026788241700285726
extra_trees,num__remaining_floors,0.0026758756312176128
extra_trees,num__location_baseline_m2,0.002673463421699351
extra_trees,num__distance_to_county_centroid_m,0.0026663936267601373
extra_trees,cat__m2_group_101-125,0.002656997059254468
extra_trees,cat__heating_Yerden Isıtma,0.0026374906208076706
extra_trees,num__attr_building_age_inverse,0.0026335760327316046
extra_trees,num__detail_effect_district_total_sum,0.0026158145138843554
extra_trees,num__attr_quality_x_demo_income,0.00260629202404999
extra_trees,num__lat,0.0025569741605988012
extra_trees,num__is_small_flat,0.002549709669004416
extra_trees,num__location_baseline_vs_trend,0.002536127527320222
extra_trees,num__detail_effect_negative_count,0.002534873892374656
extra_trees,num__basiskele_premium_score,0.002512886247675057
extra_trees,cat__kitchen_Açık (Amerikan),0.0024868610965554545
extra_trees,num__is_new_building,0.002479880310597596
extra_trees,num__detail_effect_inside_sum,0.002478855164632462
extra_trees,num__lat_centered_county,0.0024640560136070804
extra_trees,cat__detail_manzara_Şehir,0.002454038344100098
extra_trees,num__large_home_log_m2,0.002430156107200769
extra_trees,num__distance_to_yuvacik_m,0.0023893528829428017
extra_trees,cat__heating_Kombi (Doğalgaz),0.0023834034433138016
extra_trees,num__district_m2_group_rent_m2_median,0.002373244757345046
extra_trees,num__demo_summer_house_count,0.0023558512539051148
extra_trees,num__location_baseline_count,0.0023520383951974484
extra_trees,cat__m2_group_126-150,0.0023376068565469674
extra_trees,num__attr_floor_ratio,0.0023312990923624456
extra_trees,num__is_old_building,0.00231765995178961
extra_trees,num__attr_old_building_x_no_elevator,0.002316269054516508
extra_trees,num__detail_effect_level_code,0.0023072479649615977
extra_trees,num__attr_net_gross_bad,0.0022971458208954744
extra_trees,num__district_room_rent_m2_count,0.002254850826081842
extra_trees,num__detail_effect_view_x_location_baseline,0.0022541952153004334
extra_trees,cat__detail_konut_tipi_missing,0.002247140543821695
extra_trees,num__basiskele_detail_outside_premium_signal,0.002231389064600166
extra_trees,num__basiskele_premium_x_detail_view,0.0022299024513208394
extra_trees,num__attr_is_middle_floor,0.0022077747520248075
extra_trees,num__distance_to_bahcecik_m,0.002202872465549348
