site_project_id,n,mean_actual,mean_pred,mean_residual
natura_life_yuvacik,1,63186.81,43065.31825748857,-20121.491742511425
yuvacik_pasadagi_mh,1,57241.38,37833.73550630018,-19407.644493699816
merkezde_essiz_bir,1,56666.67,38597.07376195895,-18069.59623804105
temizel_tepe_loft,1,52777.78,34845.03345075032,-17932.746549249678
ustgrup_lifeside,1,64685.31,46816.42832932074,-17868.881670679257
ara,1,55312.5,40536.63012957564,-14775.869870424358
panoramakent_3,2,58273.81,44857.861156455365,-13415.948843544633
erenoglu_gm_den,1,60185.19,47046.87188151926,-13138.31811848074
yuvacikta,1,57500.0,44400.746304217835,-13099.253695782165
kolayli,1,50000.0,38169.16166346845,-11830.838336531553
orka_life,3,56599.920000000006,45594.666920669835,-11005.253079330165
zeray_korupark,5,53095.166000000005,44934.258547040066,-8160.907452959929
panoramakent_2,2,57160.0,49594.28873048414,-7565.711269515854
kolayli_karsiyaka,1,42424.24,34954.207226885366,-7470.032773114632
anatolia,1,45112.78,37820.858802882954,-7291.921197117044
bulvar,2,51688.655,44492.81158996605,-7195.843410033951
yuvacik_eksioglu_metsan,1,54597.7,47535.08778558401,-7062.612214415989
pasadag_mh_de_konsept_talha_park,1,41807.91,34872.5744303033,-6935.335569696705
mahall_yuvacik_2,1,47849.46,41013.28967057434,-6836.170329425659
royal_life,2,54451.415,47898.999011252046,-6552.4159887479545
bahama,1,38571.43,32818.77090017558,-5752.659099824421
zeray_perla,8,55492.5925,49775.019029468036,-5717.573470531968
oksijen_konaklari,1,41818.18,36488.42999713275,-5329.750002867251
asrin,1,37666.67,32419.100188468823,-5247.569811531175
zeray_kent,1,47368.42,42315.894798359535,-5052.525201640463
kullar_yakacik_ta_kacirilmayacak_butik,1,44285.71,39296.39498425287,-4989.315015747132
ust_park_yuvacik,1,36750.0,31774.891247149422,-4975.108752850578
basiskele_de_asev_muhit,1,53333.33,48577.22805623789,-4756.101943762114
vadi,1,41842.11,37093.42562037152,-4748.684379628481
altinkent_kalici_konutlari_7_ada,1,34782.61,30083.17180646243,-4699.438193537571
yagmurkent,1,57692.31,53107.41450927658,-4584.895490723415
basiskele_fatih,1,43062.5,38530.35716003386,-4532.142839966138
kucuk_yali,1,45145.63,40892.04635902837,-4253.5836409716285
oluklu_life,2,38349.36,34305.48034089386,-4043.8796591061364
parla_100_yil,3,49074.073333333334,45264.54330993543,-3809.530023397909
kolayli_kullar,1,48333.33,44676.91848693626,-3656.4115130637438
yesilyurt_mah_durupark,1,48058.25,44626.43552270213,-3431.8144772978703
orka_life_2,6,55923.60333333333,52721.64117755461,-3201.9621557787273
pera_park,1,38518.52,35359.73756694252,-3158.7824330574804
secret_garden,1,43000.0,39915.92694578946,-3084.0730542105375
manar_yuvacik_3,2,40111.365000000005,37253.13192823514,-2858.233071764862
teras_marmara,3,43910.77666666667,41261.37330296745,-2649.4033636992194
armoni_2,1,49583.33,46942.41297651309,-2640.917023486909
lotus_mahza,1,44512.2,42016.140782851166,-2496.0592171488315
tinaztepede,1,48843.28,46460.69849692503,-2382.5815030749654
ceneviz_adalari,2,48076.925,45887.80378316955,-2189.121216830452
akademik_elit_park,4,46173.075,44007.302701583576,-2165.7722984164247
manar_yuvacik,2,40638.57,38540.12118150584,-2098.4488184941583
panoramakent_4,2,46300.425,44543.82092917315,-1756.6040708268556
manar_terrace,2,40307.92,38665.13590874639,-1642.7840912536049
ustpark_yuvacik,2,42667.46,41032.898218089,-1634.5617819109975
basiskele_de_butik,1,41903.23,40334.85834089234,-1568.3716591076663
lotus,1,52380.95,50976.10030864099,-1404.849691359006
marmara_elit_yapi_kooperatifi,1,40347.83,39135.04367445235,-1212.786325547655
yuvacik_ta_prestijli,1,35714.29,34549.4369216334,-1164.8530783665992
yuvacik_kalici_konutlari_1_ada,1,34347.83,33191.520674304236,-1156.3093256957654
gun_isigi,1,35652.17,34547.9060660457,-1104.2639339542948
terra_nova,2,47045.455,45958.50205511552,-1086.9529448844842
evimiz_kocaeli,16,46372.850625,45463.12996315079,-909.7206618492082
mamik_life,4,50322.3875,49464.887984369605,-857.4995156303921
yakamoz_konutlari,8,41078.125,40411.940557711256,-666.184442288747
erturk,1,42400.0,41819.38349170666,-580.6165082933367
yakut_konaklari,2,35731.979999999996,35191.49600785427,-540.4839921457278
missing,604,40477.33721854305,39999.33041326121,-478.0068052818314
altinkent_kalici_konutlari_3_ada,1,32083.33,31771.76676292997,-311.5632370700332
kirazli_kent,8,31865.51125,31763.549779181256,-101.96147081874369
caglayan_modern_yuvacik,1,41900.0,41859.317125910195,-40.68287408980541
alizepark_city,5,46178.534,46158.10120688192,-20.432793118080006
kredili_dusuk_faiz_yuksek_konforlu,1,50000.0,50086.831686248464,86.8316862484644
cevizli_vadi,1,45000.0,45135.06018213737,135.06018213737116
aydinkent_kalici_konutlari_20_ada,1,34000.0,34139.80979073028,139.80979073027993
kullar_yaylacik_mahallesi,1,54780.82,55035.850548398914,255.0305483989141
vizyon_dan,1,44142.86,44420.19043934668,277.3304393466824
aydinkent_kalici_konutlari_19_ada,1,30454.55,30844.32213328442,389.7721332844194
sahibinden,1,38823.53,39215.83098923465,392.30098923465266
clover_premium,1,42812.5,43354.22659151179,541.7265915117896
aurapark,4,39201.3875,39858.131563527175,656.7440635271705
altinkent_kalici_konutlari_5_ada,1,30833.33,31501.416564291103,668.0865642911012
may_kent_2,1,30625.0,31295.81309857504,670.8130985750395
torpidocular,1,30769.23,31754.574533393476,985.344533393476
ustgrup_mezire,5,45495.094,46484.61120572591,989.5172057259027
royal_city_akkurt,9,38674.29666666666,39690.958390925734,1016.6617242590679
bizim_evler,1,38750.0,39767.40022866553,1017.4002286655304
zeraykent_yuvacik,5,40621.85,41712.41511928886,1090.565119288864
ustpark_afraze,5,40139.022,41291.18521468579,1152.1632146857942
royal_country,7,41900.91428571429,43201.370774188836,1300.4564884745519
casaba_suite,1,39610.39,40921.276980892595,1310.8869808925956
zeray_gunesi,17,42846.72529411764,44197.39045548093,1350.6651613632775
yesilkent_kalici,1,29125.0,30477.043056011993,1352.043056011993
