district,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Sepetlipınar Mh.,1,0.25175978965999124,0.25175978965999124,6293.9947414997805,6293.9947414997805,25000.0,31293.99474149978
Seymen Mah.,10,0.19706937718935771,0.16750379243725122,7858.655512929889,6725.761658611729,44081.542,42333.38763615511
Bahçecik Şehitekrem Mh.,2,0.17980322207478036,0.17980322207478036,6594.963811912592,6594.963811912592,37152.78,37471.4745889505
Bahçecik Kılıçaslan Mh.,11,0.16601489603830813,0.11353532489778263,6328.681745953221,5057.718515196153,42051.83090909091,41836.49712169146
Atakent Mah.,5,0.16386669122596403,0.23096308820944678,8286.716137547743,8601.384133981526,47155.418,43293.87772250835
Sahil Mah.,3,0.15707687710091617,0.16818183078259377,5322.52074471772,5127.494020533562,35550.026666666665,39447.55083888322
Karşıyaka Mh.,4,0.15121415173643024,0.14222047730311965,10324.978453132004,9197.812770434652,67031.82,56706.841546867996
Döngel Mh.,39,0.1305628003360421,0.11635537970575623,5446.644718302103,3832.24034358919,40185.3958974359,39171.841248512406
Körfez Mh.,11,0.12411838072337901,0.07544023479185295,4467.2972659114685,2236.2643183020264,35762.35999999999,35399.549158111084
Kullar Yakacık Mh.,24,0.12237767247732023,0.11374912147309518,4942.038116883677,4628.389795017531,39630.2175,39285.96027981229
Kullar Tepecik Mh.,11,0.11782165422511764,0.07018572164845589,4485.033863664436,2855.282894672586,38974.27636363636,37981.4650714352
Barbaros Mah.,108,0.11382034790240506,0.09412169024162456,4764.285305995619,4025.9065441534476,41193.614074074074,40638.9760672622
Paşadağ Mh.,113,0.1047841763162663,0.08694088257633799,4304.9648529920905,3420.8323804266183,41525.32654867257,41215.5477733516
Fatih Mah.,194,0.1046967898701813,0.08828623481844497,4282.968470069007,3558.4613302699436,41636.47659793814,41531.36523337921
Aydınkent Mh.,21,0.10458193974052817,0.0852315046804906,3900.460179445262,3025.006800562762,37026.04285714286,37777.827238874896
Serdar Mah.,38,0.10439575733454291,0.07963045856908094,4053.9973842422423,2807.280152735062,37623.35236842106,36892.10680679902
Mahmutpaşa Mh.,26,0.0965784771369454,0.10341727252512918,4155.229564162482,4337.22492857681,43813.14692307693,44273.58377808916
Yeşilyurt Mh.,201,0.09654206264668069,0.0763185280535316,4180.26878343841,3178.965941517774,41696.01975124378,41072.72646093625
Kullar Merkez Mh.,7,0.0954057592240652,0.07433205986121443,3351.900791075592,2669.4288739732874,38300.97571428572,38790.43838922249
Yaylacık Mh.,35,0.08344498570165801,0.06930642681766024,3450.5642838500858,3015.4441608675334,42852.42228571429,42536.02152070109
Havuzlubahçe Mh.,10,0.08266137533440131,0.050488298258521906,2620.802652163839,1680.0933140245816,31740.775,31520.834189709043
Yeniköy Merkez Mh.,10,0.07449296138100084,0.06391214871550431,2876.9959215018703,2378.8977388242893,38734.704,38436.56853360521
Altınkent Mh.,24,0.07404208526572452,0.05779308118427115,2664.004010957065,2119.572577978468,35407.8325,35397.321559839744
Damlar Mah.,5,0.05594050608175375,0.02596753193598973,2132.8051236683327,1028.5840673220082,39906.932,39971.81663090311
Vezirçiftliği Mh.,1,0.050451466204153604,0.050451466204153604,1807.8440374772836,1807.8440374772836,35833.33,37641.174037477285
Yeşilkent Mh.,5,0.03903892660889511,0.025203929073939473,1096.804078577891,734.0644342784872,29533.484000000004,30040.885682722135
