decile,n,mean_actual,mean_pred,mean_bias
0,92,28990.019021739125,33951.533975971244,4961.5149542321105
1,94,32779.16914893617,36572.8913194891,3793.7221705529287
2,90,35039.15233333334,37349.20682618714,2310.054492853803
3,92,36802.27858695651,39073.05843376827,2270.779846811741
4,93,38664.66096774193,39458.156860033334,793.4958922914027
5,90,40912.58688888889,40580.840610353924,-331.746278534964
6,92,43037.149456521736,41942.366382154614,-1094.783074367131
7,92,45705.152934782614,43357.57093612844,-2347.581998654166
8,92,49382.030000000006,45234.760272356194,-4147.269727643808
9,92,57958.77086956522,47802.69224343133,-10156.07862613389
