room_count,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
6+1,1,0.33900657105530924,0.33900657105530924,17892.01422571148,17892.01422571148,52777.78,34885.76577428852
4.5+1,2,0.27211299690134616,0.27211299690134616,9418.147382300676,9418.147382300676,34219.0,43637.147382300675
5+1,6,0.16056206749971721,0.1502963952519368,6500.894748693019,4992.396167806401,36316.30333333334,35247.71744629524
3.5+1,2,0.14055283055361198,0.14055283055361198,9356.279242783097,9356.279242783097,61497.96,52141.680757216905
4+1,80,0.1283301840601741,0.1078028577367944,5107.696293940448,3462.3079536483892,38162.069875,37031.14091294547
1+1,40,0.11956235935062945,0.11071406852972512,6213.076937534747,5477.660337254252,49987.860499999995,47387.25997506257
3+1,400,0.11559510132092832,0.09276036172417895,4510.930840999168,3631.8099785840095,39217.910575,39209.588486041765
2+1,384,0.08791900114575081,0.07289281714882764,3765.436983297395,3125.668515885096,42310.314427083336,41952.1481048387
2.5+1,1,0.08573504099407492,0.08573504099407492,3686.606762745221,3686.606762745221,43000.0,46686.60676274522
4+2,1,0.04193056412508021,0.04193056412508021,1453.5930294379941,1453.5930294379941,34666.67,33213.076970562004
3+2,1,0.031106426580607374,0.031106426580607374,1128.1557477191018,1128.1557477191018,36267.61,35139.4542522809
2+2,1,0.00810838903991131,0.00810838903991131,343.79569529223954,343.79569529223954,42400.0,42056.20430470776
