decile,n,mean_actual,mean_pred,mean_bias
0,92,28990.019021739125,33984.55337517792,4994.534353438793
1,94,32779.16914893617,36552.49648272814,3773.3273337919677
2,90,35039.15233333334,37278.661555706676,2239.5092223733354
3,92,36802.27858695651,39013.51330392045,2211.234716963925
4,93,38664.66096774193,39442.32700274792,777.6660350059874
5,90,40912.58688888889,40554.87398799902,-357.7129008898674
6,92,43037.149456521736,41930.39636424116,-1106.7530922805852
7,92,45705.152934782614,43339.67228863385,-2365.4806461487606
8,92,49382.030000000006,45264.50180423515,-4117.528195764848
9,92,57958.77086956522,47800.00935302025,-10158.761516544975
