model_scope,feature,importance,rank
random_forest,num__attr_quality_x_location_baseline,0.03568434947079144,1
gradient_boosting,num__attr_quality_x_location_baseline,0.03406831660137379,2
gradient_boosting,num__attr_m2_per_room,0.023016876086022316,3
gradient_boosting,num__attr_total_quality_score,0.018356654581485308,4
gradient_boosting,num__attr_quality_x_county_income,0.01808747636636252,5
random_forest,num__attr_m2_per_room,0.01796019307058099,6
extra_trees,num__attr_quality_x_location_baseline,0.017662181686137843,7
extra_trees,num__attr_quality_x_county_income,0.013104601007546334,8
extra_trees,num__attr_total_quality_score,0.011072339814664574,9
random_forest,num__attr_total_quality_score,0.009984496791671054,10
extra_trees,num__attr_m2_per_room,0.008890706357595495,11
extra_trees,num__detail_effect_total_x_attr_quality,0.008083233189706825,12
gradient_boosting,num__attr_quality_x_demo_income,0.00806501813603755,13
random_forest,num__attr_quality_x_county_income,0.008062216600046017,14
extra_trees,num__attr_effect_total_quality_bucket,0.0078361891125881,15
extra_trees,num__attr_net_gross_good,0.007754910418533647,16
random_forest,num__attr_quality_x_demo_income,0.007310245090323749,17
random_forest,num__detail_effect_total_x_attr_quality,0.006397665947645002,18
gradient_boosting,num__attr_quality_x_district_median,0.006346636178736846,19
extra_trees,num__attr_compactness_score,0.006105515658100512,20
gradient_boosting,num__detail_effect_total_x_attr_quality,0.0055594255187558835,21
extra_trees,num__attr_amenity_score,0.005223599413998155,22
gradient_boosting,num__attr_floor_ratio,0.005018155775858187,23
gradient_boosting,num__attr_amenity_score,0.004911266783685341,24
random_forest,num__attr_net_gross_ratio,0.004558155380128731,25
random_forest,num__attr_quality_x_district_median,0.004186791270051793,26
extra_trees,num__attr_effect_elevator,0.003996812516721677,27
extra_trees,num__attr_net_gross_ratio,0.003535360406309393,28
extra_trees,num__attr_has_elevator,0.003364638476104867,29
extra_trees,num__attr_building_age_inverse,0.002769311019673419,30
extra_trees,num__attr_quality_x_demo_income,0.0027147735011440913,31
extra_trees,num__attr_large_home_x_quality,0.0024658925913814173,32
extra_trees,num__attr_floor_ratio,0.0024163354474589626,33
random_forest,num__attr_building_age_inverse,0.0022253210238250085,34
random_forest,num__detail_effect_inside_x_attr_quality,0.0022240789159983817,35
random_forest,num__attr_amenity_score,0.0021121612883054854,36
gradient_boosting,num__attr_new_building_x_site_inside,0.0018638037371380475,37
extra_trees,num__detail_effect_outside_x_attr_quality,0.001847647025934856,38
extra_trees,num__attr_compact_home_x_quality,0.0018172990421949475,39
extra_trees,num__attr_heating_quality_score,0.0018006896266626992,40
extra_trees,num__attr_quality_x_district_median,0.0017272175182799134,41
random_forest,num__detail_effect_outside_x_attr_quality,0.0016717374644223098,42
gradient_boosting,num__attr_net_gross_ratio,0.001620124975830888,43
random_forest,num__attr_has_elevator,0.0014839820223133439,44
random_forest,num__attr_compactness_score,0.0014037533021037858,45
extra_trees,num__attr_building_age_score,0.0013981384831122793,46
random_forest,num__attr_large_home_x_quality,0.00129441631522763,47
gradient_boosting,num__detail_effect_outside_x_attr_quality,0.001239241628644483,48
extra_trees,num__detail_effect_inside_x_attr_quality,0.0011433667094910558,49
extra_trees,num__attr_new_building_x_site_inside,0.001068723738530095,50
random_forest,num__attr_net_gross_good,0.0009664189729265919,51
extra_trees,num__attr_is_new_building,0.0009612455988676903,52
extra_trees,num__attr_is_young_building,0.0008914388926771835,53
extra_trees,num__attr_floor_quality_score,0.000859339639785506,54
extra_trees,num__attr_is_middle_floor,0.0008101545351479014,55
random_forest,num__attr_effect_elevator,0.0008099129444015681,56
random_forest,num__attr_floor_ratio,0.0008069328239352896,57
gradient_boosting,num__attr_large_home_x_quality,0.00078119310668891,58
extra_trees,num__attr_effect_site_inside,0.0007086847225624828,59
random_forest,num__attr_heating_quality_score,0.0006366393319854965,60
random_forest,num__attr_building_age_score,0.0006282103842021042,61
extra_trees,num__attr_effect_building_age_bucket,0.0006125473596484224,62
random_forest,num__attr_effect_building_age_bucket,0.0005469663034010058,63
extra_trees,num__attr_is_site_inside,0.0005099853409089892,64
random_forest,num__attr_compact_home_x_quality,0.0005084578815054688,65
gradient_boosting,num__attr_heating_quality_score,0.00048220358207204736,66
extra_trees,num__attr_is_top_floor,0.00043314382938492796,67
gradient_boosting,num__attr_compact_home_x_quality,0.00042715995597130644,68
random_forest,num__attr_new_building_x_site_inside,0.00037822765655873286,69
extra_trees,num__attr_is_ground_or_below,0.00034152134748046797,70
gradient_boosting,num__detail_effect_inside_x_attr_quality,0.0002964410222920872,71
extra_trees,cat__location_source_data_attr_map,0.00027813995468141476,72
random_forest,num__attr_floor_quality_score,0.00024174177331603023,73
extra_trees,num__location_source_data_attr_map,0.00023153404449092964,74
extra_trees,num__attr_net_gross_bad,0.00016190045380759613,75
extra_trees,num__attr_is_mid_age_building,0.00014105292713204945,76
random_forest,num__attr_is_middle_floor,0.00011515690837715116,77
extra_trees,num__attr_is_furnished,0.00011193102887929724,78
random_forest,num__attr_is_top_floor,9.383569971013586e-05,79
random_forest,num__location_source_data_attr_map,9.114319880150568e-05,80
random_forest,num__attr_is_mid_age_building,8.762733536364521e-05,81
random_forest,cat__location_source_data_attr_map,7.035310777083148e-05,82
random_forest,num__attr_is_site_inside,6.792218189017692e-05,83
random_forest,num__attr_effect_site_inside,5.324154723033501e-05,84
random_forest,num__attr_is_young_building,3.829426935264693e-05,85
random_forest,num__attr_is_ground_or_below,2.6756096474419432e-05,86
random_forest,num__attr_effect_total_quality_bucket,1.749714201230229e-05,87
random_forest,num__attr_is_new_building,1.2648063214925375e-05,88
random_forest,num__attr_is_furnished,1.023363047412413e-05,89
extra_trees,num__attr_old_building_x_no_elevator,3.510815845800011e-06,90
extra_trees,num__attr_has_poor_heating,0.0,91
extra_trees,num__attr_has_balcony,0.0,92
extra_trees,num__attr_has_natural_gas_heating,0.0,93
extra_trees,num__attr_has_premium_heating,0.0,94
extra_trees,num__attr_credit_eligible,0.0,95
extra_trees,num__attr_has_parking,0.0,96
extra_trees,num__attr_is_old_building,0.0,97
extra_trees,num__attr_county_high_quality_premium,0.0,98
gradient_boosting,num__attr_county_old_building_discount,0.0,99
gradient_boosting,num__attr_county_new_building_premium,0.0,100
gradient_boosting,num__attr_effect_total_quality_bucket,0.0,101
gradient_boosting,num__attr_effect_heating_quality_bucket,0.0,102
