decile,n,mean_actual,mean_pred,mean_bias
0,29,29769.913793103446,35946.189977985996,6176.276184882549
1,28,33374.209642857146,38563.645922891505,5189.43628003436
2,28,35396.68535714285,39149.9968095151,3753.3114523722375
3,29,37173.66275862069,40668.896189942694,3495.233431321997
4,28,39352.533214285715,40149.75872315641,797.2255088706972
5,29,41447.08655172415,41599.6618295914,152.5752778672553
6,27,43437.63444444444,42313.455177671676,-1124.1792667727714
7,28,45911.86535714286,43532.66868266563,-2379.196674477224
8,28,49712.676785714284,42798.83700607293,-6913.83977964135
9,29,57788.30793103449,46181.05024105495,-11607.25768997954
