raw_folded,canonical_id
akademik elit park,akademik_elit_park
alizepark city,alizepark_city
alizepark city sitesi,alizepark_city
anatolia evleri,anatolia
arakat asansorlu butik site,asansorlu_butik
aydinkent kalici konutlari,aydinkent_kalici
aydinkent kalici konutlari 19 ada,aydinkent_kalici_konutlari_19_ada
bahcekent konutlari,bahcekent_konutlari
basiskele barbaros mah. site,barbaros_mah
basiskele kullar yakacik'ta kacirilmayacak butik site,kullar_yakacik_ta_kacirilmayacak_butik
basiskele pasadag 100. yil parla sit,pasadag_100_yil_parla
basiskele yaylacik mh.'de havuzlu site,yaylacik_mh_de_havuzlu
basiskele yesilyurt mahallesin'de site,yesilyurt_mahallesin_de
basiskele yuvacikta site,yuvacikta
basiskele'de asev muhit sitesi,basiskele_de_asev_muhit
basiskele'de butik site,basiskele_de_butik
bulvar basiskele sitesi,bulvar
cb mahall'den tinaztepede site,cb_mahall_den_tinaztepede
cevizli vadi evleri,cevizli_vadi
clover premium,clover_premium
duru park evleri,duru_park
emar delux yuvacik,emar_delux_yuvacik
erenoglu gm'den satilik site,erenoglu_gm_den
evimiz kocaeli sitesi,evimiz_kocaeli
gun isigi sitesi,gun_isigi
iskar elit kent,iskar_elit_kent
kirazli kent sitesi,kirazli_kent
kuba sitesi,kuba
kucuk yali evleri sitesi,kucuk_yali
mamik life,mamik_life
mamik life sitesi,mamik_life
mamik reform,mamik_reform
marmara elit evleri sitesi,marmara_elit
merkezde essiz bir proje,merkezde_essiz_bir
missing,missing
my house yuvacik sitesi,my_house_yuvacik
my yaka sitesi,my_yaka
orka life,orka_life
orka life 2 sitesi,orka_life_2
orka life sitesi,orka_life
panoramakent 1,panoramakent_1
panoramakent 2 sitesi,panoramakent_2
panoramakent 3,panoramakent_3
royal life sitesi,royal_life
teras marmara,teras_marmara
terasta life,terasta_life
terra nova evleri,terra_nova
torpidocular sitesi,torpidocular
ustpark afraze,ustpark_afraze
yakamoz konutlari,yakamoz_konutlari
yakut konaklari sitesi,yakut_konaklari
yuksek giris butik site,yuksek_giris_butik
yuvacik kalici konutlari 1 ada,yuvacik_kalici_konutlari_1_ada
yuvacik kalici konutlari 10 ada,yuvacik_kalici_konutlari_10_ada
yuvacik'ta prestijli site,yuvacik_ta_prestijli
zeray gunesi sitesi,zeray_gunesi
zeray perla sitesi,zeray_perla
zeraykent yuvacik,zeraykent_yuvacik
