raw_name,proposed_canonical_id,reason,frequency,mean_residual,needs_manual_review,mean_price,median_price
yuvacik'ta prestijli site,yuvacik_ta_prestijli,low_freq_kept_separate_review,1,,True,35714.29,35714.29
Teras Marmara,teras_marmara,low_freq_kept_separate_review,2,,True,47116.165,47116.165
basiskele'de butik site,basiskele_de_butik,low_freq_kept_separate_review,1,,True,41903.23,41903.23
Panoramakent 3,panoramakent_3,low_freq_kept_separate_review,2,,True,58273.81,58273.81
Panoramakent 3,panoramakent,near_dict_not_merged_conservative,2,,True,,
Duru Park Evleri,duru_park,low_freq_kept_separate_review,2,,True,34883.335,34883.335
Gün Işığı Sitesi,gun_isigi,low_freq_kept_separate_review,1,,True,35652.17,35652.17
basiskele yesilyurt mahallesin'de site,yesilyurt_mahallesin_de,low_freq_kept_separate_review,1,,True,32708.33,32708.33
Bulvar Başiskele Sitesi,bulvar,low_freq_kept_separate_review,2,,True,51688.655,51688.655
Yuvacık Kalıcı Konutları 10 Ada,yuvacik_kalici_konutlari_10_ada,low_freq_kept_separate_review,1,,True,27333.33,27333.33
Anatolia Evleri,anatolia,low_freq_kept_separate_review,1,,True,45112.78,45112.78
Panoramakent 1,panoramakent_1,low_freq_kept_separate_review,1,,True,45208.33,45208.33
Panoramakent 1,panoramakent,near_dict_not_merged_conservative,1,,True,,
erenoglu gm'den satilik site,erenoglu_gm_den,low_freq_kept_separate_review,1,,True,60185.19,60185.19
Bulvar Başiskele Sitesi,bulvar,low_freq_kept_separate_review,2,,True,51688.655,51688.655
aydinkent kalici konutlari,aydinkent_kalici,low_freq_kept_separate_review,1,,True,30909.09,30909.09
basiskele'de asev muhit sitesi,basiskele_de_asev_muhit,low_freq_kept_separate_review,1,,True,53333.33,53333.33
Teras Marmara,teras_marmara,low_freq_kept_separate_review,2,,True,47116.165,47116.165
Terasta Life,terasta_life,low_freq_kept_separate_review,1,,True,36363.64,36363.64
Duru Park Evleri,duru_park,low_freq_kept_separate_review,2,,True,34883.335,34883.335
Yuvacık Kalıcı Konutları 1 Ada,yuvacik_kalici_konutlari_1_ada,low_freq_kept_separate_review,1,,True,34347.83,34347.83
arakat asansorlu butik site,asansorlu_butik,low_freq_kept_separate_review,1,,True,39600.0,39600.0
Panoramakent 2 Sitesi,panoramakent_2,low_freq_kept_separate_review,2,,True,57160.0,57160.0
Panoramakent 2 Sitesi,panoramakent,near_dict_not_merged_conservative,2,,True,,
yuksek giris butik site,yuksek_giris_butik,low_freq_kept_separate_review,1,,True,35000.0,35000.0
Panoramakent 3,panoramakent_3,low_freq_kept_separate_review,2,,True,58273.81,58273.81
Panoramakent 3,panoramakent,near_dict_not_merged_conservative,2,,True,,
Torpidocular Sitesi,torpidocular,low_freq_kept_separate_review,1,,True,30769.23,30769.23
Akademik Elit Park,akademik_elit_park,low_freq_kept_separate_review,2,,True,42186.15,42186.15
Panoramakent 2 Sitesi,panoramakent_2,low_freq_kept_separate_review,2,,True,57160.0,57160.0
Panoramakent 2 Sitesi,panoramakent,near_dict_not_merged_conservative,2,,True,,
Clover Premium,clover_premium,low_freq_kept_separate_review,1,,True,42812.5,42812.5
My House Yuvacık Sitesi,my_house_yuvacik,low_freq_kept_separate_review,1,,True,31388.89,31388.89
Emar Delüx Yuvacık,emar_delux_yuvacik,low_freq_kept_separate_review,1,,True,35151.52,35151.52
Cevizli Vadi Evleri,cevizli_vadi,low_freq_kept_separate_review,1,,True,45000.0,45000.0
My Yaka Sitesi,my_yaka,low_freq_kept_separate_review,1,,True,38000.0,38000.0
basiskele yaylacik mh.'de havuzlu site,yaylacik_mh_de_havuzlu,low_freq_kept_separate_review,1,,True,46333.33,46333.33
İşkar Elit Kent,iskar_elit_kent,low_freq_kept_separate_review,1,,True,37500.0,37500.0
basiskele kullar yakacik'ta kacirilmayacak butik site,kullar_yakacik_ta_kacirilmayacak_butik,low_freq_kept_separate_review,1,,True,44285.71,44285.71
Kuba Sitesi,kuba,low_freq_kept_separate_review,1,,True,28461.54,28461.54
Küçük Yalı Evleri Sitesi,kucuk_yali,low_freq_kept_separate_review,1,,True,45145.63,45145.63
Yakut Konakları Sitesi,yakut_konaklari,low_freq_kept_separate_review,1,,True,35105.26,35105.26
Terra Nova Evleri,terra_nova,low_freq_kept_separate_review,1,,True,49090.91,49090.91
Aydınkent Kalıcı Konutları 19 Ada,aydinkent_kalici_konutlari_19_ada,low_freq_kept_separate_review,1,,True,30454.55,30454.55
basiskele barbaros mah. site,barbaros_mah,low_freq_kept_separate_review,1,,True,30962.34,30962.34
Akademik Elit Park,akademik_elit_park,low_freq_kept_separate_review,2,,True,42186.15,42186.15
basiskele yuvacikta site,yuvacikta,low_freq_kept_separate_review,1,,True,57500.0,57500.0
Marmara Elit Evleri Sitesi,marmara_elit,low_freq_kept_separate_review,1,,True,37000.0,37000.0
cb mahall'den tinaztepede site,cb_mahall_den_tinaztepede,low_freq_kept_separate_review,1,,True,31750.0,31750.0
merkezde essiz bir proje,merkezde_essiz_bir,low_freq_kept_separate_review,1,,True,56666.67,56666.67
basiskele pasadag 100. yil parla sit,pasadag_100_yil_parla,low_freq_kept_separate_review,1,,True,50000.0,50000.0
