district,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
Karşıyaka Mh.,5,5.2,0.0,0,0,1.4208495740013456,58268.314
Tepecik Mh.,1,5.0,5.0,0,0,0.820566671489752,31956.52
Yuvacık Yakacık Mh.,1,5.0,5.0,0,0,0.7477205443645963,32692.31
Körfez Mh.,27,4.592592592592593,5.0,0,0,0.9503877362246413,37790.40888888889
Yeşilkent Mh.,9,3.4444444444444446,0.0,0,0,0.8079618279081644,30293.73333333333
Seymen Mah.,21,3.238095238095238,0.0,1,0,0.9549954332450457,41955.845714285715
Atakent Mah.,16,3.1875,0.0,0,0,0.9519446177631303,41882.774375
Bahçecik Kılıçaslan Mh.,16,3.125,0.0,0,0,0.9909963501649828,39940.575625
Döngel Mh.,85,2.541176470588235,0.0,0,0,1.0029090696664238,37596.722117647056
Yaylacık Mh.,55,2.1272727272727274,0.0,0,0,1.0040342646764289,41070.3130909091
Kullar Merkez Mh.,12,2.0833333333333335,0.0,0,0,0.9798172082959417,38680.3075
Paşadağ Mh.,185,2.037837837837838,0.0,0,0,1.009778231760246,38697.17816216216
Fatih Mah.,360,1.9083333333333334,0.0,0,0,1.0019046064590382,40113.67172222222
Kullar Tepecik Mh.,20,1.75,0.0,0,0,1.0007537215185465,37739.901
Barbaros Mah.,217,1.6866359447004609,0.0,0,0,0.9875159408788549,38857.31921658986
Kullar Yakacık Mh.,43,1.627906976744186,0.0,0,0,1.0254714948209058,39433.37860465117
Bahçecik Şehitekrem Mh.,5,1.6,0.0,0,0,0.9199852624863522,41036.438
Havuzlubahçe Mh.,13,1.5384615384615385,0.0,0,0,0.9979851806187312,32730.86076923077
Altınkent Mh.,58,1.4482758620689655,0.0,0,0,0.9913962283572455,34974.2575862069
Serdar Mah.,75,1.3866666666666667,0.0,0,0,0.985904944499143,37356.22373333334
Aydınkent Mh.,29,1.3793103448275863,0.0,0,0,0.9682369162698266,36484.38379310344
Yeşilyurt Mh.,409,1.36919315403423,0.0,0,0,0.9821860497544835,38625.071980440094
Sahil Mah.,7,1.1428571428571428,0.0,0,0,0.984234487191684,42624.28428571428
Yeniköy Merkez Mh.,28,0.8928571428571429,0.0,0,0,0.9269485837345869,39865.65
Mahmutpaşa Mh.,45,0.6222222222222222,0.0,0,0,0.9614094181454449,42463.34666666667
Damlar Mah.,10,0.5,0.0,0,0,1.022117347819702,43233.444
Vezirçiftliği Mh.,1,0.0,0.0,0,0,0.8751883716174554,35833.33
