model_scope,feature,importance,rank
gradient_boosting,num__attr_total_quality_score,0.08818734925933862,1
gradient_boosting,num__attr_m2_per_room,0.03780221705415997,2
extra_trees,num__attr_effect_total_quality_bucket,0.023294056611062295,3
extra_trees,num__attr_has_elevator,0.019006067197493495,4
extra_trees,num__attr_effect_elevator,0.017304754320178084,5
extra_trees,num__attr_total_quality_score,0.015221671514432043,6
extra_trees,num__attr_quality_x_county_income,0.010320004497122257,7
extra_trees,num__attr_m2_per_room,0.009038622528460213,8
gradient_boosting,num__attr_has_elevator,0.008971903188325652,9
gradient_boosting,num__attr_building_age_inverse,0.008092014188805617,10
extra_trees,num__attr_compactness_score,0.007991282827300656,11
gradient_boosting,num__detail_effect_inside_x_attr_quality,0.006328122857734688,12
gradient_boosting,num__attr_quality_x_location_baseline,0.005633207813551294,13
gradient_boosting,num__detail_effect_total_x_attr_quality,0.004974285267764386,14
extra_trees,num__detail_effect_inside_x_attr_quality,0.004596650472596246,15
gradient_boosting,num__attr_net_gross_ratio,0.0041706742488405125,16
gradient_boosting,num__attr_quality_x_district_median,0.004008484992179065,17
extra_trees,num__attr_large_home_x_quality,0.0039119907423844046,18
extra_trees,num__attr_net_gross_ratio,0.0038179794532253114,19
extra_trees,num__attr_quality_x_location_baseline,0.0037313071170277518,20
gradient_boosting,num__attr_quality_x_demo_income,0.003524761879774512,21
extra_trees,num__detail_effect_total_x_attr_quality,0.003371310716349391,22
gradient_boosting,num__attr_new_building_x_site_inside,0.003282549900230149,23
extra_trees,num__attr_net_gross_good,0.00319521390072329,24
extra_trees,num__attr_floor_ratio,0.0031691395503986052,25
extra_trees,num__attr_building_age_inverse,0.002955524317745151,26
extra_trees,num__attr_net_gross_bad,0.0028819205329590736,27
extra_trees,num__attr_quality_x_demo_income,0.0026369172944896036,28
extra_trees,num__attr_new_building_x_site_inside,0.0026068754064855135,29
extra_trees,num__attr_compact_home_x_quality,0.0024337414569375704,30
gradient_boosting,num__attr_floor_ratio,0.0023580199483387307,31
extra_trees,num__attr_effect_building_age_bucket,0.0020937709271529915,32
extra_trees,num__attr_is_new_building,0.0020689582994729704,33
gradient_boosting,num__attr_quality_x_county_income,0.0020435683720538287,34
gradient_boosting,num__attr_heating_quality_score,0.0020164758287140095,35
extra_trees,num__detail_effect_outside_x_attr_quality,0.0018490330668898256,36
gradient_boosting,num__attr_effect_total_quality_bucket,0.0015673984227784453,37
extra_trees,num__attr_quality_x_district_median,0.0015338529253824114,38
extra_trees,num__attr_building_age_score,0.0014969525559690882,39
gradient_boosting,num__attr_effect_parking,0.0013427956344394542,40
extra_trees,num__attr_is_middle_floor,0.0013080143778250591,41
