district,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Yuvacık Yakacık Mh.,1,0.2829467905822078,0.2829467905822078,9250.184191218617,9250.184191218617,32692.31,41942.49419121862
Atakent Mah.,16,0.204805481176491,0.15171410547507821,8750.517023152515,7802.066196094704,41882.774375,39846.71257463036
Sahil Mah.,7,0.19073381173410714,0.21525180988958229,9740.945697820734,6331.991458424578,42624.28428571428,40554.322008072406
Karşıyaka Mh.,5,0.18131267532507378,0.06824960072362102,6772.469106564291,4467.246903044288,58268.314,61356.64813953165
Bahçecik Şehitekrem Mh.,5,0.1792236552861397,0.1852902240042514,7823.744180839753,7514.548797017858,41036.438,38420.81792650344
Körfez Mh.,27,0.1732103989771824,0.17456432060351218,6547.542324763224,4973.464410245811,37790.40888888889,37996.991201084136
Seymen Mah.,21,0.1716029461051307,0.14456819944322385,6950.673920326975,5266.412773191441,41955.845714285715,40536.08269831172
Kullar Tepecik Mh.,20,0.1178875838770077,0.10088386507653913,4295.206711676689,3764.80111119723,37739.901,37705.3853395287
Döngel Mh.,85,0.11262825487584732,0.07815931745883963,4353.651334603592,3158.4930514564694,37596.722117647056,36890.3451935146
Barbaros Mah.,217,0.10786909537068022,0.08249594799898582,4187.23115515035,3285.868191725436,38857.31921658986,38519.287625373145
Serdar Mah.,75,0.10772285260347848,0.10104015941501454,4113.358677879293,3752.94425152694,37356.22373333334,36553.29448885646
Paşadağ Mh.,185,0.10757502618583778,0.08344904487902509,4141.814957465262,2927.0846611760862,38697.17816216216,38280.863756646984
Mahmutpaşa Mh.,45,0.10746820630071495,0.08386168312249065,4404.413881853871,4042.228362446269,42463.34666666667,42708.408731964955
Damlar Mah.,10,0.1065394699101013,0.07227885673604692,4669.351515938089,3363.563039966597,43233.444,40858.945822985115
Fatih Mah.,360,0.10594675357877453,0.08174566279293646,4225.219868934042,3152.3354766127013,40113.67172222222,39823.11294649801
Kullar Yakacık Mh.,43,0.10341847663385964,0.10179445798576589,4165.258076117693,3859.7068712751498,39433.37860465117,38436.80982752048
Yaylacık Mh.,55,0.10251486988778635,0.08389891905640622,4244.944145043701,3261.5745976224352,41070.3130909091,40537.14753534965
Altınkent Mh.,58,0.09962427100789716,0.08251953546989702,3489.8496123708273,2874.425098042908,34974.2575862069,34843.57026850889
Yeniköy Merkez Mh.,28,0.09636176905685821,0.0781747605267051,3870.031983445385,2852.7101909442135,39865.65,40042.55476861156
Bahçecik Kılıçaslan Mh.,16,0.09116301518802107,0.05856595295606333,3196.137174278405,2618.0471613593472,39940.575625,40846.645478824816
Yeşilyurt Mh.,409,0.08957145993602983,0.06588376942427601,3509.013203828197,2430.701906792645,38625.071980440094,38123.60774977675
Yeşilkent Mh.,9,0.08662902051497082,0.046791773936457566,2539.2337496529385,1559.7256419093392,30293.73333333333,31079.008286298296
Havuzlubahçe Mh.,13,0.08513753133503485,0.06672642277237759,2790.8560693374498,2293.7207828004794,32730.86076923077,32324.418593789916
Aydınkent Mh.,29,0.07783777106332318,0.06607515752411934,2883.8354266583483,2291.549383231468,36484.38379310344,36338.083147682344
Tepecik Mh.,1,0.05049857094586744,0.05049857094586744,1613.7585924030318,1613.7585924030318,31956.52,30342.76140759697
Kullar Merkez Mh.,12,0.04434225960840208,0.028721297547395934,1703.290035252996,1154.3470636004931,38680.3075,38780.29763753023
Vezirçiftliği Mh.,1,0.002958128335494942,0.002958128335494942,105.99958882814099,105.99958882814099,35833.33,35727.33041117186
