model,feature,importance
extra_trees,num__basiskele_detail_group_bucket_median,0.05857476631969979
extra_trees,num__district_m2_group_target_median,0.029623943325219525
extra_trees,num__attr_effect_total_quality_bucket,0.023294056611062295
extra_trees,cat__elevator_Yok,0.02043616734942083
extra_trees,num__basiskele_district_premium_bucket_mean,0.020151413153840097
extra_trees,num__attr_has_elevator,0.019006067197493495
extra_trees,num__attr_effect_elevator,0.017304754320178084
extra_trees,cat__elevator_Var,0.0166971655700381
extra_trees,num__attr_total_quality_score,0.015221671514432043
extra_trees,num__basiskele_district_premium_bucket_median,0.013695744923244393
extra_trees,num__site_project_oof_residual_mean,0.012435365341783761
extra_trees,num__site_project_oof_price_level,0.010676899598820538
extra_trees,num__attr_quality_x_county_income,0.010320004497122257
extra_trees,num__attr_m2_per_room,0.009038622528460213
extra_trees,num__estimated_monthly_rent_gross,0.008127066304913718
extra_trees,num__attr_compactness_score,0.007991282827300656
extra_trees,num__total_floors,0.0071690606071685165
extra_trees,num__district_room_count_target_median,0.006847061775024539
extra_trees,num__basiskele_distance_to_coast_x_large_home,0.006695827315575956
extra_trees,num__dues,0.0062312548596379245
extra_trees,num__bathroom_count,0.006114119377787507
extra_trees,num__distance_to_coast_x_large_home,0.00606409995302038
extra_trees,cat__usage_status_Mülk Sahibi,0.00549542328201072
extra_trees,num__detail_effect_subtype_sum,0.005435412691626542
extra_trees,num__location_baseline_level_code,0.005177011091120397
extra_trees,cat__geo_cluster_x_room_count_city_9||4+1,0.005162058975161371
extra_trees,num__basiskele_detail_subtype_premium_signal,0.004905186073445355
extra_trees,num__detail_effect_subtype_mean,0.004790294934657519
extra_trees,num__detail_effect_inside_x_attr_quality,0.004596650472596246
extra_trees,num__gross_m2,0.004556872063472616
extra_trees,num__net_m2,0.004537900081450314
extra_trees,num__bearing_from_district_centroid_cos,0.0045155786903349
extra_trees,num__basiskele_detail_inside_premium_signal,0.0043338501966660135
extra_trees,num__detail_effect_total_mean,0.004271241940574541
extra_trees,num__basiskele_premium_x_new_building,0.004189314382040971
extra_trees,cat__usage_status_Boş,0.004165171320358466
extra_trees,num__bearing_from_district_centroid_sin,0.00414174731886071
extra_trees,num__detail_effect_inside_sum,0.004118800302244419
extra_trees,num__detail_effect_inside_mean,0.004109646146996748
extra_trees,num__basiskele_premium_x_location_baseline,0.004095019206680836
extra_trees,num__demo_summer_house_count,0.004077105975954927
extra_trees,num__distance_to_district_centroid_m,0.003924727773431245
extra_trees,num__attr_large_home_x_quality,0.0039119907423844046
extra_trees,cat__building_age_group_0 (Oturuma Hazır),0.0039014338597127074
extra_trees,num__net_gross_ratio,0.003855952515668261
extra_trees,num__basiskele_premium_score,0.003855932498276177
extra_trees,cat__basiskele_geo_cluster_x_m2_group_Başiskele_5||200+,0.0038250167352820125
extra_trees,num__attr_net_gross_ratio,0.0038179794532253114
extra_trees,cat__detail_konut_tipi_En Üst Kat,0.0037872631095552337
extra_trees,num__attr_quality_x_location_baseline,0.0037313071170277518
extra_trees,num__large_home_net_gross_quality,0.0035533896745945487
extra_trees,num__large_home_detail_premium_x_m2,0.003513532648120781
extra_trees,cat__kitchen_Kapalı,0.0034493263149595554
extra_trees,num__distance_to_coast_x_view_sea,0.00338479052773203
extra_trees,num__detail_effect_total_x_attr_quality,0.003371310716349391
extra_trees,num__remaining_floors,0.0033332600247247225
extra_trees,num__basiskele_has_pool_signal,0.003238754925099976
extra_trees,cat__detail_manzara_Şehir,0.0032305361246158996
extra_trees,num__large_home_room_density,0.003213868644998981
extra_trees,num__basiskele_premium_x_gross_m2,0.0032087073890496322
extra_trees,num__large_home_basiskele_premium,0.0032065724916752704
extra_trees,num__is_large_flat,0.0032025091422923507
extra_trees,num__attr_net_gross_good,0.00319521390072329
extra_trees,num__floor_ratio,0.003185599333733335
extra_trees,cat__detail_cephe_Batı|Doğu|Güney,0.0031855787709965926
extra_trees,num__distance_to_geo_cluster_center_m,0.003183467562937566
extra_trees,num__attr_floor_ratio,0.0031691395503986052
extra_trees,num__basiskele_detail_total_premium_signal,0.003164532626389213
extra_trees,cat__detail_konut_tipi_Ara Kat,0.003154070017475011
extra_trees,num__is_small_flat,0.003153921654660007
extra_trees,num__basiskele_has_inside_luxury_signal,0.00313958705562502
extra_trees,cat__kitchen_Açık (Amerikan),0.003135011752147049
extra_trees,num__floor_num,0.0031331438040079857
extra_trees,num__large_home_log_m2,0.003078289301159102
extra_trees,num__detail_near_count,0.003061458082948572
extra_trees,cat__geo_cluster_x_room_count_city_9||3+1,0.003038994107776682
extra_trees,num__detail_front_count,0.003028596589592096
extra_trees,num__attr_building_age_inverse,0.002955524317745151
extra_trees,num__district_room_rent_m2_count,0.002923667392505834
extra_trees,cat__floor_segment_Zemin/Giriş,0.0029221462733915347
extra_trees,num__attr_net_gross_bad,0.0028819205329590736
extra_trees,num__detail_effect_front_sum,0.002877575715408825
extra_trees,num__detail_effect_district_total_sum,0.0028642406945478286
extra_trees,num__district_m2_group_rent_m2_median,0.0028620987585422876
extra_trees,num__detail_effect_county_total_sum,0.0028523292271594156
extra_trees,cat__building_age_group_6-10 arası,0.002846245468272113
extra_trees,num__detail_effect_front_mean,0.0028176309241252917
extra_trees,num__location_baseline_count,0.0028133051677187155
extra_trees,num__large_home_quality_x_m2,0.0027542805740240926
extra_trees,num__bearing_from_county_centroid_cos,0.0027299263420854725
extra_trees,cat__m2_group_0-75,0.002661625342494554
extra_trees,num__basiskele_lat_lon_interaction,0.0026531772110041864
extra_trees,num__location_baseline_vs_trend,0.002652867511970458
extra_trees,num__attr_quality_x_demo_income,0.0026369172944896036
extra_trees,num__front_score,0.00261394978272458
extra_trees,num__attr_new_building_x_site_inside,0.0026068754064855135
extra_trees,cat__coast_distance_bucket_0_500,0.0025865065328651918
extra_trees,num__detail_effect_total_sum,0.0025831227020128825
extra_trees,num__building_age,0.002574488768895489
extra_trees,cat__usage_status_Kiracılı,0.002553991705645334
extra_trees,cat__parking_Açık Otopark,0.0025532602946650783
extra_trees,num__detail_effect_outside_mean,0.0025501128015398542
extra_trees,num__location_baseline_m2,0.002517070497842644
extra_trees,num__basiskele_premium_x_detail_outside,0.0024976008736940563
extra_trees,cat__detail_cephe_Batı|Doğu|Güney|Kuzey,0.002494365839275973
extra_trees,num__distance_to_bahcecik_m,0.0024896312253170757
extra_trees,num__attr_compact_home_x_quality,0.0024337414569375704
extra_trees,num__location_baseline_log,0.0023816503229736933
extra_trees,num__is_new_building,0.0023356801644619425
extra_trees,num__site_security_score,0.0022814276104381553
extra_trees,num__detail_effect_negative_count,0.002258411004608609
extra_trees,cat__heating_Kombi (Doğalgaz),0.002253816529288709
extra_trees,num__detail_inside_count,0.0022352454503570193
extra_trees,num__distance_to_izmit_center_m,0.0021609036917896686
extra_trees,num__lat_centered_county,0.0021563867823484522
extra_trees,num__distance_to_sahil_m,0.002155651578747012
extra_trees,cat__m2_group_126-150,0.002150473984592164
extra_trees,num__lat_centered_city,0.0021495942010104374
extra_trees,num__detail_selected_count,0.0021272301791909485
extra_trees,num__site_project_freq_bucket,0.0021152378310743255
extra_trees,num__nearby_score,0.002111920713909289
extra_trees,num__inside_quality_score,0.002108981728494464
extra_trees,cat__parking_Açık & Kapalı Otopark,0.002104126945233285
extra_trees,cat__detail_konut_tipi_Bahçe Dubleksi,0.002098491589367948
extra_trees,num__attr_effect_building_age_bucket,0.0020937709271529915
extra_trees,num__distance_to_yuvacik_m,0.0020731678381778417
extra_trees,num__attr_is_new_building,0.0020689582994729704
extra_trees,cat__building_age_group_31 ve üzeri,0.002068219643438004
extra_trees,cat__site_id_bucket_x_district_b1__pasadag mh.,0.0020669381977099313
extra_trees,num__detail_effect_view_mean,0.0020576701778140497
extra_trees,num__distance_to_county_centroid_m,0.0020495846160452904
extra_trees,num__district_m2_group_rent_m2_count,0.002039798317398246
extra_trees,num__lat,0.0020314945996422833
extra_trees,num__detail_effect_nearby_mean,0.00202407800937622
extra_trees,num__transport_score,0.002014268078084758
extra_trees,num__detail_effect_nearby_sum,0.001984777689334958
extra_trees,num__basiskele_detail_outside_premium_signal,0.001982235737608296
extra_trees,num__detail_effect_view_sum,0.0019519225432036958
extra_trees,cat__room_count_4+1,0.001938364761095743
extra_trees,cat__geo_cluster_county_Başiskele_4,0.0019197894118117272
extra_trees,cat__site_tier_x_district_premium__pasadag mh.,0.0019119747401992895
extra_trees,cat__detail_konut_tipi_Çatı Dubleksi,0.0019089177914433976
extra_trees,num__distance_to_kullar_m,0.0019014752616740235
extra_trees,cat__room_count_3+1,0.0018914094186519986
extra_trees,num__detail_transport_count,0.0018855244807023852
extra_trees,num__estimated_rent_m2_gross,0.0018743106688741973
extra_trees,num__district_room_rent_m2_median,0.0018713234455461462
extra_trees,num__basiskele_has_social_luxury_signal,0.0018528977822846633
extra_trees,num__detail_effect_transport_mean,0.0018508318597405481
extra_trees,num__detail_effect_outside_x_attr_quality,0.0018490330668898256
extra_trees,num__large_home_m2_excess,0.001817010370823547
extra_trees,num__detail_effect_outside_sum,0.0018123313277299752
