feature,importance
num__basiskele_detail_group_bucket_median,0.1354240878128255
num__attr_total_quality_score,0.05048651279931164
num__district_m2_group_target_median,0.04105292219162558
num__attr_m2_per_room,0.022738523471024695
num__site_project_oof_price_level,0.019013528914389292
num__estimated_monthly_rent_gross,0.01694538457105818
num__site_project_oof_residual_mean,0.016262023545151185
cat__elevator_Yok,0.015469306032027019
num__district_room_count_target_median,0.015447606251615828
num__basiskele_district_premium_bucket_mean,0.013357610877890742
num__attr_effect_total_quality_bucket,0.011648661351130065
num__bearing_from_district_centroid_sin,0.011317584240315828
num__attr_has_elevator,0.011222960230593743
num__attr_effect_elevator,0.010735604673259378
cat__elevator_Var,0.010300322311689902
num__is_duplex,0.008923812355019982
num__detail_effect_inside_mean,0.00888428850579671
num__total_floors,0.008768981026704783
num__dues,0.008167810848333384
num__basiskele_premium_x_location_baseline,0.007750230639548582
cat__usage_status_Mülk Sahibi,0.007668328840983476
num__bearing_from_district_centroid_cos,0.007194054953816671
num__detail_effect_total_mean,0.007181636666360745
num__attr_building_age_inverse,0.006838648261860505
num__basiskele_district_premium_bucket_median,0.006774824625026225
num__large_home_detail_premium_x_m2,0.006284387596331946
num__basiskele_premium_x_new_building,0.006177954217412534
num__attr_quality_x_county_income,0.006170131686395859
num__basiskele_lat_lon_interaction,0.0058631291928958745
num__detail_effect_inside_x_attr_quality,0.0056668543381840405
num__detail_effect_front_sum,0.005220713513219944
num__detail_effect_outside_mean,0.005178657505434258
cat__duplex_type_none,0.00508139709481014
num__building_age,0.005078245594961248
num__bathroom_count,0.004964167431797398
num__distance_to_geo_cluster_center_m,0.004942090059427705
num__detail_effect_inside_sum,0.004882157552957952
num__attr_quality_x_location_baseline,0.0046959877981007075
num__attr_new_building_x_site_inside,0.004513124210808257
num__detail_effect_front_mean,0.004392453040040414
num__attr_net_gross_ratio,0.00435768000377452
num__location_baseline_log,0.004352569355731894
num__location_baseline_level_code,0.004261863815217773
num__net_m2,0.004214810974263862
num__location_baseline_m2,0.004198649061643038
num__location_baseline_vs_trend,0.004063172255117058
num__is_garden_duplex,0.003947900087399913
cat__duplex_type_garden,0.0039086186484457944
num__detail_effect_total_x_attr_quality,0.003841319225430766
num__known_premium_x_district_code,0.0037766456968152803
