feature,importance,rank
num__bearing_from_district_centroid_sin,0.011317584240315828,1
num__basiskele_premium_x_location_baseline,0.007750230639548582,2
num__bearing_from_district_centroid_cos,0.007194054953816671,3
num__basiskele_lat_lon_interaction,0.0058631291928958745,4
num__distance_to_geo_cluster_center_m,0.004942090059427705,5
num__attr_quality_x_location_baseline,0.0046959877981007075,6
num__location_baseline_log,0.004352569355731894,7
num__location_baseline_level_code,0.004261863815217773,8
num__location_baseline_m2,0.004198649061643038,9
num__location_baseline_vs_trend,0.004063172255117058,10
num__bearing_from_county_centroid_cos,0.0037245393642661587,11
num__distance_to_district_centroid_m,0.003686876053213028,12
num__location_baseline_count,0.0036312360944458022,13
num__distance_to_izmit_center_m,0.003373995525870195,14
num__distance_to_kullar_m,0.0033427894801347858,15
num__distance_to_coast_x_large_home,0.003321294439033621,16
num__basiskele_distance_to_coast_x_large_home,0.0030767089662868605,17
num__distance_to_coast_x_site_inside,0.0030208168469742095,18
num__distance_to_golcuk_center_m,0.0028775724873778613,19
num__distance_to_county_centroid_m,0.0025333315217753644,20
cat__geo_cluster_x_room_count_city_9||4+1,0.0024093318870104215,21
num__distance_to_sahil_m,0.0022985167355941217,22
num__lat,0.0022835705167367397,23
num__distance_to_coast_x_view_sea,0.0022694325725992567,24
num__distance_to_basiskele_coast_m,0.002216812950432672,25
num__distance_to_karamursel_center_m,0.0022153123668271135,26
cat__basiskele_geo_cluster_x_m2_group_Başiskele_5||200+,0.0021028088303060855,27
num__demo_pharmacy_per_10k,0.0020096511514458323,28
num__distance_to_bahcecik_m,0.001910845763383972,29
num__distance_to_yuvacik_m,0.0018987653432250414,30
num__lat_centered_county,0.0018785639475950263,31
num__detail_effect_view_x_location_baseline,0.00156290175451767,32
num__transport_score,0.001562711739911354,33
num__distance_to_coastline_m,0.0015088681467413387,34
num__lon_centered_county,0.0014700104176699896,35
num__bearing_from_county_centroid_sin,0.0014687742457937508,36
num__distance_to_coastline_inv,0.0014679317836745142,37
cat__geo_cluster_x_room_count_city_9||3+1,0.0014668208632306087,38
num__location_quality_x_detail_effect_total,0.001394810607008775,39
num__lat_centered_city,0.0013617051784195243,40
num__is_small_flat,0.0013464691883804825,41
cat__coast_distance_bucket_0_500,0.001275079360929716,42
num__lon,0.0011381126759554667,43
cat__coast_distance_bucket_500_1000,0.001123034134691739,44
cat__geo_cluster_county_Başiskele_4,0.001035803658503787,45
num__lon_centered_city,0.0010066910618419815,46
cat__geo_cluster_city_city_3,0.0009152370004968109,47
cat__coast_distance_bucket_1000_3000,0.0008714696452385587,48
cat__basiskele_geo_cluster_x_m2_group_Başiskele_2||101-125,0.0008622318394389221,49
cat__basiskele_geo_cluster_Başiskele_4,0.000800492007810688,50
cat__basiskele_geo_cluster_x_m2_group_Başiskele_3||101-125,0.0007922135370869877,51
cat__basiskele_geo_cluster_x_m2_group_Başiskele_5||126-150,0.0007824108134554877,52
cat__geo_cluster_county_Başiskele_2,0.0007575063376997506,53
num__basiskele_distance_to_coast_x_quality,0.0007561248173996479,54
num__is_large_flat,0.0007420761696128337,55
cat__basiskele_geo_cluster_x_m2_group_Başiskele_4||126-150,0.0007243374155609544,56
cat__geo_cluster_x_room_count_city_6||3+1,0.0007181871319139894,57
cat__basiskele_geo_cluster_x_m2_group_Başiskele_3||151-200,0.0006808243767297157,58
cat__geo_cluster_x_room_count_city_3||3+1,0.0006522987977322336,59
cat__geo_cluster_x_room_count_city_8||3+1,0.0006394139089747958,60
cat__basiskele_geo_cluster_x_m2_group_Başiskele_2||126-150,0.0006113090360623487,61
num__demo_population_density,0.0005816259607697813,62
cat__geo_cluster_x_room_count_city_4||3+1,0.0005423512948625903,63
cat__geo_cluster_city_city_9,0.0005404891521952225,64
num__distance_to_coast_x_near_sea_zero,0.0005371837217138305,65
cat__geo_cluster_city_city_4,0.0005193797336803549,66
cat__basiskele_geo_cluster_Başiskele_2,0.0005181431117847685,67
cat__coast_distance_bucket_3000_plus,0.0005147527123307505,68
cat__basiskele_geo_cluster_x_m2_group_other||76-100,0.0004995634407655556,69
cat__geo_cluster_x_room_count_missing||3+1,0.000490952338689808,70
cat__geo_cluster_x_room_count_city_11||3+1,0.0004728537168276883,71
cat__geo_cluster_x_room_count_city_4||2+1,0.0004671695290605616,72
cat__geo_cluster_city_city_6,0.00043310098935281957,73
cat__geo_cluster_county_Başiskele_5,0.00042392652599915274,74
cat__geo_cluster_county_Başiskele_3,0.0004107214624725639,75
cat__geo_cluster_county_Başiskele_0,0.00039932724194271184,76
cat__basiskele_geo_cluster_Başiskele_5,0.00039720753557635953,77
cat__geo_cluster_x_room_count_city_11||2+1,0.00038130523923247316,78
cat__basiskele_geo_cluster_x_m2_group_other||101-125,0.00037468075227294474,79
cat__geo_cluster_x_room_count_city_8||4+1,0.00037018012427978867,80
cat__basiskele_geo_cluster_Başiskele_3,0.0003451647504867287,81
cat__basiskele_geo_cluster_Başiskele_0,0.0003286985077808105,82
num__demo_high_school_diff_county,0.00031644585033031744,83
cat__geo_cluster_x_room_count_city_0||3+1,0.00031238371476543587,84
cat__basiskele_geo_cluster_x_m2_group_Başiskele_4||151-200,0.0003115552851761249,85
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||151-200,0.0003113813032555113,86
cat__basiskele_geo_cluster_x_m2_group_Başiskele_4||101-125,0.0003090573168358521,87
cat__geo_cluster_city_city_0,0.00029198384100429355,88
cat__geo_cluster_city_city_11,0.0002917770342102231,89
num__demo_pharmacy_count,0.0002840881659666499,90
num__site_tier_x_coast_inv,0.0002818168605388071,91
cat__basiskele_geo_cluster_x_m2_group_Başiskele_5||151-200,0.000280029861308129,92
cat__geo_cluster_city_city_1,0.00027743946326713243,93
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||101-125,0.00027063172791071187,94
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||76-100,0.0002647857548118176,95
cat__basiskele_geo_cluster_x_m2_group_Başiskele_2||151-200,0.00026039313528076764,96
num__demo_education_middle_school_ratio,0.0002505208164342916,97
num__demo_education_high_school_ratio,0.0002448241284076094,98
cat__geo_cluster_x_room_count_city_1||3+1,0.00024307819668168248,99
