decile,n,mean_actual,mean_pred,mean_bias
0,177,27787.159209039546,32932.83452063886,5145.675311599318
1,174,31543.124942528735,34542.820557771585,2999.6956152428456
2,176,33617.061534090906,35913.98858469536,2296.927050604452
3,174,35227.52902298851,36565.6666715328,1338.1376485443075
4,176,36766.70914772727,37561.214769267215,794.5056215399454
5,175,38721.52542857143,38504.355030052,-217.17039851942494
6,175,41049.114285714284,39854.75725582986,-1194.3570298844277
7,175,43378.922857142854,41358.407825217495,-2020.515031925364
8,175,46825.67697142858,43165.100376325674,-3660.5765951028957
9,176,55005.39056818183,45588.6705090589,-9416.720059122918
