feature,group,basiskele_positive_count,basiskele_negative_count,basiskele_effect,global_effect,smoothed_effect,abs_effect,direction,reliability_level
out_closed_pool,outside,66,,0.15068850036855608,0.15068850036855608,0.15068850036855608,0.15068850036855608,premium,county
view_pool,view,78,,0.12830525421416894,0.12830525421416894,0.12830525421416894,0.12830525421416894,premium,county
out_open_pool,outside,292,,0.12236286749740177,0.12236286749740177,0.12236286749740177,0.12236286749740177,premium,county
out_pool,outside,306,,0.11539790174113662,0.11539790174113662,0.11539790174113662,0.11539790174113662,premium,county
out_security,outside,345,,0.0817103788771325,0.0817103788771325,0.0817103788771325,0.0817103788771325,premium,county
out_generator,outside,44,,0.0810691534273058,0.0810691534273058,0.0810691534273058,0.0810691534273058,premium,county
out_sauna_hamam,outside,108,,0.07580928967706768,0.07580928967706768,0.07580928967706768,0.07580928967706768,premium,county
subtype_middle_floor,subtype,462,,0.07539610586772305,0.07539610586772305,0.07539610586772305,0.07539610586772305,premium,county
view_bosphorus,view,12,,-0.07264901784957267,-0.07264901784957267,-0.07264901784957267,0.07264901784957267,discount,county
out_sports_area,outside,255,,0.06135638035074109,0.06135638035074109,0.06135638035074109,0.06135638035074109,premium,county
view_river,view,7,,-0.061306372312284196,-0.061306372312284196,-0.061306372312284196,0.061306372312284196,discount,unreliable
in_air_conditioner,inside,64,,0.05869959550191517,0.05869959550191517,0.05869959550191517,0.05869959550191517,premium,county
subtype_duplex,subtype,721,,-0.05786690377406778,-0.05786690377406778,-0.05786690377406778,0.05786690377406778,discount,county
out_camera,outside,469,,0.05260090427398101,0.05260090427398101,0.05260090427398101,0.05260090427398101,premium,county
transport_tram,transport,42,,-0.05083016722681766,-0.05083016722681766,-0.05083016722681766,0.05083016722681766,discount,county
subtype_roof_duplex,subtype,412,,-0.04346609397763679,-0.04346609397763679,-0.04346609397763679,0.04346609397763679,discount,county
transport_train,transport,42,,-0.042529908913774506,-0.042529908913774506,-0.042529908913774506,0.042529908913774506,discount,county
subtype_garden_duplex,subtype,212,,-0.03879519239456908,-0.03879519239456908,-0.03879519239456908,0.03879519239456908,discount,county
in_parent_bathroom,inside,410,,0.03825242453303889,0.0382524245330389,0.03825242453303889,0.03825242453303889,premium,county
in_terrace,inside,334,,-0.037408943056889576,-0.037408943056889576,-0.037408943056889576,0.037408943056889576,discount,county
transport_metro,transport,57,,-0.03466201888512277,-0.03466201888512277,-0.03466201888512277,0.03466201888512277,discount,county
subtype_reverse_duplex,subtype,45,,-0.03210579908970512,-0.03210579908970512,-0.03210579908970512,0.03210579908970512,discount,county
out_children_playground,outside,412,,0.031750107441738784,0.031750107441738784,0.031750107441738784,0.031750107441738784,premium,county
transport_airport,transport,42,,-0.02955457413711926,-0.02955457413711926,-0.02955457413711926,0.02955457413711926,discount,county
subtype_triplex,subtype,6,,0.026397973722947835,0.02639797372294783,0.026397973722947835,0.026397973722947835,premium,unreliable
in_intercom,inside,622,,0.025381767913629893,0.025381767913629893,0.025381767913629893,0.025381767913629893,premium,county
in_builtin_kitchen,inside,324,,0.0243289634014614,0.0243289634014614,0.0243289634014614,0.0243289634014614,premium,county
front_north,front,543,,0.022085432806754568,0.022085432806754568,0.022085432806754568,0.022085432806754568,premium,county
near_sea_zero,nearby,44,,-0.020711605008305156,-0.020711605008305156,-0.020711605008305156,0.020711605008305156,discount,county
front_south,front,846,,-0.01993315545113372,-0.01993315545113372,-0.01993315545113372,0.01993315545113372,discount,county
view_lake,view,9,,-0.018507429536242626,-0.018507429536242626,-0.018507429536242626,0.018507429536242626,discount,unreliable
view_city,view,742,,-0.017007923530069746,-0.017007923530069746,-0.017007923530069746,0.017007923530069746,discount,county
near_park,nearby,1027,,-0.01530434735776165,-0.01530434735776165,-0.01530434735776165,0.01530434735776165,discount,county
transport_bus_stop,transport,1052,,-0.01509481012080105,-0.01509481012080105,-0.01509481012080105,0.01509481012080105,discount,county
near_mosque,nearby,1116,,-0.014233769245795004,-0.014233769245795003,-0.014233769245795004,0.014233769245795004,discount,county
transport_minibus,transport,899,,-0.013210961708265856,-0.013210961708265856,-0.013210961708265856,0.013210961708265856,discount,county
transport_e5,transport,441,,-0.013106732642281571,-0.013106732642281571,-0.013106732642281571,0.013106732642281571,discount,county
transport_main_road,transport,934,,-0.013003044985423706,-0.013003044985423706,-0.013003044985423706,0.013003044985423706,discount,county
