raw_folded,canonical_id
acil basiskele'fatih mah site,basiskele_fatih
akademik elit park,akademik_elit_park
akasya modern evleri,akasya_modern
akkurt royal city,royal_city_akkurt
akven armoni teras,akven_armoni_teras
alacati'dan yaylacik mh.'de havuzlu site,alacati_dan_yaylacik_mh_de_havuzlu
alizepark city,alizepark_city
alizepark city sitesi,alizepark_city
altin vadi evleri sitesi,altin_vadi
altinkent kalici konutlari 3 ada,altinkent_kalici_konutlari_3_ada
altinkent kalici konutlari 5 ada,altinkent_kalici_konutlari_5_ada
altinkent kalici konutlari 6 ada sitesi,altinkent_kalici_konutlari_6_ada
altinkent kalici konutlari 7 ada,altinkent_kalici_konutlari_7_ada
anatolia evleri,anatolia
ara kat daire site,ara
arakat asansorlu butik site,asansorlu_butik
armoni 2 evleri,armoni_2
asrin evleri sitesi,asrin
atakent ustpark sitesi,atakent_ustpark
aurapark,aurapark
aurapark sitesi,aurapark
aydinkent kalici konutlari,aydinkent_kalici
aydinkent kalici konutlari 19 ada,aydinkent_kalici_konutlari_19_ada
aydinkent kalici konutlari 20 ada,aydinkent_kalici_konutlari_20_ada
aydinkent konutlari,aydinkent
bahama insaat projesi,bahama_insaat
bahama proje,bahama
bahcecik kalici konutlar,bahcecik_kalici_konutlar
bahcekent,bahcekent_konutlari
bahcekent konutlari,bahcekent_konutlari
basiskele altinkent site,altinkent
basiskele barbaros mah. site,barbaros_mah
basiskele barbaros mahallesinde site,barbaros_mahallesinde
basiskele barbaros mh site,barbaros_mh
basiskele barbaros site,barbaros
basiskele dongel'de site,dongel_de
basiskele fatih mah. site,fatih_mah
basiskele fatih mahallesinde site,fatih_mahallesinde
basiskele kullar tepecik de site,kullar_tepecik_de
basiskele kullar tepecik mah. site,kullar_tepecik_mah
basiskele kullar yakacik'ta kacirilmayacak butik site,kullar_yakacik_ta_kacirilmayacak_butik
basiskele kullar yaylacik mahallesi site,kullar_yaylacik_mahallesi
basiskele kullar'da prestijli yasam projesi,kullar_da_prestijli_yasam
basiskele kullar'da ultra luks ebeveyn banyolu site,kullar_da_ultra_ebeveyn_banyolu
basiskele parla 100. yil sitesi,parla_100_yil
basiskele pasadag 100. yil parla sit,pasadag_100_yil_parla
basiskele pasadag mah. full deniz manzarali site,pasadag_mah_full_deniz_manzarali
basiskele tinaztepede site,tinaztepede
basiskele vadi,vadi
basiskele yaylacik mh.'de havuzlu site,yaylacik_mh_de_havuzlu
basiskele yesilkent kalici konutlari,yesilkent_kalici
basiskele yesilyurt mah.durupark evleri,yesilyurt_mah_durupark
basiskele yesilyurt mahallesin'de site,yesilyurt_mahallesin_de
basiskele yesilyurt site,yesilyurt
basiskele yesilyurtda site,yesilyurtda
basiskele yuvacikta site,yuvacikta
basiskele'de asev muhit sitesi,basiskele_de_asev_muhit
basiskele'de butik site,basiskele_de_butik
basiskele'de havuzlu site,basiskele_de_havuzlu
basiskele'de site,basiskele_de
basiskelede prejtijli proje,basiskelede_prejtijli
birikim gayrimenkulden site,birikim_gayrimenkulden
bizim evler sitesi,bizim_evler
bloklu butik site,bloklu_butik
boyunegmez yasam evleri,boyunegmez_yasam
bulvar basiskele sitesi,bulvar
cadde 53 konutlari,cadde_53
caglayan modern yuvacik,caglayan_modern_yuvacik
casaba suite sitesi,casaba_suite
cati dubleks havuzlu site,cati_dubleks_havuzlu
cb envoy'dan yesilyurt mah. site,cb_envoy_dan_yesilyurt_mah
cb mahall'den pasadag'da site,cb_mahall_den_pasadag_da
cb mahall'den tinaztepede site,cb_mahall_den_tinaztepede
cb- mark' tan vadi,cb_mark_tan_vadi
ceneviz adalari projesi,ceneviz_adalari
cevizli vadi evleri,cevizli_vadi
clover premium,clover_premium
daire havuzlu site,havuzlu
derin'den yatirim firsati site,derin_den_yatirim_firsati
dlux basiskele,dlux
doga evleri,doga
dongelde site,dongelde
dream gardens sitesi,dream_gardens
duru park evleri,duru_park
durupark evleri sitesi,durupark
egimsiz site,egimsiz
elitium park evleri,elitium_park
elitium trio sitesi,elitium_trio
emar delux yuvacik,emar_delux_yuvacik
erenoglu gm'den satilik site,erenoglu_gm_den
erguvan konaklari,erguvan_konaklari
erturk sitesi,erturk
esila park sitesi,esila_park
evimiz kocaeli,evimiz_kocaeli
evimiz kocaeli sitesi,evimiz_kocaeli
garden basiskele sitesi,garden
gokce sitesi,gokce
gun isigi sitesi,gun_isigi
hanzade palace sitesi,hanzade_palace
helin sitesi,helin
inci evleri,inci
invest globalden zeray kent,invest_globalden_zeray_kent
isil sitesi,isil
iskar elit kent,iskar_elit_kent
kardelen sitesi,kardelen
kirazli kent sitesi,kirazli_kent
kocaeli basiskele seyri vadi sitesi,seyri_vadi
kocaeli yesilyurt site,yesilyurt
kolayli karsiyaka sitesi,kolayli_karsiyaka
kolayli kullar sitesi,kolayli_kullar
kolayli sitesi,kolayli
konut kredili dusuk faiz yuksek konforlu site,kredili_dusuk_faiz_yuksek_konforlu
kuba sitesi,kuba
kucuk yali evleri sitesi,kucuk_yali
kullar site,kullar
kw arven'den ted kolejine komsu havuzlu site,kw_arven_den_ted_kolejine_komsu_havuzlu
loca torunoglu sitesi,loca_torunoglu
lotus evleri,lotus
lotus mahza,lotus_mahza
mahall yuvacik 2,mahall_yuvacik_2
mamik life sitesi,mamik_life
mamik reform,mamik_reform
manar terrace,manar_terrace
manar yuvacik,manar_yuvacik
manar yuvacik 2,manar_yuvacik_2
manar yuvacik 3,manar_yuvacik_3
manaryuvacik sitesi,manaryuvacik
