site_project_id,n_listings,known_premium
missing,1231,0
zeray_gunesi,28,1
evimiz_kocaeli,20,1
bahcekent_konutlari,20,0
altin_vadi,16,0
zeray_perla,16,1
yuvana_evleri,12,0
royal_country,11,0
royal_city_akkurt,11,0
ustpark_afraze,10,0
kirazli_kent,10,0
mamik_reform,8,0
yakamoz_konutlari,8,0
ustgrup_mezire,8,1
orka_life_2,8,1
zeraykent_yuvacik,7,0
zeray_korupark,6,1
esila_park,5,0
panoramakent_1,5,0
sembol_kent,5,0
elitium_trio,5,0
alizepark_city,5,1
emar_delux_yuvacik,4,0
akademik_elit_park,4,0
mavi_yesil_park,4,0
elitium_park,4,0
iskar_elit_kent,4,0
aurapark,4,0
megatron_azize,4,0
oluklu_life,4,0
my_yaka,4,0
ritim_vadi_evleri,4,0
teras_marmara,4,0
zeray_kent,4,0
twinkle_life,3,0
ust_park_yuvacik,3,0
orka_life,3,0
parla_100_yil,3,0
panoramakent_4,3,0
oksijen_konaklari,3,0
royal_life,3,1
my_house_yuvacik,3,0
mahall_yuvacik_2,3,0
marmara_elit,3,0
helin,3,0
doga,3,0
basiskele_de,3,0
duru_park,3,0
asrin,3,0
ustgrup_lifeside,3,0
terra_nova,3,0
yuvacik_vadi,3,0
yesilkent_kalici,3,0
seyri_vadi,3,0
rose_garden,2,0
manar_yuvacik_3,2,0
erguvan_konaklari,2,0
dream_gardens,2,0
kardelen,2,0
villa_liva,2,0
yakut_konaklari,2,0
yesilyurt,2,0
yuvacik_kalici_konutlari_2_ada,2,0
ustpark_yuvacik,2,0
panoramakent_2,2,0
kullar_tepecik_mah,2,0
mamik_life,2,1
manar_terrace,2,0
lotus_mahza,2,0
may_kent_2,2,0
manar_yuvacik,2,0
lotus,2,0
tanta_emlak_tan,2,0
secret_garden,2,0
ust_park_atakent,2,0
bulvar,2,0
basiskele_de_havuzlu,2,0
bahama,2,0
akasya_modern,2,0
egimsiz,2,0
ceneviz_adalari,2,0
fatih_mahallesinde,2,0
