model_scope,feature,importance,rank
gradient_boosting,num__attr_total_quality_score,0.08085947564639756,1
gradient_boosting,num__attr_m2_per_room,0.03657534550641824,2
extra_trees,num__attr_effect_total_quality_bucket,0.022508967713074545,3
extra_trees,num__attr_effect_elevator,0.016759476216240774,4
extra_trees,num__attr_has_elevator,0.014519948513977098,5
extra_trees,num__attr_total_quality_score,0.013966742045347022,6
extra_trees,num__attr_quality_x_county_income,0.009398024452256872,7
gradient_boosting,num__attr_building_age_inverse,0.008690104746634607,8
extra_trees,num__attr_m2_per_room,0.008648608927329942,9
extra_trees,num__attr_compactness_score,0.007139253688264205,10
gradient_boosting,num__detail_effect_inside_x_attr_quality,0.006913740111588018,11
gradient_boosting,num__attr_quality_x_district_median,0.005555853439702129,12
gradient_boosting,num__attr_has_elevator,0.004845447726896392,13
gradient_boosting,num__attr_quality_x_location_baseline,0.004484025496442946,14
extra_trees,num__detail_effect_inside_x_attr_quality,0.004124434509930822,15
gradient_boosting,num__detail_effect_total_x_attr_quality,0.0038426265280751422,16
gradient_boosting,num__attr_new_building_x_site_inside,0.0038386325273491043,17
extra_trees,num__attr_net_gross_ratio,0.003791535573951149,18
extra_trees,num__attr_new_building_x_site_inside,0.0037806065824830524,19
extra_trees,num__attr_quality_x_location_baseline,0.0032002936745700885,20
extra_trees,num__attr_net_gross_bad,0.0031043233219436722,21
extra_trees,num__attr_net_gross_good,0.0029995993830105945,22
extra_trees,num__attr_building_age_inverse,0.0029110668703559166,23
gradient_boosting,num__attr_net_gross_ratio,0.0028162067422298365,24
extra_trees,num__attr_is_new_building,0.002714947948318779,25
gradient_boosting,num__attr_amenity_score,0.0027092632644581003,26
extra_trees,num__attr_quality_x_demo_income,0.0026784157061254376,27
extra_trees,num__detail_effect_total_x_attr_quality,0.0026516246294734755,28
extra_trees,num__attr_effect_building_age_bucket,0.002597721750416975,29
extra_trees,num__attr_compact_home_x_quality,0.0025774262270771373,30
gradient_boosting,num__attr_quality_x_county_income,0.002572480625305135,31
gradient_boosting,num__attr_quality_x_demo_income,0.002515796372170879,32
extra_trees,num__attr_floor_ratio,0.002466720190556677,33
gradient_boosting,num__attr_effect_elevator,0.0020779696374513866,34
extra_trees,num__detail_effect_outside_x_attr_quality,0.0018805154442682027,35
gradient_boosting,num__attr_heating_quality_score,0.0016918408702370346,36
extra_trees,num__attr_is_ground_or_below,0.0016855153648432676,37
extra_trees,num__attr_large_home_x_quality,0.0015096298759398673,38
gradient_boosting,num__attr_effect_total_quality_bucket,0.0014846717711678899,39
extra_trees,num__attr_quality_x_district_median,0.0014752347382303397,40
extra_trees,num__attr_building_age_score,0.001446258632187857,41
extra_trees,num__attr_heating_quality_score,0.0013669831744834902,42
extra_trees,num__attr_is_young_building,0.001359945779510492,43
gradient_boosting,num__detail_effect_outside_x_attr_quality,0.0012164697058592842,44
extra_trees,num__attr_is_mid_age_building,0.0010997442847494286,45
extra_trees,num__attr_floor_quality_score,0.0010889730933373804,46
gradient_boosting,num__attr_floor_ratio,0.0010796577913715739,47
extra_trees,num__attr_is_middle_floor,0.0010024835757049455,48
extra_trees,num__attr_amenity_score,0.0009276722694489546,49
extra_trees,num__attr_is_top_floor,0.0009052375178649941,50
gradient_boosting,num__attr_effect_building_age_bucket,0.000879167073397446,51
gradient_boosting,num__attr_effect_parking,0.0008214443146076952,52
gradient_boosting,num__attr_is_new_building,0.0006233491452168633,53
gradient_boosting,num__attr_has_natural_gas_heating,0.0006179562274395328,54
gradient_boosting,num__attr_is_mid_age_building,0.0005858902420679839,55
extra_trees,num__attr_has_natural_gas_heating,0.0005471633646448054,56
extra_trees,num__attr_effect_site_inside,0.0005106128212886662,57
gradient_boosting,num__attr_net_gross_bad,0.0004570760269903525,58
gradient_boosting,num__attr_floor_quality_score,0.00039918299152847157,59
extra_trees,num__attr_is_site_inside,0.00037651641805850337,60
gradient_boosting,num__attr_large_home_x_quality,0.0003132981578341282,61
gradient_boosting,num__attr_old_building_x_no_elevator,0.0002872382220728092,62
extra_trees,num__attr_has_premium_heating,0.00019879885075404688,63
extra_trees,num__attr_effect_heating_quality_bucket,0.00017792463979984422,64
extra_trees,num__attr_is_furnished,0.00015322048018609954,65
extra_trees,num__attr_has_balcony,0.00011619055985541218,66
gradient_boosting,num__attr_net_gross_good,0.00010150632018956104,67
extra_trees,num__attr_is_old_building,9.951848221191297e-05,68
extra_trees,num__attr_old_building_x_no_elevator,9.871277957960072e-05,69
extra_trees,num__attr_has_parking,8.532111820240863e-05,70
extra_trees,num__attr_effect_parking,7.765747576845408e-05,71
extra_trees,num__location_source_data_attr_map,6.540904551963789e-05,72
extra_trees,num__attr_has_poor_heating,5.9906262976347105e-05,73
extra_trees,cat__location_source_data_attr_map,5.7863950237012636e-05,74
extra_trees,num__attr_credit_eligible,0.0,75
extra_trees,num__attr_county_new_building_premium,0.0,76
extra_trees,num__attr_county_old_building_discount,0.0,77
gradient_boosting,num__attr_credit_eligible,0.0,78
gradient_boosting,num__attr_is_furnished,0.0,79
gradient_boosting,num__attr_has_balcony,0.0,80
gradient_boosting,num__attr_has_parking,0.0,81
gradient_boosting,num__attr_compactness_score,0.0,82
gradient_boosting,num__attr_is_ground_or_below,0.0,83
gradient_boosting,num__attr_is_top_floor,0.0,84
gradient_boosting,num__attr_is_middle_floor,0.0,85
extra_trees,num__attr_county_site_inside_premium,0.0,86
extra_trees,num__attr_county_parking_premium,0.0,87
extra_trees,num__attr_county_good_heating_premium,0.0,88
extra_trees,num__attr_county_elevator_premium,0.0,89
gradient_boosting,num__attr_is_young_building,0.0,90
gradient_boosting,num__attr_is_old_building,0.0,91
gradient_boosting,num__attr_building_age_score,0.0,92
extra_trees,num__attr_county_high_quality_premium,0.0,93
gradient_boosting,num__attr_is_site_inside,0.0,94
gradient_boosting,num__attr_has_premium_heating,0.0,95
gradient_boosting,num__attr_has_poor_heating,0.0,96
gradient_boosting,num__attr_compact_home_x_quality,0.0,97
gradient_boosting,num__attr_county_new_building_premium,0.0,98
gradient_boosting,num__attr_effect_site_inside,0.0,99
gradient_boosting,num__attr_effect_heating_quality_bucket,0.0,100
gradient_boosting,num__attr_county_site_inside_premium,0.0,101
gradient_boosting,num__attr_county_elevator_premium,0.0,102
gradient_boosting,num__attr_county_old_building_discount,0.0,103
gradient_boosting,num__attr_county_parking_premium,0.0,104
gradient_boosting,num__attr_county_high_quality_premium,0.0,105
gradient_boosting,num__attr_county_good_heating_premium,0.0,106
gradient_boosting,num__location_source_data_attr_map,0.0,107
gradient_boosting,cat__location_source_data_attr_map,0.0,108
