decile,n,mean_actual,mean_pred,mean_bias
0,177,27787.159209039546,32937.44904080371,5150.289831764161
1,174,31543.124942528735,34547.64699584834,3004.522053319605
2,176,33617.061534090906,35906.96367823062,2289.9021441397063
3,174,35227.52902298851,36565.4756403017,1337.9466173132016
4,176,36766.70914772727,37590.11361007892,823.4044623516518
5,175,38721.52542857143,38526.951233021595,-194.57419554983267
6,175,41049.114285714284,39836.99355456831,-1212.1207311459737
7,175,43378.922857142854,41369.69864763396,-2009.2242095088911
8,175,46825.67697142858,43177.77823054397,-3647.898740884602
9,176,55005.39056818183,45559.11391362914,-9446.27665455268
