feature,importance
num__basiskele_detail_group_bucket_median,0.13467477916003545
num__attr_total_quality_score,0.04741310884587229
num__district_m2_group_target_median,0.0416808882427951
num__attr_m2_per_room,0.022611977216874093
num__site_project_oof_residual_mean,0.01948587916483319
num__site_project_oof_price_level,0.016642055890623095
cat__elevator_Yok,0.01647988123593751
num__estimated_monthly_rent_gross,0.01576741375364234
num__district_room_count_target_median,0.015563876650107254
cat__elevator_Var,0.013875387883553716
num__attr_effect_total_quality_bucket,0.011996819742121217
num__bearing_from_district_centroid_sin,0.01128555844398417
num__basiskele_district_premium_bucket_mean,0.010828345652350926
num__attr_has_elevator,0.009682698120436746
num__attr_effect_elevator,0.00941872292684608
num__duplex_or_large_home,0.008912931226685378
num__total_floors,0.008890862909751232
num__detail_effect_inside_mean,0.008640460298040588
num__duplex_x_gross_m2,0.008339948252511815
num__detail_effect_total_mean,0.007623445064979969
num__bearing_from_district_centroid_cos,0.007455016720614783
num__basiskele_district_premium_bucket_median,0.00726962418924681
num__dues,0.007161779203644109
num__basiskele_premium_x_location_baseline,0.007057841466921305
cat__usage_status_Mülk Sahibi,0.0069888704049033586
num__building_age,0.006553852912977916
num__basiskele_lat_lon_interaction,0.006530535129674334
num__basiskele_premium_x_new_building,0.006229427083404121
num__large_home_detail_premium_x_m2,0.006042652052187232
num__attr_quality_x_county_income,0.005985252538781004
num__attr_building_age_inverse,0.005800585808495262
num__location_baseline_m2,0.0055406834417240725
num__detail_effect_inside_x_attr_quality,0.005519087310759421
num__distance_to_geo_cluster_center_m,0.005518907599731318
num__bathroom_count,0.005411129155679
num__detail_effect_outside_mean,0.005304430732035813
num__net_m2,0.004680675406560374
num__basiskele_detail_inside_premium_signal,0.004638767377386804
num__detail_effect_front_mean,0.00457576278003973
num__detail_effect_front_sum,0.00444177610782646
num__detail_effect_inside_sum,0.0043049971007884415
num__location_baseline_log,0.004272172601599432
num__known_premium_x_district_code,0.004214661128969919
cat__duplex_type_garden,0.003892838862659289
num__attr_quality_x_location_baseline,0.003842159585506517
num__distance_to_district_centroid_m,0.0038204289876657316
num__attr_new_building_x_site_inside,0.0038096195549160786
num__net_gross_ratio,0.0037883953916706256
num__location_baseline_vs_trend,0.003727171156867893
num__bearing_from_county_centroid_cos,0.0036550081883536937
