model_scope,feature,importance,rank
gradient_boosting,num__attr_total_quality_score,0.08625721262888157,1
gradient_boosting,num__attr_m2_per_room,0.0376997806398288,2
extra_trees,num__attr_effect_total_quality_bucket,0.022893115462591224,3
extra_trees,num__attr_effect_elevator,0.017459433507464865,4
extra_trees,num__attr_has_elevator,0.015753042593352362,5
extra_trees,num__attr_total_quality_score,0.01518712579671573,6
extra_trees,num__attr_quality_x_county_income,0.010391495255525058,7
gradient_boosting,num__attr_building_age_inverse,0.00900974634204576,8
extra_trees,num__attr_m2_per_room,0.008999577512263176,9
extra_trees,num__attr_compactness_score,0.008058284514453104,10
gradient_boosting,num__attr_has_elevator,0.007731371663947076,11
gradient_boosting,num__detail_effect_inside_x_attr_quality,0.006251848273680898,12
gradient_boosting,num__attr_quality_x_location_baseline,0.00606774979381399,13
gradient_boosting,num__attr_effect_elevator,0.005291532251074388,14
gradient_boosting,num__detail_effect_total_x_attr_quality,0.004865247316473842,15
extra_trees,num__detail_effect_inside_x_attr_quality,0.004848323345701444,16
gradient_boosting,num__attr_net_gross_ratio,0.004427263458503928,17
gradient_boosting,num__attr_quality_x_district_median,0.004175585859941288,18
gradient_boosting,num__attr_quality_x_demo_income,0.003913708033555314,19
gradient_boosting,num__attr_quality_x_county_income,0.0037460309928366415,20
extra_trees,num__attr_net_gross_ratio,0.003580311385859237,21
extra_trees,num__attr_quality_x_location_baseline,0.003437944735339408,22
extra_trees,num__detail_effect_total_x_attr_quality,0.0033648061780157217,23
extra_trees,num__attr_large_home_x_quality,0.003298293726946408,24
gradient_boosting,num__attr_new_building_x_site_inside,0.003277438233346251,25
extra_trees,num__attr_building_age_inverse,0.0031134968641448727,26
extra_trees,num__attr_net_gross_good,0.0030050716173661406,27
extra_trees,num__attr_quality_x_demo_income,0.002938164017260413,28
extra_trees,num__attr_floor_ratio,0.0028956387734012587,29
extra_trees,num__attr_net_gross_bad,0.0027094631273589056,30
extra_trees,num__attr_new_building_x_site_inside,0.0026975961021647693,31
extra_trees,num__attr_compact_home_x_quality,0.002566357852103279,32
extra_trees,num__attr_is_new_building,0.002460038055207646,33
gradient_boosting,num__attr_floor_ratio,0.0022811409281226717,34
extra_trees,num__detail_effect_outside_x_attr_quality,0.0020532544530295262,35
extra_trees,num__attr_effect_building_age_bucket,0.0018752586890329738,36
gradient_boosting,num__attr_heating_quality_score,0.0017856958189071716,37
extra_trees,num__attr_building_age_score,0.001649240545846022,38
gradient_boosting,num__attr_effect_total_quality_bucket,0.0015596445868228262,39
extra_trees,num__attr_heating_quality_score,0.0014769238812807157,40
extra_trees,num__attr_is_ground_or_below,0.001411577037600521,41
gradient_boosting,num__attr_effect_parking,0.0013403237194383737,42
extra_trees,num__attr_is_young_building,0.0012213191548185072,43
extra_trees,num__attr_floor_quality_score,0.001215745575978892,44
extra_trees,num__attr_quality_x_district_median,0.0012150617573212813,45
extra_trees,num__attr_is_top_floor,0.001209916484874566,46
extra_trees,num__attr_amenity_score,0.0011929219764843014,47
gradient_boosting,num__attr_amenity_score,0.001073089733715163,48
extra_trees,num__attr_is_middle_floor,0.001020792477825949,49
extra_trees,num__attr_is_mid_age_building,0.0009147191321521091,50
gradient_boosting,num__attr_large_home_x_quality,0.0008088842906219252,51
gradient_boosting,num__detail_effect_outside_x_attr_quality,0.0008080437811505089,52
gradient_boosting,num__attr_effect_building_age_bucket,0.0008005093451434276,53
gradient_boosting,num__attr_has_natural_gas_heating,0.000620112670074201,54
