decile,n,mean_actual,mean_pred,mean_bias
0,177,27787.159209039546,33044.77297100523,5257.613761965677
1,174,31543.124942528735,34594.91846429225,3051.793521763512
2,176,33617.061534090906,35939.46260648794,2322.4010723970378
3,174,35227.52902298851,36604.592294409216,1377.0632714207147
4,176,36766.70914772727,37667.373730269734,900.6645825424613
5,175,38721.52542857143,38432.45804975251,-289.0673788189217
6,175,41049.114285714284,39791.25085417812,-1257.8634315361721
7,175,43378.922857142854,41348.70675286556,-2030.2161042773018
8,175,46825.67697142858,43045.34577861429,-3780.331192814279
9,176,55005.39056818183,45329.14253844927,-9676.248029732542
