model_scope,county,feature,importance,rank
gradient_boosting,,num__detail_effect_inside_mean,0.014364872840506956,1
gradient_boosting,,num__detail_effect_total_mean,0.010895770137035904,2
gradient_boosting,,num__detail_effect_outside_mean,0.007745126431214532,3
gradient_boosting,,num__detail_effect_front_sum,0.0069649461686630155,4
gradient_boosting,,num__detail_effect_inside_x_attr_quality,0.006251848273680898,5
gradient_boosting,,num__detail_effect_front_mean,0.006196024812089074,6
extra_trees,,num__detail_effect_subtype_sum,0.005406744477326284,7
gradient_boosting,,num__detail_effect_total_x_attr_quality,0.004865247316473842,8
extra_trees,,num__detail_effect_inside_x_attr_quality,0.004848323345701444,9
extra_trees,,num__detail_effect_total_mean,0.00432082756361285,10
extra_trees,,num__detail_effect_subtype_mean,0.004176149862777927,11
extra_trees,,num__detail_effect_inside_sum,0.00403868333644178,12
gradient_boosting,,num__detail_effect_subtype_sum,0.0038936526141006935,13
gradient_boosting,,num__detail_effect_subtype_mean,0.003805663500133803,14
extra_trees,,num__detail_effect_inside_mean,0.0038006993947276788,15
gradient_boosting,,num__detail_effect_inside_sum,0.0035161605324844207,16
extra_trees,,num__detail_effect_total_x_attr_quality,0.0033648061780157217,17
extra_trees,,num__detail_effect_county_total_sum,0.0030777365923096074,18
extra_trees,,num__detail_effect_front_mean,0.0029393901752106585,19
extra_trees,,num__detail_effect_front_sum,0.0028955144926317636,20
extra_trees,,num__detail_effect_total_sum,0.002832946132684173,21
gradient_boosting,,num__detail_effect_nearby_sum,0.002687389966648693,22
extra_trees,,num__detail_effect_district_total_sum,0.0025495280440150296,23
gradient_boosting,,num__detail_effect_nearby_mean,0.0024263710627329287,24
gradient_boosting,,num__detail_effect_used_count,0.0024251819111112717,25
gradient_boosting,,num__detail_effect_total_abs_sum,0.0023882079466423416,26
extra_trees,,num__detail_effect_negative_count,0.0022636055517310824,27
extra_trees,,num__detail_effect_outside_mean,0.002137114456498398,28
gradient_boosting,,num__detail_effect_view_x_location_baseline,0.0021171895407039484,29
extra_trees,,num__detail_effect_outside_x_attr_quality,0.0020532544530295262,30
gradient_boosting,,num__detail_effect_view_mean,0.001988759205793364,31
extra_trees,,num__detail_effect_nearby_mean,0.0019422551042558465,32
extra_trees,,num__detail_effect_transport_mean,0.0019409437477524755,33
extra_trees,,num__detail_effect_view_mean,0.001938617400495906,34
extra_trees,,num__detail_effect_view_sum,0.0019179953778748777,35
extra_trees,,num__detail_effect_positive_count,0.0019001770878061667,36
extra_trees,,num__detail_effect_nearby_sum,0.001843169998078904,37
extra_trees,,num__detail_effect_view_x_location_baseline,0.001838755661651218,38
extra_trees,,num__location_quality_x_detail_effect_total,0.001747571487703669,39
extra_trees,,num__detail_effect_total_abs_sum,0.0017134060900992744,40
extra_trees,,num__detail_effect_used_count,0.0017029313526534782,41
extra_trees,,num__detail_effect_outside_sum,0.0016809304662635494,42
extra_trees,,num__detail_effect_level_code,0.0015630786361383933,43
gradient_boosting,,num__location_quality_x_detail_effect_total,0.0015095506868836924,44
extra_trees,,num__detail_effect_transport_sum,0.0015014065489020714,45
gradient_boosting,,num__detail_effect_transport_mean,0.001388133827757155,46
gradient_boosting,,num__detail_effect_total_sum,0.001066743169482119,47
gradient_boosting,,num__detail_effect_negative_count,0.001006476030797027,48
gradient_boosting,,num__detail_effect_outside_x_attr_quality,0.0008080437811505089,49
gradient_boosting,,num__detail_effect_county_total_sum,0.0005644987127960737,50
gradient_boosting,,num__detail_effect_outside_sum,0.0005460919376542884,51
gradient_boosting,,num__detail_effect_transport_sum,0.00044318967437707727,52
gradient_boosting,,num__detail_effect_positive_count,0.0003799334129132131,53
gradient_boosting,,num__detail_effect_district_total_sum,0.0003045517517319016,54
gradient_boosting,,num__detail_effect_level_code,0.00015144281934507286,55
gradient_boosting,,num__detail_effect_view_sum,8.386040895905351e-05,56
