room_count,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
6+1,1,0.3488585205013145,0.3488585205013145,18411.978246143866,18411.978246143866,52777.78,34365.80175385613
2.5+1,3,0.17619303659634586,0.21637798009733572,8181.594898956438,6491.339402920072,45074.073333333334,43266.74195588419
4.5+1,4,0.16150047554108135,0.13111904008256312,5566.126066066354,4112.699250336336,33310.479999999996,38155.33903519085
4+1,215,0.1312036862016566,0.11105961665725124,4753.675237903355,3930.4140079222343,36431.90437209303,35688.12456730885
1+1,51,0.12283381743519328,0.1124880760840817,6036.036631099626,4860.078033512822,47914.083333333336,46265.5699962133
3.5+1,2,0.11758767355488503,0.11758767355488503,5845.517060789716,5845.517060789716,46103.005,40257.48793921028
4+2,2,0.11102466032448555,0.11102466032448555,3144.6296171006998,3144.6296171006998,30228.07,31175.18240180365
3+1,864,0.1077487179246312,0.0841490759996055,4140.59451022135,3169.0560707959194,38064.03366898148,37704.443361813486
5+1,13,0.09263882239951124,0.0507348287033427,2808.4649823318023,1462.06259516918,31252.266153846154,32906.85528434471
2+1,593,0.08944924983869872,0.06741737680715715,3659.046177239978,2720.793728748751,40657.69392917369,40360.98266331293
5+2,2,0.08013836363203641,0.08013836363203641,3032.190620730995,3032.190620730995,37715.665,37354.53044518694
1.5+1,1,0.07594578296939762,0.07594578296939762,3226.3682439130935,3226.3682439130935,42482.52,45708.88824391309
2+2,1,0.02487625515690456,0.02487625515690456,1054.7532186527533,1054.7532186527533,42400.0,41345.24678134725
3+2,1,0.005102725844746328,0.005102725844746328,185.0636708741804,185.0636708741804,36267.61,36082.54632912582
