decile,n,mean_actual,mean_pred,mean_bias
0,177,27787.159209039546,32932.83452063886,5145.675311599315
1,174,31543.124942528735,34542.820557771585,2999.6956152428434
2,176,33617.061534090906,35913.98858469536,2296.9270506044504
3,174,35227.52902298851,36565.6666715328,1338.1376485443059
4,176,36766.70914772727,37561.214769267215,794.5056215399443
5,175,38721.52542857143,38504.355030052,-217.17039851942704
6,175,41049.114285714284,39854.757255829856,-1194.357029884429
7,175,43378.922857142854,41358.407825217495,-2020.5150319253657
8,175,46825.67697142858,43165.100376325674,-3660.576595102898
9,176,55005.39056818183,45588.670509058895,-9416.72005912292
