detail_konut_tipi_raw,title_raw,duplex_type,is_duplex,is_roof_duplex,is_garden_duplex,is_middle_floor_duplex,is_standard_duplex,duplex_match_source,duplex_source_conflict,extraction_notes,classified_id
Ara Kat,BAŞİSKELE MERKEZ DE 2+1 ARA KAT DAİRE,none,0,0,0,0,0,none,0,,1324811712
,"EVİM,den BAŞİSKELE PERA SİTESİNDE KÖŞE BAŞI 3+1&135 M2 SATLIK",none,0,0,0,0,0,none,0,,1320360191
,BAŞİSKELE YEŞİLKENT KALICI KONUTLARI 3. KAT SATILIK DAİRE,none,0,0,0,0,0,none,0,,1319581083
Ara Kat,BAŞİSKELE ALTINKENT MARMARA ELİT EVLERİ'NDE 3+1 SATILIK DAİRE,none,0,0,0,0,0,none,0,,1321506087
Ara Kat,Başiskele Kullar Tepecik de Site İçi 2+1 Arakat Oturuma Hazır,none,0,0,0,0,0,none,0,,1287326980
,ARKUN GAYRİMENKUL'DEN MERKEZİ LOKAYONDA 2+1 KULLANIŞLI DAİRE,none,0,0,0,0,0,none,0,,1323434579
,ASİES GLOBAL EVİMİZ KOCAELİ SİTE 3+1 KAPALI OTOPARKLI KÖŞE DAİRE,none,0,0,0,0,0,none,0,,1272318225
,TANTA EMLAK'TAN BAHÇECİK'TE SATILIK DENİZ MANZARALI 3+1 DAİRE,none,0,0,0,0,0,none,0,,1320037824
,ÖZEL SPOR ALANI BAHÇESİ MÜSTAKİL YAŞAM ALANI SUNAN BİR 3+1 DAİRE,none,0,0,0,0,0,none,0,,1320248517
En Üst Kat,"Başiskele Barbaros'ta Deniz Manzaralı, Havuzlu lüks 3+1 Daire",none,0,0,0,0,0,none,0,,1326307042
Ara Kat,BAŞİSKELE BARBAROS MH SİTE İÇERSİNDE 3+1 EBEVEYN B. ARAKAT DAİRE,none,0,0,0,0,0,none,0,,1306034029
Ara Kat,BAŞİSKELE YAYLACIK MAH. HAVUZLU SİTEDE SATILIK 2+1 DAİRE,none,0,0,0,0,0,none,0,,1314623728
Çatı Dubleksi,BARBAROS MAHALLESİ MERKEZİ KONUMDA İÇİ YAPILI 3+1 SATILIK DAİRE,roof,1,1,0,0,0,detail,0,,1314952711
,MBK BİRİKİM GAYRMENKUL 2+1 ARAKAT SATILIK,none,0,0,0,0,0,none,0,,1322252435
Ara Kat,BAŞİSKELE KARŞIYAKA MAH.İÇİ YAPILI SATILIK 3+1 ARAKAT DAİRE,none,0,0,0,0,0,none,0,,1303195164
,Merkezi konumda 2+1 Müstakil tadında,none,0,0,0,0,0,none,0,,1326214681
Ara Kat,BAŞİSKELE BARBAROS SİTE İÇİ EBEVEYN BANYOLU 2+1 ARA KAT SATILIK,none,0,0,0,0,0,none,0,,1292984172
,BAŞİSKELE YAKACIKTA CADDE ÜSTÜ 1+1,none,0,0,0,0,0,none,0,,1313633705
,BAŞİSKELE BARBAROS MAH.DE GENİŞ 3+1,none,0,0,0,0,0,none,0,,1317833280
Ara Kat,3+1 ARAKAT DAİRE ASANSÖR + KAPALI OTOPARKLI,none,0,0,0,0,0,none,0,,1313565867
Ara Kat,BARBAROS MAHALLESİNDE SATILIK LÜKS 3+1 DAİRE,none,0,0,0,0,0,none,0,,1273361410
Çatı Dubleksi,CENEVİZ ADALARI Projesi 2+1 98m2 Balkonlu Satılık Daire,roof,1,1,0,0,0,detail,0,,1285317448
Dubleks,Kolaylı Kullar Sitesinde SAHİBİNDEN SATILIK,standard,1,0,0,0,1,detail,0,,1308930710
,KW ARVEN'DEN PEKDEMİR EVİMİZ KOCAELİ SİTE'SİNDE SATILIK 3+1,none,0,0,0,0,0,none,0,,1301434420
En Üst Kat|Çatı Dubleksi,Fotoğraflar Güncellendi Satılık 2+1 100 M² Ebeveyn Banyolu,roof,1,1,0,0,0,detail,0,,1322471550
Ara Kat,BAŞİSKELE KULLAR YAKACIK MAH.2+1 ARAKAT FIRSAT DAİRE,none,0,0,0,0,0,none,0,,1316607685
Dubleks,TANTA EMLAK'tan CADDE Üzerinde 1+1 Daire YATIRIM FIRSATI,standard,1,0,0,0,1,detail,0,,1319819010
Çatı Dubleksi,Başiskele barboros mahallesinde en işlek caddesi üzerinde,roof,1,1,0,0,0,detail,0,,1306143160
,DOĞA & DENİZ MANZARALI! 417 m² ARSA İÇİNDE 155 m² SATILIK DAİRE,none,0,0,0,0,0,none,0,,1314548647
Dubleks|En Üst Kat|Çatı Dubleksi,EMLAK YATIRIM'DAN LOTUS YAPI'DA SATILIK LÜKS DAİRE,roof,1,1,0,0,0,detail,0,,1314902324
Çatı Dubleksi,Başiskele'de Site İçi Havuzlu Doğa Manzaralı Satılık 3+1,roof,1,1,0,0,0,detail,0,,1314675555
Ara Kat,ALTIN EMLAK'tan EVİMİZ KOCAELİ SİTESİNDE GENİŞ TİP 2+1 DAİRE BOŞ,none,0,0,0,0,0,none,0,,1308949221
,REMAX MYRADAN SATILIK FIRSAT 3+1 DÜZ DAİRE DAİRE,none,0,0,0,0,0,none,0,,1317601518
Çatı Dubleksi,CENEVİZ ADALARI Projesi 2+1 91m2 Satılık Daire,roof,1,1,0,0,0,detail,0,,1285316340
,YATIRIMCIYA VE OTURUMA UYGUN FIRSAT DAİRE ACİL SATILIK !!!!!!!,none,0,0,0,0,0,none,0,,1317612850
Ara Kat,BAŞISKELE BARBAROS MH DE 3+1 ARA KAT SATILIK DAİREMİZ,none,0,0,0,0,0,none,0,,1291975637
Ara Kat,Başiskele'de Yüksek Kredili Satılık 2+1 Birinci Kat,none,0,0,0,0,0,none,0,,1313891151
,BAŞİSKELE BARBAROS'DA ELİTİUM SİTESİNDE EŞYALI 1+1 SATILIK DAİRE,none,0,0,0,0,0,none,0,,1319850750
,Bahçecikte Arakat Deniz Manzaralı 2+1 Satılık Daire,none,0,0,0,0,0,none,0,,1313838244
,ARABA UNUTTURAN KONUM...,none,0,0,0,0,0,none,0,,1316517261
Ara Kat,BAŞİSKELE'nin TAM MERKEZİNDE GENİŞ 3+1 SATILIK DAİRE,none,0,0,0,0,0,none,0,,1322924381
,"ARAÇ TAKASINA UYGUN, MERKEZİ LOKASYON, MASRAFSIZ 3+1 DAİRE",none,0,0,0,0,0,none,0,,1298646796
,PINAR CADDESİNDE SATILIK SIFIR 2+1 DAİRE,none,0,0,0,0,0,none,0,,1326202720
Ara Kat,BAŞİSKELE BARBAROS MAHALLESİNDE 2+1 ARA KAT SATILIK DAİRE,none,0,0,0,0,0,none,0,,1319682112
Ara Kat,BAŞİSKELE MERKEZ Barbaros DA 3+1 SİTE İÇİ SATILIK ARA KAT DAİRE,none,0,0,0,0,0,none,0,,1317049933
Ara Kat,AtticHouse'tan Satılık OTURUMA HAZIR MASRAFSIZ 2+1 daire,none,0,0,0,0,0,none,0,,1314568430
,Tarcanlar'dan Başiskele Karşıyaka'da Ferah 3+1 Satılık Daire,none,0,0,0,0,0,none,0,,1279892191
Ara Kat,CEPHESİ AÇIK DENİZ MANZARALI İSKANLI SATILIK 3+1 ARAKAT,none,0,0,0,0,0,none,0,,1318583778
,BAŞİSKELE YAYLACIK MAH. 2+1 ARAKAT DAiRE AMERİKAN MUTFAKLI,none,0,0,0,0,0,none,0,,1319471572
Ara Kat,AKBULUT EMLAKTAN | PEKDEMİR evlerinde | BAŞİSKELE | 3+1,none,0,0,0,0,0,none,0,,1314142380
Bahçe Dubleksi,HAVUZLU SİTENİN EN GÜZEL DAİRESİ HER ŞEY DAHİL FİYAT,garden,1,0,1,0,0,detail,0,,1300451534
Ara Kat,DERİN'DEN BAŞİSKELE DE SİTE İÇİ 3+1 ARAKAT SATILIK DAİRE,none,0,0,0,0,0,none,0,,1296134611
