model_scope,county,feature,importance,rank
gradient_boosting,,num__detail_effect_total_mean,0.16660493609709173,1
random_forest,,num__detail_effect_total_mean,0.13944633900072023,2
extra_trees,,num__detail_effect_total_mean,0.03136125287529735,3
random_forest,,num__detail_effect_county_total_sum,0.021677998245713273,4
extra_trees,,num__detail_effect_total_sum,0.020336150459893475,5
random_forest,,num__detail_effect_total_sum,0.015712784439116972,6
gradient_boosting,,num__detail_effect_county_total_sum,0.015386828704979648,7
random_forest,,num__detail_effect_total_x_attr_quality,0.013177301485915085,8
extra_trees,,num__detail_effect_total_x_attr_quality,0.012983953699079958,9
extra_trees,,num__detail_effect_county_total_sum,0.012851595743837364,10
gradient_boosting,,num__detail_effect_total_sum,0.012607377550239074,11
gradient_boosting,,num__detail_effect_district_total_sum,0.011780876543443087,12
gradient_boosting,,num__detail_effect_inside_x_attr_quality,0.009134682270662829,13
gradient_boosting,,num__detail_effect_front_mean,0.008704625565532568,14
gradient_boosting,,num__detail_effect_outside_x_attr_quality,0.008605715729983969,15
extra_trees,,num__detail_effect_district_total_sum,0.008188796046073244,16
gradient_boosting,,num__detail_effect_front_sum,0.007834735369700802,17
random_forest,,num__detail_effect_front_mean,0.007695047279497108,18
gradient_boosting,,num__detail_effect_inside_mean,0.007584595221205973,19
random_forest,,num__detail_effect_nearby_mean,0.006474171529943856,20
extra_trees,,num__detail_effect_subtype_mean,0.006173141691004265,21
random_forest,,num__detail_effect_inside_mean,0.006158919800900504,22
random_forest,,num__detail_effect_front_sum,0.005876007107583923,23
gradient_boosting,,num__detail_effect_view_mean,0.005862243196701384,24
gradient_boosting,,num__detail_effect_negative_count,0.0055614347546317335,25
extra_trees,,num__detail_effect_front_sum,0.0045647204803463065,26
random_forest,,num__detail_effect_level_code,0.00439963547354421,27
random_forest,,num__detail_effect_inside_sum,0.004254441483628035,28
extra_trees,,num__detail_effect_negative_count,0.004202098117784222,29
random_forest,,num__detail_effect_district_total_sum,0.004166291512968412,30
gradient_boosting,,num__detail_effect_transport_mean,0.0041200681253891,31
extra_trees,,num__detail_effect_front_mean,0.0038915680458254187,32
random_forest,,num__detail_effect_nearby_sum,0.003839569141458849,33
random_forest,,num__detail_effect_negative_count,0.0037928707311973334,34
random_forest,,num__detail_effect_outside_x_attr_quality,0.0037817587070106207,35
gradient_boosting,,num__detail_effect_total_x_attr_quality,0.0037148271888873805,36
random_forest,,num__detail_effect_view_mean,0.0037052608312677475,37
random_forest,,num__detail_effect_inside_x_attr_quality,0.00363431133960753,38
random_forest,,num__detail_effect_transport_mean,0.003437274519709681,39
gradient_boosting,,num__detail_effect_transport_sum,0.0033312506009918735,40
extra_trees,,num__detail_effect_inside_mean,0.0032742075288619355,41
random_forest,,num__detail_effect_subtype_mean,0.0032627511586793426,42
extra_trees,,num__detail_effect_outside_mean,0.003044504490325281,43
random_forest,,num__detail_effect_total_abs_sum,0.0030408270314679093,44
extra_trees,,num__detail_effect_level_code,0.003040198985340971,45
gradient_boosting,,num__detail_effect_subtype_mean,0.0029494195811985862,46
extra_trees,,num__detail_effect_subtype_sum,0.0028549386400409374,47
extra_trees,,num__detail_effect_inside_sum,0.002761034780826098,48
extra_trees,,num__detail_effect_inside_x_attr_quality,0.002652233647898394,49
extra_trees,,num__detail_effect_view_mean,0.0025220551528447083,50
random_forest,,num__detail_effect_used_count,0.0024654648362548337,51
gradient_boosting,,num__detail_effect_level_code,0.002402419516884208,52
extra_trees,,num__detail_effect_nearby_mean,0.0023546564055019507,53
random_forest,,num__detail_effect_view_x_location_baseline,0.002255803594646003,54
extra_trees,,num__detail_effect_outside_x_attr_quality,0.002248096318979656,55
gradient_boosting,,num__detail_effect_subtype_sum,0.002203930409571233,56
extra_trees,,num__detail_effect_view_sum,0.0019858178433847765,57
extra_trees,,num__location_quality_x_detail_effect_total,0.0019846388207104835,58
random_forest,,num__detail_effect_positive_count,0.001964440205648838,59
extra_trees,,num__detail_effect_outside_sum,0.001864550656347799,60
extra_trees,,num__detail_effect_used_count,0.00182436364768123,61
extra_trees,,num__detail_effect_positive_count,0.0017377484799245356,62
extra_trees,,num__detail_effect_view_x_location_baseline,0.0016997395115454742,63
gradient_boosting,,num__detail_effect_inside_sum,0.0016640037406930649,64
extra_trees,,num__detail_effect_nearby_sum,0.001582123350117238,65
random_forest,,num__detail_effect_outside_sum,0.0015741577122228762,66
random_forest,,num__detail_effect_subtype_sum,0.0015644403047966758,67
random_forest,,num__detail_effect_view_sum,0.0015638306020791188,68
extra_trees,,num__detail_effect_total_abs_sum,0.0015356827832051193,69
random_forest,,num__detail_effect_outside_mean,0.0014181860732276597,70
random_forest,,num__detail_effect_transport_sum,0.0014004904677318048,71
gradient_boosting,,num__detail_effect_outside_mean,0.0013126941167482331,72
gradient_boosting,,num__detail_effect_total_abs_sum,0.001244389263038224,73
gradient_boosting,,num__detail_effect_outside_sum,0.0011982940283425231,74
gradient_boosting,,num__detail_effect_used_count,0.0011851462019860895,75
extra_trees,,num__detail_effect_transport_sum,0.0011593666380374692,76
random_forest,,num__location_quality_x_detail_effect_total,0.0010900966608058222,77
extra_trees,,num__detail_effect_transport_mean,0.0010793233383362504,78
gradient_boosting,,num__detail_effect_nearby_mean,0.000945297403288336,79
gradient_boosting,,num__location_quality_x_detail_effect_total,0.0006755660625073893,80
gradient_boosting,,num__detail_effect_positive_count,0.0,81
gradient_boosting,,num__detail_effect_nearby_sum,0.0,82
gradient_boosting,,num__detail_effect_view_sum,0.0,83
gradient_boosting,,num__detail_effect_view_x_location_baseline,0.0,84
