detail_konut_tipi_raw,title_raw,duplex_type,is_duplex,is_roof_duplex,is_garden_duplex,is_middle_floor_duplex,is_standard_duplex,duplex_match_source,duplex_source_conflict,extraction_notes,classified_id
,BAŞİSKELE EV FİNANSMANINA UYGUN 2+1 SATILIK ÇATI DUBLEX DAİRE,roof,1,1,0,0,0,title,0,,1329064713
,BAŞİSKELE DE EVFİNANSMANINA UYGUN SATILIK 2+1 ÇATI DUBLEKS DAİRE,roof,1,1,0,0,0,title,0,,1329064369
Dubleks|Bahçe Dubleksi,CB Envoy'dan Başiskele Cadde 53 Sitesi'nde 5+1 Dubleks Daire,garden,1,0,1,0,0,detail_and_title,0,title_generic_confirms_detail_subtype,1322959684
Bahçe Dubleksi,CB Mahall'den Özel Bahçe Kullanımlı 3+1 Dubleks,garden,1,0,1,0,0,detail_and_title,0,title_generic_confirms_detail_subtype,1314805377
,"EĞİMSİZ TERAS DUBLEKS,YUVACIK'A2KM",roof,1,1,0,0,0,title,0,,1306764070
Bahçe Dubleksi,"BAŞİSKELE YEŞİLYURT MAH, FERAH 3+1 BAHÇE DUBLEKS DAİRE SATILIK",garden,1,0,1,0,0,detail_and_title,0,,1317585424
Bahçe Dubleksi,REMAX DREAM BAŞİSKELE MAMİK REFORM 2 SİTESİ 4+1 DUBLEKS DAİRE,garden,1,0,1,0,0,detail_and_title,0,title_generic_confirms_detail_subtype,1317567697
En Üst Kat,KOCAELİ BAŞİSKELE YEŞİLYURT MAH. 3+1 DUBLEKS SATILIK DAİRE,standard,1,0,0,0,1,title,0,,1317006501
,BAŞİSKELE YEŞİLYURT MAHALLESİ NDE SATILIK ALT DUBLEKS DAİRE,standard,1,0,0,0,1,title,0,,1326082827
Çatı Dubleksi,FATİH MAHALLESİNDE 4+1 SATILIK LÜKS ÇATI DUBLEKSİ,roof,1,1,0,0,0,detail_and_title,0,,1323080991
Dubleks|En Üst Kat|Çatı Dubleksi,EMLAKÇIM41'DE BAŞİSKELE/ FATİH MH.DE MANZARALI GENİŞ 4+1 DUBLEKS,roof,1,1,0,0,0,detail_and_title,0,title_generic_confirms_detail_subtype,1328967840
Bahçe Dubleksi,BAŞİSKELE YUVACIK PANORAMA 1 DE BAHÇELİ 4+1 DUBLEKS DAİRE,garden,1,0,1,0,0,detail_and_title,0,title_generic_confirms_detail_subtype,1328971632
,BAŞİSKELE KULLAR MAHALLESİ'NDE 2+1 GİRİŞ KAT SATILIK DAİRE..,none,0,0,0,0,0,none,0,,1328951083
Ara Kat,CB MAHALDEN YEŞİLYURTTA 3+1 ŞIK GENİŞ DAİRE,none,0,0,0,0,0,none,0,,1328934119
En Üst Kat,YEŞİLYURT ROZNA SİTESİ 2+1 EN ÜST KAT ÇİFT CEPHE DAİRE,none,0,0,0,0,0,none,0,,1328927083
,YEŞİLYURT MAH. GENİŞ BAHÇELİ SATILIK 2+1 YÜKSEK GİRİŞ DÜZ DAİRE,none,0,0,0,0,0,none,0,,1328933128
Çatı Dubleksi,YEŞİLYURT MAH.MERKEZİ KONUMDA SATILIK 2+1 Ç.DUBLEKSİ DAİRE,roof,1,1,0,0,0,detail_and_title,0,title_generic_confirms_detail_subtype,1296891862
Çatı Dubleksi,KW ARVEN'DEN YEŞİLYURT MAH SATILIK ASANSÖRLÜ 3+1 ÇATI DUBLEKS D.,roof,1,1,0,0,0,detail_and_title,0,,1328929797
Çatı Dubleksi,BAŞİSKELE PAŞADAĞ MAH. GENİŞ KULLANIŞLI SATILIK 3+1 ÇATI DUBLEX,roof,1,1,0,0,0,detail_and_title,0,,1323001995
Bahçe Dubleksi,NEOS'TAN BAŞİSKELE ZERAYPERLA'DA 3+1 BAHÇE DUBLEKS SATILIK DAİRE,garden,1,0,1,0,0,detail_and_title,0,,1259512954
Bahçe Dubleksi,BAŞİSKELE YUVACIK'TA 3+1 BAHÇE KULLANIM ALANLI DUBLEKS DAİRE,garden,1,0,1,0,0,detail_and_title,0,title_generic_confirms_detail_subtype,1328879834
Ters Dubleks,BAŞİSKELE YUVACIKTA 3+1 YÜKSEK GİRİŞ SATILIK TERS DUBLEKS DAİRE,standard,1,0,0,0,1,detail_and_title,0,,1322475523
Ters Dubleks,Yuvacık Cadde Üzeri Satılık 2+1 Ters Dubleks Daire (130m²),standard,1,0,0,0,1,detail_and_title,0,,1324995136
Çatı Dubleksi,Başiskele Yeşilyurt Mahallesi'nde 1+1 Çatı Dubleks Daire,roof,1,1,0,0,0,detail_and_title,0,,1328891824
Çatı Dubleksi,KOCAELİ YUVACIK ZERAY GÜNEŞİ ÇOK TEMİZ SATILIK 3+1 ÇATI DUBLEKS,roof,1,1,0,0,0,detail_and_title,0,,1270736951
Çatı Dubleksi,BAŞİSKELE YEŞİLYURT MAHALLESİ SATILIK 3+1 ÇATI DUBLEX,roof,1,1,0,0,0,detail_and_title,0,,1310017843
Dubleks|Bahçe Dubleksi,YEŞİLYURT'TA MERKEZİ KONUMDA SATILIK 3+1 BAHÇE DUBLEKS,garden,1,0,1,0,0,detail_and_title,0,,1311720792
Çatı Dubleksi,"Başiskele'de Panoramik Manzaralı, Sıfır 2+1 Çatı Dubleks Daire",roof,1,1,0,0,0,detail_and_title,0,,1297879888
Bahçe Dubleksi,KOCAELİ BAŞİSKELE FATİH DE LÜKS 155 M2 3+1 BAHÇE DUBLEKSشقة فاخر,garden,1,0,1,0,0,detail_and_title,0,,1269106617
,"Zeray Güneş'te Önü Kapanmaz Manzaralı, Geniş 3+1 Çatı Dublek",none,0,0,0,0,0,none,0,,1325835584
Ara Kat,"BAŞİSKELE YEŞİLYURT'TA, SATILIK LÜKS 3+1 ARA KAT ASANSÖRLÜ DAİRE",none,0,0,0,0,0,none,0,,1328334009
,Başiskele Akkurt Royal City de Satılık 3+1 Dubleks Daire,standard,1,0,0,0,1,title,0,,1283276882
Dubleks,BAŞISKELE YEŞİLYURT 2+1 GENİŞ KULLANIM TERAS DUBLEKS,standard,1,0,0,0,1,conflict_detail_wins,1,conflict detail=standard title=roof,1314027634
Çatı Dubleksi,SATIŞ OFİSİNDEN BAŞISKELEDE ASANSÖRLÜ 4+1 EĞİMSİZ ÇATI DUBLEKS,roof,1,1,0,0,0,detail_and_title,0,,1271845226
Çatı Dubleksi,BAŞİSKELE YEŞİLYURT MAH. ASANSÖRLÜ 3+1 ÇATI DUBLEKS,roof,1,1,0,0,0,detail_and_title,0,,1298202529
