feature,importance
num__detail_effect_total_mean,0.11247084265770309
num__basiskele_detail_group_bucket_median,0.09514590113325327
num__attr_quality_x_location_baseline,0.023515709513663607
num__attr_m2_per_room,0.023008844389952016
num__basiskele_detail_total_premium_signal,0.018789833518861224
num__detail_effect_county_total_sum,0.016638807564843427
num__detail_effect_total_sum,0.016218770816416508
num__distance_to_coast_x_site_inside,0.016099297243923782
cat__building_age_group_6-10 arası,0.015250982457212146
num__bearing_from_district_centroid_cos,0.013175873699892477
num__distance_to_geo_cluster_center_m,0.012888051202655454
num__estimated_monthly_rent_gross,0.012378712236401855
num__large_home_detail_premium_x_m2,0.012277677339145034
num__district_m2_group_target_median,0.011799544518830427
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||200+,0.011718140911737318
num__attr_quality_x_county_income,0.011658613648620446
num__attr_amenity_score,0.011288855934705792
num__basiskele_premium_x_new_building,0.01095407644649879
num__detail_effect_total_x_attr_quality,0.009958694124627474
num__building_age,0.009698213252398889
num__attr_total_quality_score,0.008868189647286077
num__basiskele_premium_x_gross_m2,0.008815454574088333
num__location_baseline_count,0.008542024313335927
num__large_home_room_density,0.008322443384566265
num__detail_effect_district_total_sum,0.008045321367494914
num__distance_to_county_centroid_m,0.007966419988920259
num__district_room_count_target_median,0.007317899470963707
num__basiskele_lat_lon_interaction,0.006878485876708165
num__detail_effect_front_mean,0.006763746963618364
num__basiskele_premium_x_location_baseline,0.0066568854150235455
num__net_m2,0.0066556584302477
num__bearing_from_county_centroid_cos,0.006469017100195343
num__distance_to_izmit_center_m,0.006391103730059198
num__detail_effect_front_sum,0.00609182098587701
num__attr_quality_x_demo_income,0.005891655956957369
num__large_home_net_gross_quality,0.005716396218555029
num__distance_to_district_centroid_m,0.005686310400120837
num__detail_effect_inside_mean,0.005672574183656138
num__bearing_from_district_centroid_sin,0.005661600030362011
num__location_baseline_log,0.005260807657693341
cat__duplex_type_none,0.005195419481035402
num__attr_effect_total_quality_bucket,0.005189024766884018
num__detail_effect_inside_x_attr_quality,0.005140409086056251
num__distance_to_yuvacik_m,0.005091561650519163
num__distance_to_bahcecik_m,0.004913590583039648
num__detail_effect_outside_x_attr_quality,0.004878523585324749
cat__duplex_match_source_none,0.004824123847775772
num__detail_near_count,0.0048151036811611495
num__attr_building_age_inverse,0.004803155101938186
cat__detail_konut_tipi_Ara Kat,0.0047209404982365985
