model,feature,importance
extra_trees,num__basiskele_detail_group_bucket_median,0.06589778622001699
extra_trees,num__basiskele_detail_total_premium_signal,0.047009303325094176
extra_trees,num__detail_effect_total_mean,0.03136125287529735
extra_trees,cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||200+,0.02883878340072645
extra_trees,num__detail_effect_total_sum,0.020336150459893475
extra_trees,cat__building_age_group_6-10 arası,0.020105598034929388
extra_trees,num__detail_effect_total_x_attr_quality,0.012983953699079958
extra_trees,num__detail_effect_county_total_sum,0.012851595743837364
extra_trees,num__attr_m2_per_room,0.011141644637529011
extra_trees,num__attr_effect_total_quality_bucket,0.011077545985641923
extra_trees,cat__duplex_type_none,0.010899187711637953
extra_trees,cat__detail_konut_tipi_Ara Kat,0.010564413290111348
extra_trees,num__attr_amenity_score,0.010184385193538882
extra_trees,num__district_m2_group_target_median,0.010061796787096896
extra_trees,num__building_age,0.008939509494164659
extra_trees,num__basiskele_premium_x_location_baseline,0.008711166503669208
extra_trees,num__detail_effect_district_total_sum,0.008188796046073244
extra_trees,cat__duplex_match_source_none,0.008121772692208177
extra_trees,cat__detail_manzara_Deniz|Doğa|Park & Yeşil Alan|Şehir,0.008036003132636377
extra_trees,num__is_duplex,0.007963685999950742
extra_trees,num__basiskele_premium_score,0.007910076521354576
extra_trees,num__bearing_from_district_centroid_cos,0.007894176458492623
extra_trees,cat__coast_distance_bucket_0_500,0.007690150098410351
extra_trees,num__attr_effect_elevator,0.007517810122812019
extra_trees,cat__geo_cluster_x_room_count_city_9||4+1,0.007325726342135935
extra_trees,num__attr_quality_x_county_income,0.006594701122737148
extra_trees,cat__basiskele_geo_cluster_x_m2_group_Başiskele_2||151-200,0.006560123549439559
extra_trees,num__district_room_count_target_median,0.0064270314125783115
extra_trees,num__attr_total_quality_score,0.0064116041796562825
extra_trees,num__detail_effect_subtype_mean,0.006173141691004265
extra_trees,cat__elevator_Var,0.005615425508070396
extra_trees,num__attr_new_building_x_site_inside,0.005527514894322364
