raw_folded,canonical_id
akasya modern evleri,akasya_modern
akkurt royal city,royal_city_akkurt
akven armoni teras,akven_armoni_teras
asrin evleri sitesi,asrin
bahcekent konutlari,bahcekent_konutlari
basiskele pasadag mah. full deniz manzarali site,pasadag_mah_full_deniz_manzarali
basiskele yesilyurtda site,yesilyurtda
basiskele'de havuzlu site,basiskele_de_havuzlu
basiskelede prejtijli proje,basiskelede_prejtijli
boyunegmez yasam evleri,boyunegmez_yasam
cadde 53 konutlari,cadde_53
cati dubleks havuzlu site,cati_dubleks_havuzlu
daire havuzlu site,havuzlu
doga evleri,doga
dongelde site,dongelde
dream gardens sitesi,dream_gardens
emar delux yuvacik,emar_delux_yuvacik
esila park sitesi,esila_park
hanzade palace sitesi,hanzade_palace
helin sitesi,helin
iskar elit kent,iskar_elit_kent
kirazli kent sitesi,kirazli_kent
lotus evleri,lotus
lotus mahza,lotus_mahza
mahall yuvacik 2,mahall_yuvacik_2
mamik reform,mamik_reform
manaryuvacik sitesi,manaryuvacik
mavi - yesil park,mavi_yesil_park
may kent 2 sitesi,may_kent_2
megatron azize evleri,megatron_azize
memur-sen sitesi,memur_sen
missing,missing
my yaka sitesi,my_yaka
oksijen konaklari,oksijen_konaklari
oluklu life sitesi,oluklu_life
orka life 2 sitesi,orka_life_2
panoramakent 1,panoramakent_1
panoramakent 1 sitesi,panoramakent_1
remax dreamden basiskele fatih'de site,remax_dreamden_fatih_de
royal city akkurt,royal_city_akkurt
royal country,royal_country
royal park sitesi,royal_park
rozna sitesi,rozna
listing_portal vadi yuvacik site,listing_portal_vadi_yuvacik
supark megaron,supark_megaron
teras marmara,teras_marmara
terra nova evleri,terra_nova
torunogullari park 2,torunogullari_park_2
twinkle life sitesi,twinkle_life
ust park yuvacik,ust_park_yuvacik
ustgrup lifeside,ustgrup_lifeside
venedik evleri,venedik
vistapark evleri,vistapark
yonca evleri 2,yonca_evleri_2
yuvacik vadi,yuvacik_vadi
yuvana,yuvana_evleri
yuvana evleri,yuvana_evleri
yuz yapi'dan deniz ve vadi,yuz_yapi_dan_deniz_ve_vadi
zeray gunesi sitesi,zeray_gunesi
zeray kent,zeray_kent
zeray korupark,zeray_korupark
zeray perla sitesi,zeray_perla
zeraykent yuvacik,zeraykent_yuvacik
