canonical_id,raw_variants,n_variants,total_count,median_unit_price_by_variant,max_variant_price_gap,warning
cadde_53,cadde 53 konutlari,1,1,"{""cadde 53 konutlari"": 31176.47}",0.0,
mamik_reform,mamik reform,1,2,"{""mamik reform"": 43276.994999999995}",0.0,
panoramakent_1,panoramakent 1 | panoramakent 1 sitesi,2,4,"{""panoramakent 1 sitesi"": 44479.17, ""panoramakent 1"": 46437.5}",1958.3300000000017,
rozna,rozna sitesi,1,1,"{""rozna sitesi"": 48588.79}",0.0,
zeray_perla,zeray perla sitesi,1,6,"{""zeray perla sitesi"": 47898.74}",0.0,
zeray_gunesi,zeray gunesi sitesi,1,6,"{""zeray gunesi sitesi"": 44264.58500000001}",0.0,
royal_city_akkurt,akkurt royal city | royal city akkurt,2,2,"{""royal city akkurt"": 33101.85, ""akkurt royal city"": 36861.31}",3759.459999999999,
bahcekent_konutlari,bahcekent konutlari,1,4,"{""bahcekent konutlari"": 31272.445}",0.0,
yuvana_evleri,yuvana | yuvana evleri,2,4,"{""yuvana evleri"": 26388.89, ""yuvana"": 28104.58}",1715.6900000000023,
yonca_evleri_2,yonca evleri 2,1,1,"{""yonca evleri 2"": 41666.67}",0.0,
ustgrup_lifeside,ustgrup lifeside,1,2,"{""ustgrup lifeside"": 49882.74}",0.0,
royal_country,royal country,1,2,"{""royal country"": 43304.2}",0.0,
memur_sen,memur-sen sitesi,1,1,"{""memur-sen sitesi"": 28500.0}",0.0,
may_kent_2,may kent 2 sitesi,1,1,"{""may kent 2 sitesi"": 27586.21}",0.0,
emar_delux_yuvacik,emar delux yuvacik,1,2,"{""emar delux yuvacik"": 41271.55}",0.0,
royal_park,royal park sitesi,1,1,"{""royal park sitesi"": 35714.29}",0.0,
helin,helin sitesi,1,2,"{""helin sitesi"": 35476.31}",0.0,
basiskele_de_havuzlu,basiskele'de havuzlu site,1,2,"{""basiskele'de havuzlu site"": 44494.649999999994}",0.0,
megatron_azize,megatron azize evleri,1,2,"{""megatron azize evleri"": 41303.104999999996}",0.0,
mavi_yesil_park,mavi - yesil park,1,3,"{""mavi - yesil park"": 32184.87}",0.0,
lotus_mahza,lotus mahza,1,1,"{""lotus mahza"": 43241.38}",0.0,
teras_marmara,teras marmara,1,1,"{""teras marmara"": 45526.32}",0.0,
remax_dreamden_fatih_de,remax dreamden basiskele fatih'de site,1,1,"{""remax dreamden basiskele fatih'de site"": 32333.33}",0.0,
doga,doga evleri,1,1,"{""doga evleri"": 32173.91}",0.0,
yuvacik_vadi,yuvacik vadi,1,3,"{""yuvacik vadi"": 35000.0}",0.0,
orka_life_2,orka life 2 sitesi,1,2,"{""orka life 2 sitesi"": 43646.825}",0.0,
lotus,lotus evleri,1,1,"{""lotus evleri"": 54166.67}",0.0,
yesilyurtda,basiskele yesilyurtda site,1,1,"{""basiskele yesilyurtda site"": 42500.0}",0.0,
torunogullari_park_2,torunogullari park 2,1,1,"{""torunogullari park 2"": 29679.14}",0.0,
ust_park_yuvacik,ust park yuvacik,1,1,"{""ust park yuvacik"": 36416.18}",0.0,
akasya_modern,akasya modern evleri,1,1,"{""akasya modern evleri"": 29444.44}",0.0,
pasadag_mah_full_deniz_manzarali,basiskele pasadag mah. full deniz manzarali site,1,1,"{""basiskele pasadag mah. full deniz manzarali site"": 46470.59}",0.0,
terra_nova,terra nova evleri,1,1,"{""terra nova evleri"": 41923.08}",0.0,
supark_megaron,supark megaron,1,1,"{""supark megaron"": 41319.44}",0.0,
zeray_kent,zeray kent,1,2,"{""zeray kent"": 37916.665}",0.0,
akven_armoni_teras,akven armoni teras,1,1,"{""akven armoni teras"": 51415.09}",0.0,
esila_park,esila park sitesi,1,1,"{""esila park sitesi"": 40217.39}",0.0,
manaryuvacik,manaryuvacik sitesi,1,1,"{""manaryuvacik sitesi"": 48529.41}",0.0,
boyunegmez_yasam,boyunegmez yasam evleri,1,1,"{""boyunegmez yasam evleri"": 35384.62}",0.0,
vistapark,vistapark evleri,1,1,"{""vistapark evleri"": 60000.0}",0.0,
zeraykent_yuvacik,zeraykent yuvacik,1,2,"{""zeraykent yuvacik"": 36898.56}",0.0,
mahall_yuvacik_2,mahall yuvacik 2,1,1,"{""mahall yuvacik 2"": 41666.67}",0.0,
cati_dubleks_havuzlu,cati dubleks havuzlu site,1,1,"{""cati dubleks havuzlu site"": 34545.45}",0.0,
hanzade_palace,hanzade palace sitesi,1,1,"{""hanzade palace sitesi"": 36131.39}",0.0,
asrin,asrin evleri sitesi,1,1,"{""asrin evleri sitesi"": 42857.14}",0.0,
